"player_name","nationality","fbref_url","transfer_url","career_length","retired","retirement_age","age_current","debut_age","debut_year","injury_count_total","days_missed_total","games_missed_total","total_matches_club","seasons_club","foot","position_simple","height","debut_age_num","height_clean","debut_year_num","injuries_per_season","foot_clean","event","debut_band","height_group","inj_band","debut_decade","nationality_clean","region"
"Sandro","Brazil  Portugal","https://fbref.com/en/players/c1c2c925/Sandro","https://www.transfermarkt.com/sandro/profil/spieler/74590",16,"Yes",35,36,"21 years","2010",10,623,104,219,12,"right","Midfield","188",21,188,2010,0.833333333333333,"right",1,"[21,24)","(185,203]","(9,57]","2010s","Brazil Portugal","EU_Major"
"Paulo da Silva","Paraguay","https://fbref.com/en/players/47560da8/Paulo-da-Silva","https://www.transfermarkt.com/paulo-da-silva/profil/spieler/38800",24,"Yes",44,45,"21 years","2001",1,31,6,587,22,"right","Defender","184",21,184,2001,0.0454545454545455,"right",1,"[21,24)","(180,185]","[0,3]","2000s","Paraguay","Rest_of_World"
"Alan Smith","England","https://fbref.com/en/players/fdac06ea/Alan-Smith","https://www.transfermarkt.com/alan-smith/profil/spieler/3768",19,"Yes",37,45,"17 years","1998",2,340,57,526,20,"right","Midfield","178",17,178,1998,0.1,"right",1,"[15,18)","[165,180]","[0,3]","1990s","England","UK_Ireland"
"Alexandre Song","Cameroon  France","https://fbref.com/en/players/1c32281d/Alexandre-Song","https://www.transfermarkt.com/alex-song/profil/spieler/27394",20,"Yes",36,38,"16 years","2004",9,264,40,355,16,"right","Midfield","185",16,185,2004,0.5625,"right",1,"[15,18)","(180,185]","(3,9]","2000s","Cameroon France","EU_Major"
"Matt Upson","England","https://fbref.com/en/players/1a6e6d03/Matt-Upson","https://www.transfermarkt.com/matthew-upson/profil/spieler/3273",19,"Yes",37,46,"18 years","1997",3,194,42,396,19,"left","Defender","185",18,185,1997,0.157894736842105,"left",1,"[18,21)","(180,185]","[0,3]","1990s","England","UK_Ireland"
"Xisco","Spain","https://fbref.com/en/players/d2790f7a/Xisco","https://www.transfermarkt.com/xisco/profil/spieler/34564",19,"Yes",37,39,"18 years","2004",9,289,50,365,18,"right","Attack","188",18,188,2004,0.5,"right",1,"[18,21)","(185,203]","(3,9]","2000s","Spain","EU_Major"
"Yuri Zhirkov","Russia","https://fbref.com/en/players/ed2b33cb/Yuri-Zhirkov","https://www.transfermarkt.com/yuriy-zhirkov/profil/spieler/16760",18,"Yes",38,42,"20 years","Not found",10,645,88,451,24,"left","Midfield","180",20,180,NA,0.416666666666667,"left",1,"[18,21)","[165,180]","(9,57]","NAs","Russia","Rest_of_World"
"Patrick Agyemang","Ghana  England","https://fbref.com/en/players/80f1245c/Patrick-Agyemang","https://www.transfermarkt.com/patrick-agyemang/profil/spieler/13982",18,"Yes",37,45,"20 years","2001",0,0,0,405,14,"right","Attack","185",20,185,2001,0,"right",1,"[18,21)","(180,185]","[0,3]","2000s","Ghana England","UK_Ireland"
"Bruno Andrade","Portugal  Cape Verde","https://fbref.com/en/players/6e87c80f/Bruno-Andrade","https://www.transfermarkt.com/bruno-andrade/profil/spieler/169633",15,"No",NA,32,"16 years","2010",0,0,0,319,15,"right","Midfield","175",16,175,2010,0,"right",0,"[15,18)","[165,180]","[0,3]","2010s","Portugal Cape Verde","EU_Major"
"Park Chu-young","Korea, South","https://fbref.com/en/players/d9fa272a/Park-Chu-young","https://www.transfermarkt.com/chu-young-park/profil/spieler/30982",20,"Yes",39,40,"23 years","2008",3,246,30,318,16,"right","Attack","182",23,182,2008,0.1875,"right",1,"[21,24)","(180,185]","[0,3]","2000s","Korea, South","Rest_of_World"
"Ji Dong-won","Korea, South","https://fbref.com/en/players/7d841904/Ji-Dong-won","https://www.transfermarkt.com/dong-won-ji/profil/spieler/164265",16,"No",NA,34,"20 years","2011",24,1078,155,272,16,"right","Attack","189",20,189,2011,1.5,"right",0,"[18,21)","(185,203]","(9,57]","2010s","Korea, South","Rest_of_World"
"Doni","Brazil  Italy","https://fbref.com/en/players/b8be3693/Doni","https://www.transfermarkt.com/doni/profil/spieler/20392",12,"Yes",33,46,"25 years","2005",3,187,23,187,7,"right","Goalkeeper","194",25,194,2005,0.428571428571429,"right",1,"[24,30]","(185,203]","[0,3]","2000s","Brazil Italy","EU_Major"
"Robert Hulse","England","https://fbref.com/en/players/edaf9ca0/Robert-Hulse","https://www.transfermarkt.com/rob-hulse/profil/spieler/9980",13,"Yes",33,46,"21 years","2001",0,0,0,350,12,"right","Attack","185",21,185,2001,0,"right",1,"[21,24)","(180,185]","[0,3]","2000s","England","UK_Ireland"
"Chris Martin","Scotland  England","https://fbref.com/en/players/c21e39f9/Chris-Martin","https://www.transfermarkt.com/chris-martin/profil/spieler/46154",19,"No",NA,37,"17 years","2006",2,68,15,647,19,"right","Attack","185",17,185,2006,0.105263157894737,"right",0,"[15,18)","(180,185]","[0,3]","2000s","Scotland England","UK_Ireland"
"Tommy Smith","England","https://fbref.com/en/players/066be641/Tommy-Smith","https://www.transfermarkt.com/tommy-smith/profil/spieler/12401",17,"Yes",35,45,"19 years","1999",1,64,16,470,14,"right","Attack","173",19,173,1999,0.0714285714285714,"right",1,"[18,21)","[165,180]","[0,3]","1990s","England","UK_Ireland"
"Lee Camp","Northern Ireland  England","https://fbref.com/en/players/df4b8b69/Lee-Camp","https://www.transfermarkt.com/lee-camp/profil/spieler/13443",19,"Yes",37,41,"18 years","2003",0,0,0,560,18,"right","Goalkeeper","185",18,185,2003,0,"right",1,"[18,21)","(180,185]","[0,3]","2000s","Northern Ireland England","UK_Ireland"
"Javier Garrido","Spain","https://fbref.com/en/players/3b142ce5/Javier-Garrido","https://www.transfermarkt.com/javier-garrido/profil/spieler/23218",18,"Yes",35,40,"19 years","2004",5,139,23,235,12,"left","Defender","180",19,180,2004,0.416666666666667,"left",1,"[18,21)","[165,180]","(3,9]","2000s","Spain","EU_Major"
"Giorgos Karagounis","Greece","https://fbref.com/en/players/ed2192d0/Giorgos-Karagounis","https://www.transfermarkt.com/georgios-karagounis/profil/spieler/6106",18,"Yes",37,48,"23 years","2000",1,14,2,371,15,"right","Midfield","176",23,176,2000,0.0666666666666667,"right",1,"[21,24)","[165,180]","[0,3]","2000s","Greece","Rest_of_World"
"Maicon Sisenando","Brazil","https://fbref.com/en/players/fbc5d136/Maicon-Sisenando","https://www.transfermarkt.com/maicon/profil/spieler/18301",19,"Yes",39,44,"23 years","2004",19,626,125,392,14,"right","Defender","184",23,184,2004,1.35714285714286,"right",1,"[21,24)","(180,185]","(9,57]","2000s","Brazil","South_America"
"Alex Smith","England","https://fbref.com/en/players/1c8af6eb/Alex-Smith","https://www.transfermarkt.com/alex-smith/profil/spieler/116655",14,"No",NA,34,"20 years","2012",0,0,0,25,5,"left","Midfield","177",20,177,2012,0,"left",0,"[18,21)","[165,180]","[0,3]","2010s","England","UK_Ireland"
"Ki Sung-yueng","Korea, South","https://fbref.com/en/players/1d8c99b0/Ki-Sung-yueng","https://www.transfermarkt.com/sung-yueng-ki/profil/spieler/81796",18,"No",NA,36,"20 years","2009",18,1059,133,427,17,"right","Midfield","187",20,187,2009,1.05882352941176,"right",0,"[18,21)","(185,203]","(9,57]","2000s","Korea, South","Rest_of_World"
"Adrián","Spain","https://fbref.com/en/players/f76e6b4e/Adrian","https://www.transfermarkt.com/adrian/profil/spieler/71271",13,"No",NA,38,"25 years","2012",2,42,11,226,13,"right","Goalkeeper","190",25,190,2012,0.153846153846154,"right",0,"[24,30]","(185,203]","[0,3]","2010s","Spain","EU_Major"
"Sone Aluko","Nigeria  England","https://fbref.com/en/players/5a75d4cc/Sone-Aluko","https://www.transfermarkt.com/sone-aluko/profil/spieler/42198",17,"Yes",35,36,"18 years","2007",7,248,78,459,18,"left","Attack","173",18,173,2007,0.388888888888889,"left",1,"[18,21)","[165,180]","(3,9]","2000s","Nigeria England","UK_Ireland"
"Kim Bo-kyung","Korea, South","https://fbref.com/en/players/587ddfd6/Kim-Bo-kyung","https://www.transfermarkt.com/bo-kyung-kim/profil/spieler/128375",16,"No",NA,36,"22 years","2012",5,123,20,324,13,"left","Attack","178",22,178,2012,0.384615384615385,"left",0,"[21,24)","[165,180]","(3,9]","2010s","Korea, South","Rest_of_World"
"Cabral","Switzerland  Cape Verde","https://fbref.com/en/players/5c5f1c9d/Cabral","https://www.transfermarkt.com/cabral/profil/spieler/33046",15,"Yes",31,37,"18 years","2007",6,133,15,181,10,"right","Midfield","178",18,178,2007,0.6,"right",1,"[18,21)","[165,180]","(3,9]","2000s","Switzerland Cape Verde","Rest_of_World"
"Cala","Spain","https://fbref.com/en/players/fe05804b/Cala","https://www.transfermarkt.com/juan-cala/profil/spieler/67089",15,"Yes",33,36,"17 years","2007",7,488,59,305,17,"right","Defender","187",17,187,2007,0.411764705882353,"right",1,"[15,18)","(185,203]","(3,9]","2000s","Spain","EU_Major"
"José Cañas","Spain","https://fbref.com/en/players/ab77f2d9/Jose-Canas","https://www.transfermarkt.com/jose-alberto-canas/profil/spieler/69609",17,"No",NA,38,"21 years","2008",8,309,53,271,13,"right","Midfield","177",21,177,2008,0.615384615384615,"right",0,"[21,24)","[165,180]","(3,9]","2000s","Spain","EU_Major"
"Mats Møller Dæhli","Norway","https://fbref.com/en/players/fcf5211e/Mats-Moller-Daehli","https://www.transfermarkt.com/mats-moller-daehli/profil/spieler/190831",12,"No",NA,30,"17 years","Not found",16,536,79,289,15,"right","Midfield","172",17,172,NA,1.06666666666667,"right",0,"[15,18)","[165,180]","(9,57]","NAs","Norway","Rest_of_World"
"Liam O'Neil","England  Wales","https://fbref.com/en/players/22e07c17/Liam-ONeil","https://www.transfermarkt.com/liam-oneil/profil/spieler/141349",12,"Yes",30,32,"18 years","Not found",0,0,0,257,12,"right","Midfield","173",18,173,NA,0,"right",1,"[18,21)","[165,180]","[0,3]","NAs","England Wales","UK_Ireland"
"Willian","Brazil","https://fbref.com/en/players/8b9ebd03/Willian","https://www.transfermarkt.com/willian/profil/spieler/52769",19,"No",NA,37,"18 years","2007",17,276,49,697,20,"right","Attack","175",18,175,2007,0.85,"right",0,"[18,21)","[165,180]","(9,57]","2000s","Brazil","South_America"
"James Wilson","England","https://fbref.com/en/players/b0d786ee/James-Wilson","https://www.transfermarkt.com/james-wilson/profil/spieler/214104",12,"No",NA,30,"17 years","2013",5,395,58,236,12,"left","Attack","180",17,180,2013,0.416666666666667,"left",0,"[15,18)","[165,180]","(3,9]","2010s","England","UK_Ireland"
"Michael Duff","Northern Ireland","https://fbref.com/en/players/eabdc970/Michael-Duff","https://www.transfermarkt.com/michael-duff/profil/spieler/36894",12,"Yes",38,47,"24 years","2002",1,40,8,429,14,"right","Defender","185",24,185,2002,0.0714285714285714,"right",1,"[24,30]","(180,185]","[0,3]","2000s","Northern Ireland","UK_Ireland"
"Fernando","Brazil  Portugal","https://fbref.com/en/players/41f32541/Fernando","https://www.transfermarkt.com/fernando/profil/spieler/51174",18,"No",NA,38,"20 years","2007",27,961,128,578,19,"right","Midfield","183",20,183,2007,1.42105263157895,"right",0,"[18,21)","(180,185]","(9,57]","2000s","Brazil Portugal","EU_Major"
"Nenê","Brazil  Spain","https://fbref.com/en/players/265ebd37/Nene","https://www.transfermarkt.com/nene/profil/spieler/29091",23,"No",NA,44,"22 years","2003",3,153,21,698,22,"left","Attack","181",22,181,2003,0.136363636363636,"left",0,"[21,24)","(180,185]","[0,3]","2000s","Brazil Spain","EU_Major"
"José Pozo","Spain","https://fbref.com/en/players/fc8b614b/Jose-Pozo","https://www.transfermarkt.com/jose-pozo/profil/spieler/195605",11,"No",NA,29,"18 years","2014",4,220,29,250,12,"left","Attack","170",18,170,2014,0.333333333333333,"left",0,"[18,21)","[165,180]","(3,9]","2010s","Spain","EU_Major"
"Carlos Sánchez","Colombia","https://fbref.com/en/players/50b51fac/Carlos-Sanchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226",18,"Yes",38,39,"21 years","2007",5,329,57,467,18,"left","Midfield","182",21,182,2007,0.277777777777778,"left",1,"[21,24)","(180,185]","(3,9]","2000s","Colombia","Rest_of_World"
"Filip Đuričić","Serbia","https://fbref.com/en/players/eccbe56a/Filip-Djuricic","https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307",15,"No",NA,33,"17 years","2009",12,370,64,407,17,"right","Attack","181",17,181,2009,0.705882352941177,"right",0,"[15,18)","(180,185]","(9,57]","2000s","Serbia","Rest_of_World"
"Éder","Portugal  Guinea-Bissau","https://fbref.com/en/players/f0fc9d0e/Eder","https://www.transfermarkt.com/eder/profil/spieler/84481",14,"Yes",34,37,"20 years","2008",5,120,22,339,14,"both","Attack","189",20,189,2008,0.357142857142857,"both",1,"[18,21)","(185,203]","(3,9]","2000s","Portugal Guinea-Bissau","EU_Major"
"Son Heung-min","Korea, South","https://fbref.com/en/players/92e7e919/Son-Heung-min","https://www.transfermarkt.com/heung-min-son/profil/spieler/91845",15,"No",NA,33,"18 years","2010",17,458,77,614,16,"both","Attack","183",18,183,2010,1.0625,"both",0,"[18,21)","(180,185]","(9,57]","2010s","Korea, South","Rest_of_World"
"Jordan Pickford","England","https://fbref.com/en/players/4806ec67/Jordan-Pickford","https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164",10,"No",NA,31,"17 years","2011",4,120,27,486,15,"left","Goalkeeper","185",17,185,2011,0.266666666666667,"left",0,"[15,18)","(180,185]","(3,9]","2010s","England","UK_Ireland"
