player_name,player_url
Óliver Torres,https://fbref.com/en/players/58a9a4d9/Oliver-Torres
Óscar,https://fbref.com/en/players/627650df/Oscar
Óscar Díaz,https://fbref.com/en/players/5a5ed410/Oscar-Diaz
Óscar de Marcos,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
Óscar Serrano,https://fbref.com/en/players/c862ecc5/Oscar-Serrano
Óscar Trejo,https://fbref.com/en/players/fc647b34/Oscar-Trejo
Óscar Ustari,https://fbref.com/en/players/40e417fa/Oscar-Ustari
Éric Abidal,https://fbref.com/en/players/016828bd/Eric-Abidal
Éver Banega,https://fbref.com/en/players/fa937f7a/Ever-Banega
Íñigo López,https://fbref.com/en/players/8c61ca86/Inigo-Lopez
Ádám Pintér,https://fbref.com/en/players/fdbcd938/Adam-Pinter
Álex Bergantiños,https://fbref.com/en/players/65ea8868/Alex-Bergantinos
Álex Fernández,https://fbref.com/en/players/aa677a35/Alex-Fernandez
Álex Gálvez,https://fbref.com/en/players/960fb42d/Alex-Galvez
Álex López,https://fbref.com/en/players/30b44896/Alex-Lopez
Álex Martínez,https://fbref.com/en/players/e1c805cf/Alex-Martinez
Álex Menéndez,https://fbref.com/en/players/ddab8ee4/Alex-Menendez
Álex Moreno,https://fbref.com/en/players/16e9d0ea/Alex-Moreno
Álex Pérez,https://fbref.com/en/players/8dac6f70/Alex-Perez
Álex Rubio,https://fbref.com/en/players/c8c36c4f/Alex-Rubio
Álvaro Arbeloa,https://fbref.com/en/players/6dc73abd/Alvaro-Arbeloa
Álvaro Arroyo,https://fbref.com/en/players/b2fa39c5/Alvaro-Arroyo
Álvaro Cejudo,https://fbref.com/en/players/a39b23eb/Alvaro-Cejudo
Álvaro Domínguez,https://fbref.com/en/players/cd0a9411/Alvaro-Dominguez
Álvaro García,https://fbref.com/en/players/90bbd822/Alvaro-Garcia
Álvaro Giménez,https://fbref.com/en/players/18017beb/Alvaro-Gimenez
Álvaro González,https://fbref.com/en/players/42dcf26d/Alvaro-Gonzalez
Álvaro Medrán,https://fbref.com/en/players/31223bcf/Alvaro-Medran
Álvaro Morata,https://fbref.com/en/players/129af0db/Alvaro-Morata
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo
Álvaro Rubio,https://fbref.com/en/players/149770b8/Alvaro-Rubio
Álvaro Vázquez,https://fbref.com/en/players/d2d8675a/Alvaro-Vazquez
Álvaro Vadillo,https://fbref.com/en/players/61b62b33/Alvaro-Vadillo
Ángel Dealbert,https://fbref.com/en/players/8242a7ad/Angel-Dealbert
Ángel Di María,https://fbref.com/en/players/19cda00b/Angel-Di-Maria
Ángel López,https://fbref.com/en/players/93cdc601/Angel-Lopez
Ángel Lafita,https://fbref.com/en/players/0b68c35a/Angel-Lafita
Ángel Rodríguez,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez
Ángel Trujillo,https://fbref.com/en/players/08011c9c/Angel-Trujillo
Aarón Ñíguez,https://fbref.com/en/players/5d720396/Aaron-Niguez
Abdón Prats,https://fbref.com/en/players/d1b060e2/Abdon-Prats
Abdelaziz Barrada,https://fbref.com/en/players/89dac314/Abdelaziz-Barrada
Abdelkader Ghezzal,https://fbref.com/en/players/9152a181/Abdelkader-Ghezzal
Abdelkader Oueslati,https://fbref.com/en/players/dc90d163/Abdelkader-Oueslati
Abdoul Sissoko,https://fbref.com/en/players/f7288611/Abdoul-Sissoko
Abdoulay Konko,https://fbref.com/en/players/43857861/Abdoulay-Konko
Abdoulaye Ba,https://fbref.com/en/players/1f54ed90/Abdoulaye-Ba
Abel Aguilar,https://fbref.com/en/players/6936b41b/Abel-Aguilar
Abel Gómez Moreno,https://fbref.com/en/players/b09801d8/Abel-Gomez-Moreno
Abraham González,https://fbref.com/en/players/682bd745/Abraham-Gonzalez
Abraham Minero,https://fbref.com/en/players/ce2c56fc/Abraham-Minero
Abraham Paz,https://fbref.com/en/players/15ec0042/Abraham-Paz
