player_name,transfermarkt_url
Mark Bunn,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319
Gary Cahill,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511
Tim Cahill,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556
Gary Caldwell,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791
Steven Caldwell,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462
DJ Campbell,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Sol Campbell,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198
John Carew,https://www.transfermarkt.com/john-carew/profil/spieler/3570
John Carew,https://www.transfermarkt.com/john-carew/profil/spieler/3570
David Carney,https://www.transfermarkt.com/david-carney/profil/spieler/10387
Stephen Carr,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046
Jamie Carragher,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597
Michael Carrick,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878
Andy Carroll,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
Andy Carroll,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
Scott Carson,https://www.transfermarkt.com/scott-carson/profil/spieler/14555
Craig Cathcart,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606
Lee Cattermole,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363
Marek Čech,https://www.transfermarkt.com/marek-ech/profil/spieler/21354
Petr Čech,https://www.transfermarkt.com/petr-ech/profil/spieler/5658
Marouane Chamakh,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085
Pascal Chimbonda,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875
Lee Chung-yong,https://www.transfermarkt.com/chung-yong-lee/profil/spieler/81801
Ciaran Clark,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240
Tom Cleverley,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484
Gaël Clichy,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449
Tamir Cohen,https://www.transfermarkt.com/tamir-cohen/profil/spieler/24209
Jack Colback,https://www.transfermarkt.com/jack-colback/profil/spieler/61644
Ashley Cole,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182
Carlton Cole,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179
Joe Cole,https://www.transfermarkt.com/joe-cole/profil/spieler/3876
Séamus Coleman,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390
Danny Collins,https://www.transfermarkt.com/danny-collins/profil/spieler/26183
James Collins,https://www.transfermarkt.com/james-collins/profil/spieler/12691
Jack Collison,https://www.transfermarkt.com/jack-collison/profil/spieler/61568
Fabricio Coloccini,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150
Jordan Cook,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646
Vedran Ćorluka,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393
Manuel da Costa,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398
Simon Cox,https://www.transfermarkt.com/simon-cox/profil/spieler/37150
Jody Craddock,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129
Stephen Crainey,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499
Peter Crouch,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072
Carlo Cudicini,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151
Carlos Cuéllar,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576
Scott Dann,https://www.transfermarkt.com/scott-dann/profil/spieler/62688
Curtis Davies,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227
Kevin Davies,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114
Mark Davies,https://www.transfermarkt.com/mark-davies/profil/spieler/36917
Simon Davies,https://www.transfermarkt.com/simon-davies/profil/spieler/4056
Michael Dawson,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988
Jermain Defoe,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875
Rory Delap,https://www.transfermarkt.com/rory-delap/profil/spieler/4112
Nathan Delfouneso,https://www.transfermarkt.com/nathan-delfouneso/profil/spieler/62642
Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362
Mousa Dembélé,https://www.transfermarkt.com/mousa-dembl/profil/spieler/19368
Ishmel Demontagnac,https://www.transfermarkt.com/ishmel-demontagnac/profil/spieler/42188
Clint Dempsey,https://www.transfermarkt.com/clint-dempsey/profil/spieler/27577
Denílson,https://www.transfermarkt.com/denilson/profil/spieler/42352
Edwin van der Sar,https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516
Rafael van der Vaart,https://www.transfermarkt.com/rafael-van-der-vaart/profil/spieler/4192
Matt Derbyshire,https://www.transfermarkt.com/matt-derbyshire/profil/spieler/15175
Franco Di Santo,https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783
Abou Diaby,https://www.transfermarkt.com/abou-diaby/profil/spieler/26763
Alessandro Diamanti,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197
Mohamed Diamé,https://www.transfermarkt.com/mohamed-diam/profil/spieler/70950
Salif Diao,https://www.transfermarkt.com/salif-diao/profil/spieler/3600
Kagisho Dikgacoi,https://www.transfermarkt.com/kagisho-dikgacoi/profil/spieler/63285
Sylvain Distin,https://www.transfermarkt.com/sylvain-distin/profil/spieler/3356
Johan Djourou,https://www.transfermarkt.com/johan-djourou/profil/spieler/34561
Graham Dorrans,https://www.transfermarkt.com/graham-dorrans/profil/spieler/36608
Giovani dos Santos,https://www.transfermarkt.com/giovani-dos-santos/profil/spieler/44674
Stewart Downing,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063
