player_name,player_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons
Jordon Mutch,https://www.transfermarkt.com/jordon-mutch/profil/spieler/57207,Success,57207,spieler,Jordon Mutch,02/12/1991 (33),Alvaston,"1,84 m",England,Midfield - Central Midfield,right,Not found,Without Club,30/12/2024,-,adidas,11,657,114,No,Not found,Not found,6
Boaz Myhill,https://www.transfermarkt.com/boaz-myhill/profil/spieler/3838,Success,3838,spieler,Boaz Myhill,09/11/1982 (43),"Modesto, Kalifornien","1,91 m",Wales  United States,Goalkeeper,right,Not found,West Brom,1/7/2019,-,Not found,3,130,21,Yes,1/7/2019,Not found,3
David N'Gog,https://www.transfermarkt.com/david-ngog/profil/spieler/41242,Success,41242,spieler,David N'Gog,01/04/1989 (36),Gennevilliers,"1,90 m",France  Cameroon,Attack - Centre-Forward,right,Not found,Panionios,1/7/2023,-,Not found,1,216,8,Yes,1/7/2023,Not found,1
Charles N'Zogbia,https://www.transfermarkt.com/charles-nzogbia/profil/spieler/22165,Success,22165,spieler,Charles N'Zogbia,28/05/1986 (39),Harfleur,"1,71 m",France  DR Congo,Attack - Right Winger,left,Not found,Aston Villa,1/7/2016,-,adidas,7,3790,81,Yes,1/7/2016,Not found,4
Nani,https://www.transfermarkt.com/nani/profil/spieler/33706,Success,33706,spieler,Nani,17/11/1986 (39),Amadora,"1,77 m",Portugal  Cape Verde,Attack - Left Winger,both,Not found,Estrela Amadora,8/12/2024,-,Not found,27,753,131,Yes,8/12/2024,Not found,13
Samir Nasri,https://www.transfermarkt.com/samir-nasri/profil/spieler/18935,Success,18935,spieler,Samir Nasri,26/06/1987 (38),Marseille,"1,77 m",France  Algeria,Midfield - Attacking Midfield,right,Not found,RSC Anderlecht,26/09/2021,-,New Balance,30,1148,191,Yes,26/09/2021,Not found,12
Ryan Nelsen,https://www.transfermarkt.com/ryan-nelsen/profil/spieler/28878,Success,28878,spieler,Ryan Nelsen,18/10/1977 (48),Christchurch,"1,85 m",New Zealand,Defender - Centre-Back,right,Not found,QPR,31/01/2013,-,Not found,6,414,60,Yes,31/01/2013,Not found,6
Gary Neville,https://www.transfermarkt.com/gary-neville/profil/spieler/3403,Success,3403,spieler,Gary Neville,18/02/1975 (50),Bury,"1,80 m",England,Defender - Right-Back,right,Not found,Man Utd,2/2/2011,-,Not found,3,377,79,Yes,2/2/2011,Not found,3
Phil Neville,https://www.transfermarkt.com/phil-neville/profil/spieler/3404,Success,3404,spieler,Phil Neville,21/01/1977 (48),Bury,"1,80 m",England,Defender - Right-Back,right,Not found,Everton,1/7/2013,-,Not found,6,262,49,Yes,1/7/2013,Not found,3
Mark Noble,https://www.transfermarkt.com/mark-noble/profil/spieler/31835,Success,31835,spieler,Mark Noble,08/05/1987 (38),London,"1,80 m",England  Ireland,Midfield - Central Midfield,right,Not found,West Ham,1/7/2022,-,adidas,13,283,53,Yes,1/7/2022,Not found,9
Ryan Noble,https://www.transfermarkt.com/ryan-noble/profil/spieler/121340,Success,121340,spieler,Ryan Noble,11/06/1991 (34),Sunderland,"1,82 m",England,Attack - Centre-Forward,right,Not found,Billingham Syn.,-,-,Not found,0,0,0,Yes,-,Not found,0
Kevin Nolan,https://www.transfermarkt.com/kevin-nolan/profil/spieler/3950,Success,3950,spieler,Kevin Nolan,24/06/1982 (43),Liverpool,"1,83 m",England,Midfield - Attacking Midfield,right,Not found,Notts County,26/08/2018,-,Not found,3,87,18,Yes,26/08/2018,Not found,3
Frank Nouble,https://www.transfermarkt.com/frank-nouble/profil/spieler/119123,Success,119123,spieler,Frank Nouble,24/09/1991 (34),London,"1,90 m",England  Cote d'Ivoire,Attack - Centre-Forward,right,Not found,Gateshead,22/03/2025,30/06/2026,Not found,1,45,7,No,Not found,14,1
Steven Nzonzi,https://www.transfermarkt.com/steven-nzonzi/profil/spieler/73734,Success,73734,spieler,Steven Nzonzi,15/12/1988 (36),Colombes,"1,96 m",France  DR Congo,Midfield - Defensive Midfield,right,Not found,Stoke City,8/8/2025,30/06/2026,Not found,5,55,11,No,Not found,15,3
Andy O'Brien,https://www.transfermarkt.com/andy-obrien/profil/spieler/869490,Success,869490,spieler,Andy O'Brien,Not found,Not found,Not found,Ireland,Defender,Not found,Not found,Without Club,24/07/2021,-,Not found,0,0,0,No,Not found,Not found,0
Garry O'Connor,https://www.transfermarkt.com/garry-oconnor/profil/spieler/15708,Success,15708,spieler,Garry O'Connor,07/05/1983 (42),Edinburgh,"1,86 m",Scotland,Attack - Centre-Forward,right,Not found,Selkirk FC,9/12/2016,-,Not found,2,160,29,Yes,9/12/2016,Not found,1
Jamie O'Hara,https://www.transfermarkt.com/jamie-ohara/profil/spieler/38090,Success,38090,spieler,Jamie O'Hara,25/09/1986 (39),Dartford,"1,80 m",England,Midfield - Central Midfield,left,Not found,Billericay,16/09/2019,-,Not found,4,73,16,Yes,16/09/2019,Not found,3
Gary O'Neil,https://www.transfermarkt.com/gary-oneil/profil/spieler/3995,Success,3995,spieler,Gary O'Neil,18/05/1983 (42),London,"1,74 m",England,Midfield - Central Midfield,right,Not found,Bolton,1/7/2019,-,Not found,4,335,50,Yes,1/7/2019,Not found,3
John O'Shea,https://www.transfermarkt.com/john-oshea/profil/spieler/3540,Success,3540,spieler,John O'Shea,30/04/1981 (44),Waterford,"1,92 m",Ireland,Defender - Centre-Back,right,Not found,Reading,7/5/2019,-,Nike,6,247,29,Yes,7/5/2019,Not found,5
Gabriel Obertan,https://www.transfermarkt.com/gabriel-obertan/profil/spieler/43261,Success,43261,spieler,Gabriel Obertan,26/02/1989 (36),Pantin,"1,86 m",France  Guadeloupe,Attack - Right Winger,right,Not found,Without Club,1/12/2024,-,Nike,8,537,104,No,Not found,Not found,7
John Obi Mikel,https://www.transfermarkt.com/john-obi-mikel/profil/spieler/30739,Success,30739,spieler,John Obi Mikel,22/04/1987 (38),Jos,"1,88 m",Nigeria  England,Midfield - Defensive Midfield,right,Not found,Kuwait SC,27/09/2022,-,Not found,9,310,49,Yes,27/09/2022,Not found,6
Victor Obinna,https://www.transfermarkt.com/victor-obinna/profil/spieler/35852,Success,35852,spieler,Victor Obinna,25/03/1987 (38),Jos,N/A,Nigeria  Italy,Attack - Second Striker,N/A,Not found,Cape Town City,5/2/2018,-,Not found,3,145,12,Yes,5/2/2018,Not found,3
Peter Odemwingie,https://www.transfermarkt.com/peter-odemwingie/profil/spieler/12516,Success,12516,spieler,Peter Odemwingie,15/07/1981 (44),Tashkent,"1,81 m",Nigeria  Russia,Attack - Centre-Forward,right,Not found,Madura United,1/1/2019,-,Nike,3,287,52,Yes,1/1/2019,Not found,3
Jonas Olsson,https://www.transfermarkt.com/jonas-olsson/profil/spieler/25248,Success,25248,spieler,Jonas Olsson,10/03/1983 (42),Landskrona,"1,93 m",Sweden,Defender - Centre-Back,left,Not found,Wigan,20/09/2019,-,Not found,7,261,57,Yes,20/09/2019,Not found,7
Martin Olsson,https://www.transfermarkt.com/martin-olsson/profil/spieler/38073,Success,38073,spieler,Martin Olsson,17/05/1988 (37),Gävle,"1,78 m",Sweden,Defender - Left-Back,left,Not found,Malmö,11/8/2021,31/12/2025,Not found,11,577,101,No,Not found,13,10
Nedum Onuoha,https://www.transfermarkt.com/nedum-onuoha/profil/spieler/28810,Success,28810,spieler,Nedum Onuoha,12/11/1986 (39),Warri,"1,83 m",England  Nigeria,Defender - Centre-Back,right,Not found,Salt Lake,1/1/2021,-,Not found,7,141,23,Yes,1/1/2021,Not found,5
Brett Ormerod,https://www.transfermarkt.com/brett-ormerod/profil/spieler/4113,Success,4113,spieler,Brett Ormerod,18/10/1976 (49),Blackburn,"1,80 m",England,Attack - Centre-Forward,right,Not found,Bamber Bridge,21/01/2016,-,Not found,0,0,0,Yes,21/01/2016,Not found,0
Leon Osman,https://www.transfermarkt.com/leon-osman/profil/spieler/3620,Success,3620,spieler,Leon Osman,17/05/1981 (44),Wigan,"1,73 m",England,Midfield - Central Midfield,right,Not found,Everton,1/7/2016,-,Not found,7,168,41,Yes,1/7/2016,Not found,5
