player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket
Joey Barton,3292,https://www.transfermarkt.com/joey-barton/profil/spieler/3292,5/4/2003,20 years 07 months 03 days,20,Premier League,8/8/2009,26,26,Championship,20
Chris Basham,52495,https://www.transfermarkt.com/chris-basham/profil/spieler/52495,29/11/2008,20 years 04 months 09 days,20,Premier League,5/8/2011,23,23,Championship,20
Sébastien Bassong,33951,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951,20/08/2005,19 years 01 month 11 days,19,Ligue 1,29/07/2006,20,20,Ligue 2,19
Jose Baxter,82734,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734,16/08/2008,16 years 06 months 09 days,16,Premier League,8/3/2020,28,28,USL Championship,16
James Beattie,3112,https://www.transfermarkt.com/james-beattie/profil/spieler/3112,12/10/1996,18 years 07 months 15 days,18,Premier League,11/8/2007,29,29,Championship,18
Jean Beausejour,18871,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871,18/02/2002,17 years 08 months 17 days,17,,6/8/2011,27,27,Championship,17
Bebé,26541,https://www.transfermarkt.com/beb/profil/spieler/26541,6/9/1992,28 years 06 months 21 days,28,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,28
Jermaine Beckford,38874,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874,14/08/2010,26 years 08 months 05 days,26,Premier League,21/03/2006,22,22,Championship,22
Roman Bednář,26898,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898,9/8/2004,21 years 04 months 14 days,21,Fortuna Liga,3/11/2007,24,24,Championship,21
Asmir Begović,33873,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873,21/09/2005,18 years 03 months 01 day,18,Jupiler Pro League,17/10/2009,22,22,Championship,18
Valon Behrami,21905,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905,28/08/2005,20 years 04 months 09 days,20,Serie A,14/09/2003,18,18,Serie B,18
Hatem Ben Arfa,18900,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900,6/8/2004,17 years 04 months 30 days,17,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,17
Tal Ben Haim,20714,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714,30/04/2001,19 years 30 days,19,Ligat ha'Al,6/8/2011,29,29,Championship,19
Yossi Benayoun,7858,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,2/8/1997,17 years 02 months 28 days,17,,21/12/2013,33,33,Championship,17
Nicklas Bendtner,34557,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,12/8/2007,19 years 06 months 27 days,19,Premier League,5/8/2006,18,18,Championship,18
Benjani,12063,https://www.transfermarkt.com/benjani/profil/spieler/12063,4/8/2001,22 years 11 months 22 days,22,Raiffeisen Super League,16/08/2011,33,33,Championship,22
Darren Bent,13239,https://www.transfermarkt.com/darren-bent/profil/spieler/13239,18/11/2001,17 years 09 months 12 days,17,Premier League,10/8/2002,18,18,First Division (until 03/04),17
Marcus Bent,9958,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958,10/1/1998,19 years 07 months 22 days,19,Premier League,16/08/1998,20,20,,19
