player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket
Ishmael Miller,38776,https://www.transfermarkt.com/ishmael-miller/profil/spieler/38776,18/03/2006,19 years 13 days,19,Premier League,18/08/2007,20,20,Championship,19
James Milner,3333,https://www.transfermarkt.com/james-milner/profil/spieler/3333,10/11/2002,16 years 10 months 06 days,16,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,16
Luka Modrić,27992,https://www.transfermarkt.com/luka-modri/profil/spieler/27992,24/07/2004,18 years 10 months 15 days,18,SuperSport HNL,No second tier career,No second tier career,No second tier career,No second tier career,18
Josh Morris,121391,https://www.transfermarkt.com/josh-morris/profil/spieler/121391,27/11/2010,19 years 01 month 28 days,19,Premier League,11/1/2013,21,21,Championship,19
James Morrison,27614,https://www.transfermarkt.com/james-morrison/profil/spieler/27614,15/05/2004,17 years 11 months 20 days,17,Premier League,11/8/2007,21,21,Championship,17
Victor Moses,59866,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,6/2/2010,19 years 01 month 25 days,19,Premier League,6/11/2007,16,16,Championship,16
Steven Mouyokolo,58188,https://www.transfermarkt.com/steven-mouyokolo/profil/spieler/58188,15/08/2009,22 years 06 months 22 days,22,Premier League,14/09/2007,20,20,Ligue 2,20
Fabrice Muamba,35586,https://www.transfermarkt.com/fabrice-muamba/profil/spieler/35586,12/8/2007,19 years 04 months 06 days,19,Premier League,9/8/2006,18,18,Championship,18
Geoffrey Mujangi Bia,45455,https://www.transfermarkt.com/geoffrey-mujangi-bia/profil/spieler/45455,17/12/2006,17 years 04 months 05 days,17,Jupiler Pro League,22/12/2012,23,23,Championship,17
Youssouf Mulumbu,45272,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272,22/10/2006,19 years 08 months 27 days,19,Ligue 1,21/09/2007,20,20,Ligue 2,19
Sulley Muntari,17129,https://www.transfermarkt.com/sulley-muntari/profil/spieler/17129,6/11/2002,18 years 02 months 10 days,18,Serie A,9/3/2019,34,34,Segunda División,18
Danny Murphy,3221,https://www.transfermarkt.com/danny-murphy/profil/spieler/3221,9/8/1997,20 years 04 months 22 days,20,Premier League,13/02/1999,21,21,,20
David Murphy,3868,https://www.transfermarkt.com/david-murphy/profil/spieler/3868,19/02/2002,17 years 11 months 20 days,17,Premier League,9/8/2008,24,24,Championship,17
Jordon Mutch,57207,https://www.transfermarkt.com/jordon-mutch/profil/spieler/57207,22/01/2011,19 years 01 month 20 days,19,Premier League,26/01/2010,18,18,Championship,18
Boaz Myhill,3838,https://www.transfermarkt.com/boaz-myhill/profil/spieler/3838,16/08/2008,25 years 09 months 07 days,25,Premier League,23/11/2002,20,20,First Division (until 03/04),20
David N'Gog,41242,https://www.transfermarkt.com/david-ngog/profil/spieler/41242,18/11/2006,17 years 07 months 17 days,17,Ligue 1,15/09/2012,23,23,Championship,17
Charles N'Zogbia,22165,https://www.transfermarkt.com/charles-nzogbia/profil/spieler/22165,11/9/2004,18 years 03 months 14 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18
Nani,33706,https://www.transfermarkt.com/nani/profil/spieler/33706,28/08/2005,18 years 09 months 11 days,18,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,18
Samir Nasri,18935,https://www.transfermarkt.com/samir-nasri/profil/spieler/18935,12/9/2004,17 years 02 months 17 days,17,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,17
Ryan Nelsen,28878,https://www.transfermarkt.com/ryan-nelsen/profil/spieler/28878,7/4/2001,23 years 05 months 20 days,23,Major League Soccer,No second tier career,No second tier career,No second tier career,No second tier career,23
Gary Neville,3403,https://www.transfermarkt.com/gary-neville/profil/spieler/3403,8/5/1994,19 years 02 months 20 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19
Phil Neville,3404,https://www.transfermarkt.com/phil-neville/profil/spieler/3404,11/2/1995,18 years 21 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18
Mark Noble,31835,https://www.transfermarkt.com/mark-noble/profil/spieler/31835,13/08/2005,18 years 03 months 05 days,18,Premier League,15/01/2005,17,17,Championship,17
Ryan Noble,121340,https://www.transfermarkt.com/ryan-noble/profil/spieler/121340,26/02/2011,19 years 08 months 15 days,19,Premier League,2/10/2010,19,19,Championship,19
Kevin Nolan,3950,https://www.transfermarkt.com/kevin-nolan/profil/spieler/3950,18/08/2001,19 years 01 month 25 days,19,Premier League,4/3/2000,17,17,,17
Frank Nouble,119123,https://www.transfermarkt.com/frank-nouble/profil/spieler/119123,15/08/2009,17 years 10 months 22 days,17,Premier League,9/2/2010,18,18,Championship,17
Steven Nzonzi,73734,https://www.transfermarkt.com/steven-nzonzi/profil/spieler/73734,15/08/2009,20 years 08 months 00 days,20,Premier League,22/04/2008,19,19,Ligue 2,19
Andy O'Brien,869490,https://www.transfermarkt.com/andy-obrien/profil/spieler/869490,NA,NA,NA,NA,No second tier career,No second tier career,No second tier career,No second tier career,NA
Garry O'Connor,15708,https://www.transfermarkt.com/garry-oconnor/profil/spieler/15708,29/04/2001,17 years 11 months 22 days,17,Scottish Premiership,9/8/2008,25,25,Championship,17
Jamie O'Hara,38090,https://www.transfermarkt.com/jamie-ohara/profil/spieler/38090,15/12/2007,21 years 02 months 20 days,21,Premier League,26/12/2012,26,26,Championship,21
Gary O'Neil,3995,https://www.transfermarkt.com/gary-oneil/profil/spieler/3995,8/11/2003,20 years 05 months 21 days,20,Premier League,29/01/2000,16,16,,16
John O'Shea,3540,https://www.transfermarkt.com/john-oshea/profil/spieler/3540,27/01/2001,19 years 08 months 28 days,19,Jupiler Pro League,13/08/2017,36,36,Championship,19
Gabriel Obertan,43261,https://www.transfermarkt.com/gabriel-obertan/profil/spieler/43261,30/09/2006,17 years 07 months 04 days,17,Ligue 1,14/02/2017,27,27,Championship,17
John Obi Mikel,30739,https://www.transfermarkt.com/john-obi-mikel/profil/spieler/30739,24/04/2005,18 years 02 days,18,Eliteserien,2/2/2019,31,31,Championship,18
Victor Obinna,35852,https://www.transfermarkt.com/victor-obinna/profil/spieler/35852,11/9/2005,18 years 05 months 17 days,18,Serie A,9/9/2007,20,20,Serie B,18
Peter Odemwingie,12516,https://www.transfermarkt.com/peter-odemwingie/profil/spieler/12516,18/01/2003,21 years 06 months 03 days,21,Jupiler Pro League,12/3/2016,34,34,Championship,21
Jonas Olsson,25248,https://www.transfermarkt.com/jonas-olsson/profil/spieler/25248,21/04/2003,20 years 01 month 11 days,20,,8/8/2009,26,26,Championship,20
Martin Olsson,38073,https://www.transfermarkt.com/martin-olsson/profil/spieler/38073,30/12/2007,19 years 07 months 13 days,19,Premier League,15/09/2012,24,24,Championship,19
Nedum Onuoha,28810,https://www.transfermarkt.com/nedum-onuoha/profil/spieler/28810,1/11/2004,17 years 11 months 20 days,17,Premier League,3/8/2013,26,26,Championship,17
Brett Ormerod,4113,https://www.transfermarkt.com/brett-ormerod/profil/spieler/4113,15/12/2001,25 years 01 month 27 days,25,Premier League,24/09/2004,27,27,Championship,25
Leon Osman,3620,https://www.transfermarkt.com/leon-osman/profil/spieler/3620,12/1/2003,21 years 07 months 26 days,21,Premier League,28/01/2004,22,22,First Division (until 03/04),21
Michael Owen,1397,https://www.transfermarkt.com/michael-owen/profil/spieler/1397,6/5/1997,17 years 04 months 22 days,17,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,17
Daniel Pacheco,28285,https://www.transfermarkt.com/daniel-pacheco/profil/spieler/28285,26/12/2009,18 years 11 months 21 days,18,Premier League,2/4/2011,20,20,Championship,18
John Paintsil,35235,https://www.transfermarkt.com/john-paintsil/profil/spieler/35235,27/01/2003,21 years 07 months 12 days,21,Ligat ha'Al,13/08/2011,30,30,Championship,21
Wilson Palacios,58361,https://www.transfermarkt.com/wilson-palacios/profil/spieler/58361,22/09/2007,23 years 01 month 24 days,23,Premier League,3/7/2016,31,31,NASL Fall Championship,23
Scott Parker,3785,https://www.transfermarkt.com/scott-parker/profil/spieler/3785,26/12/1998,18 years 02 months 13 days,18,Premier League,23/08/1997,16,16,,16
Stuart Parnaby,3866,https://www.transfermarkt.com/stuart-parnaby/profil/spieler/3866,26/10/2002,20 years 03 months 07 days,20,Premier League,9/8/2008,26,26,Championship,20
Roman Pavlyuchenko,15072,https://www.transfermarkt.com/roman-pavlyuchenko/profil/spieler/15072,8/6/2000,18 years 05 months 24 days,18,Premier Liga,4/4/1999,17,17,,17
Jermaine Pennant,3195,https://www.transfermarkt.com/jermaine-pennant/profil/spieler/3195,24/08/2002,19 years 07 months 09 days,19,Premier League,12/1/2002,18,18,First Division (until 03/04),18
James Perch,49409,https://www.transfermarkt.com/james-perch/profil/spieler/49409,16/08/2010,24 years 10 months 19 days,24,Premier League,7/8/2004,18,18,Championship,18
Robin van Persie,4380,https://www.transfermarkt.com/robin-van-persie/profil/spieler/4380,3/2/2002,18 years 05 months 28 days,18,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,18
Martin Petrov,670,https://www.transfermarkt.com/martin-petrov/profil/spieler/670,27/02/1999,20 years 01 month 12 days,20,Raiffeisen Super League,18/08/2012,33,33,Championship,20
Stiliyan Petrov,3252,https://www.transfermarkt.com/stiliyan-petrov/profil/spieler/3252,15/08/1999,20 years 01 month 10 days,20,,No second tier career,No second tier career,No second tier career,No second tier career,20
Kevin Phillips,3131,https://www.transfermarkt.com/kevin-phillips/profil/spieler/3131,7/8/1999,26 years 13 days,26,Premier League,12/8/1995,22,22,,22
Matt Phillips,77274,https://www.transfermarkt.com/matt-phillips/profil/spieler/77274,25/09/2010,19 years 06 months 12 days,19,Premier League,14/08/2011,20,20,Championship,19
Steven Pienaar,4321,https://www.transfermarkt.com/steven-pienaar/profil/spieler/4321,24/02/2002,19 years 11 months 07 days,19,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,19
Frédéric Piquionne,5683,https://www.transfermarkt.com/frdric-piquionne/profil/spieler/5683,28/07/2001,22 years 07 months 20 days,22,Ligue 1,21/12/2000,22,22,Ligue 2,22
Robert Pirès,3185,https://www.transfermarkt.com/robert-pirs/profil/spieler/3185,2/4/1993,19 years 05 months 04 days,19,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,19
Mike Pollitt,32217,https://www.transfermarkt.com/mike-pollitt/profil/spieler/32217,14/08/2005,33 years 05 months 16 days,33,Premier League,11/8/2001,29,29,First Division (until 03/04),29
Christian Poulsen,1443,https://www.transfermarkt.com/christian-poulsen/profil/spieler/1443,16/04/2001,21 years 01 month 19 days,21,Superligaen,No second tier career,No second tier career,No second tier career,No second tier career,21
Danny Pugh,3546,https://www.transfermarkt.com/danny-pugh/profil/spieler/3546,21/09/2002,19 years 11 months 02 days,19,Premier League,7/8/2004,21,21,Championship,19
Jason Puncheon,47995,https://www.transfermarkt.com/jason-puncheon/profil/spieler/47995,5/2/2011,24 years 07 months 18 days,24,Premier League,13/03/2004,17,17,First Division (until 03/04),17
Paul Rachubka,4098,https://www.transfermarkt.com/paul-rachubka/profil/spieler/4098,17/03/2001,19 years 09 months 24 days,19,Premier League,11/8/2007,26,26,Championship,19
Rafael,357164,https://www.transfermarkt.com/rafael/profil/spieler/357164,11/2/2018,18 years 08 months 01 day,18,Liga Portugal,21/05/2017,17,17,Liga Portugal 2 Sabseg,17
Ramires,54170,https://www.transfermarkt.com/ramires/profil/spieler/54170,3/5/2007,20 years 01 month 09 days,20,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,20
Aaron Ramsey,50057,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,13/09/2008,17 years 08 months 18 days,17,Premier League,28/04/2007,16,16,Championship,16
Nile Ranger,88750,https://www.transfermarkt.com/nile-ranger/profil/spieler/88750,16/10/2010,19 years 06 months 05 days,19,Premier League,8/8/2009,18,18,Championship,18
Abdul Razak,224090,https://www.transfermarkt.com/abdul-razak/profil/spieler/224090,NA,NA,NA,NA,No second tier career,No second tier career,No second tier career,No second tier career,NA
Andy Reid,10008,https://www.transfermarkt.com/andy-reid/profil/spieler/10008,5/2/2005,22 years 06 months 07 days,22,Premier League,29/11/2000,18,18,,18
Steven Reid,7330,https://www.transfermarkt.com/steven-reid/profil/spieler/7330,23/08/2003,22 years 05 months 13 days,22,Premier League,11/8/2001,20,20,First Division (until 03/04),20
Winston Reid,37526,https://www.transfermarkt.com/winston-reid/profil/spieler/37526,27/11/2005,17 years 04 months 24 days,17,Superligaen,7/8/2011,23,23,Championship,17
Pepe Reina,7825,https://www.transfermarkt.com/pepe-reina/profil/spieler/7825,2/12/2000,18 years 03 months 01 day,18,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,18
Nigel Reo-Coker,14060,https://www.transfermarkt.com/nigel-reo-coker/profil/spieler/14060,13/08/2005,21 years 02 months 30 days,21,Premier League,21/04/2002,17,17,First Division (until 03/04),17
Micah Richards,32617,https://www.transfermarkt.com/micah-richards/profil/spieler/32617,22/10/2005,17 years 03 months 28 days,17,Premier League,17/09/2016,28,28,Championship,17
Kieran Richardson,3548,https://www.transfermarkt.com/kieran-richardson/profil/spieler/3548,23/11/2002,18 years 01 month 02 days,18,Premier League,22/10/2016,32,32,Championship,18
Sam Ricketts,30434,https://www.transfermarkt.com/sam-ricketts/profil/spieler/30434,16/08/2008,26 years 10 months 05 days,26,Premier League,5/8/2006,24,24,Championship,24
Liam Ridgewell,4070,https://www.transfermarkt.com/liam-ridgewell/profil/spieler/4070,28/12/2003,19 years 05 months 07 days,19,Premier League,9/8/2008,24,24,Championship,19
Cristian Riveros,37713,https://www.transfermarkt.com/cristian-riveros/profil/spieler/37713,20/01/2008,25 years 03 months 04 days,25,Liga MX Clausura,No second tier career,No second tier career,No second tier career,No second tier career,25
Jason Roberts,3666,https://www.transfermarkt.com/jason-roberts/profil/spieler/3666,17/08/2002,24 years 06 months 23 days,24,Premier League,12/8/2000,22,22,,22
Jack Robinson,183299,https://www.transfermarkt.com/jack-robinson/profil/spieler/183299,19/04/2014,19 years 02 months 17 days,19,Premier League,8/8/2015,20,20,Championship,19
Paul Robinson,3630,https://www.transfermarkt.com/paul-robinson/profil/spieler/3630,25/10/1998,19 years 10 days,19,Premier League,18/08/2012,32,32,Championship,19
Rubén Rochina,67548,https://www.transfermarkt.com/rubn-rochina/profil/spieler/67548,5/3/2011,19 years 11 months 10 days,19,Premier League,5/9/2010,19,19,Segunda División,19
Hugo Rodallega,37934,https://www.transfermarkt.com/hugo-rodallega/profil/spieler/37934,22/01/2006,20 years 05 months 28 days,20,Liga MX Clausura,16/08/2014,29,29,Championship,20
Rodrigo,357565,https://www.transfermarkt.com/rodrigo/profil/spieler/357565,17/04/2016,19 years 09 months 26 days,19,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,19
Maxi Rodríguez,7895,https://www.transfermarkt.com/maxi-rodrguez/profil/spieler/7895,12/3/2000,19 years 02 months 10 days,19,Torneo Final,No second tier career,No second tier career,No second tier career,No second tier career,19
Jack Rodwell,57079,https://www.transfermarkt.com/jack-rodwell/profil/spieler/57079,9/3/2008,16 years 11 months 27 days,16,Premier League,9/9/2017,26,26,Championship,16
Wayne Rooney,3332,https://www.transfermarkt.com/wayne-rooney/profil/spieler/3332,17/08/2002,16 years 09 months 24 days,16,Premier League,2/1/2020,34,34,Championship,16
Danny Rose,50174,https://www.transfermarkt.com/danny-rose/profil/spieler/50174,14/04/2010,19 years 09 months 12 days,19,Premier League,4/4/2009,18,18,Championship,18
Tomáš Rosický,132,https://www.transfermarkt.com/tom-rosick/profil/spieler/132,16/05/1999,18 years 07 months 12 days,18,,No second tier career,No second tier career,No second tier career,No second tier career,18
Wayne Routledge,14066,https://www.transfermarkt.com/wayne-routledge/profil/spieler/14066,14/08/2004,19 years 07 months 07 days,19,Premier League,31/10/2001,16,16,First Division (until 03/04),16
Bacary Sagna,26764,https://www.transfermarkt.com/bacary-sagna/profil/spieler/26764,11/9/2004,21 years 06 months 28 days,21,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,21
Louis Saha,4015,https://www.transfermarkt.com/louis-saha/profil/spieler/4015,8/8/1997,19 years 00 days,19,Ligue 1,12/8/2000,22,22,,19
Carlos Salcido,31434,https://www.transfermarkt.com/carlos-salcido/profil/spieler/31434,22/07/2001,21 years 03 months 20 days,21,Liga MX Apertura,11/1/2003,22,22,Liga de Expansión MX Clausura,21
Míchel Salgado,7515,https://www.transfermarkt.com/mchel-salgado/profil/spieler/7515,22/01/1995,19 years 03 months 00 days,19,LaLiga,20/10/1996,20,20,Segunda División,19
Christopher Samba,29016,https://www.transfermarkt.com/christopher-samba/profil/spieler/29016,27/08/2005,21 years 04 months 30 days,21,1.Bundesliga,2/8/2003,19,19,Ligue 2,19
Conor Sammon,68331,https://www.transfermarkt.com/conor-sammon/profil/spieler/68331,8/4/2005,18 years 05 months 02 days,18,Premier Division,21/08/2012,25,25,Championship,18
Sandro,315853,https://www.transfermarkt.com/sandro/profil/spieler/315853,22/01/2017,17 years 09 months 09 days,17,Serie A,No second tier career,No second tier career,No second tier career,No second tier career,17
Tuncay Şanlı,6934,https://www.transfermarkt.com/tuncay-anl/profil/spieler/6934,11/9/2002,20 years 07 months 26 days,20,Süper Lig,15/08/2009,27,27,Championship,20
Roque Santa Cruz,215,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215,22/08/1999,18 years 06 days,18,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,18
Paul Scharner,2953,https://www.transfermarkt.com/paul-scharner/profil/spieler/2953,24/04/1999,19 years 01 month 13 days,19,Bundesliga,17/07/2001,21,21,Erste Liga,19
Paul Scholes,3397,https://www.transfermarkt.com/paul-scholes/profil/spieler/3397,24/09/1994,19 years 10 months 08 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19
Mark Schwarzer,3357,https://www.transfermarkt.com/mark-schwarzer/profil/spieler/3357,22/04/1995,22 years 06 months 16 days,22,1.Bundesliga,23/11/1996,24,24,,22
Freddie Sears,70714,https://www.transfermarkt.com/freddie-sears/profil/spieler/70714,15/03/2008,18 years 03 months 17 days,18,Premier League,8/8/2009,19,19,Championship,18
Philippe Senderos,4277,https://www.transfermarkt.com/philippe-senderos/profil/spieler/4277,24/02/2002,17 years 10 days,17,Raiffeisen Super League,9/11/2019,34,34,Challenge League,17
Stéphane Sessègnon,37157,https://www.transfermarkt.com/stphane-sessgnon/profil/spieler/37157,12/8/2006,22 years 02 months 11 days,22,Ligue 1,14/01/2004,19,19,Ligue 2,19
Ryan Shawcross,45861,https://www.transfermarkt.com/ryan-shawcross/profil/spieler/45861,16/08/2008,20 years 10 months 12 days,20,Premier League,27/01/2007,19,19,Challenger Pro League,19
Jonjo Shelvey,71292,https://www.transfermarkt.com/jonjo-shelvey/profil/spieler/71292,24/10/2010,18 years 07 months 27 days,18,Premier League,26/04/2008,16,16,Championship,16
Nicky Shorey,13426,https://www.transfermarkt.com/nicky-shorey/profil/spieler/13426,19/08/2006,25 years 06 months 00 days,25,Premier League,10/8/2002,21,21,First Division (until 03/04),21
Ryan Shotton,92109,https://www.transfermarkt.com/ryan-shotton/profil/spieler/92109,30/04/2011,22 years 07 months 00 days,22,Premier League,26/09/2009,20,20,Championship,20
Mamady Sidibé,14069,https://www.transfermarkt.com/mamady-sidib/profil/spieler/14069,16/08/2008,28 years 07 months 29 days,28,Premier League,10/8/2002,22,22,First Division (until 03/04),22
Steve Sidwell,13427,https://www.transfermarkt.com/steve-sidwell/profil/spieler/13427,19/08/2006,23 years 08 months 05 days,23,Premier League,11/11/2002,19,19,First Division (until 03/04),19
David Silva,35518,https://www.transfermarkt.com/david-silva/profil/spieler/35518,28/08/2005,19 years 07 months 20 days,19,LaLiga,5/9/2004,18,18,Segunda División,18
Paulo da Silva,14244,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/14244,4/11/2001,21 years 09 months 10 days,21,Campeonato Brasileiro Série A,No second tier career,No second tier career,No second tier career,No second tier career,21
Danny Simpson,37442,https://www.transfermarkt.com/danny-simpson/profil/spieler/37442,6/10/2007,20 years 09 months 02 days,20,Premier League,21/01/2006,19,19,Challenger Pro League,19
Martin Škrtel,24180,https://www.transfermarkt.com/martin-krtel/profil/spieler/24180,20/09/2004,19 years 09 months 05 days,19,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,19
Chris Smalling,103427,https://www.transfermarkt.com/chris-smalling/profil/spieler/103427,24/05/2009,19 years 06 months 02 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19
Alan Smith,101327,https://www.transfermarkt.com/alan-smith/profil/spieler/101327,27/08/1983,20 years 09 months 06 days,20,First Division (until 91/92),4/9/1982,19,19,First Division (- 03/04),19
Alexandre Song,27394,https://www.transfermarkt.com/alexandre-song/profil/spieler/27394,7/8/2004,16 years 10 months 29 days,16,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,16
Keith Southern,44986,https://www.transfermarkt.com/keith-southern/profil/spieler/44986,11/9/2010,29 years 04 months 18 days,29,Premier League,11/8/2007,26,26,Championship,26
Jay Spearing,52111,https://www.transfermarkt.com/jay-spearing/profil/spieler/52111,17/10/2009,20 years 10 months 22 days,20,Premier League,24/03/2010,21,21,Championship,20
Jonathan Spector,24637,https://www.transfermarkt.com/jonathan-spector/profil/spieler/24637,28/08/2004,18 years 05 months 30 days,18,Premier League,21/08/2011,25,25,Championship,18
Jordan Spence,61588,https://www.transfermarkt.com/jordan-spence/profil/spieler/61588,9/5/2010,19 years 11 months 15 days,19,Premier League,18/08/2009,19,19,Championship,19
Sébastien Squillaci,5293,https://www.transfermarkt.com/sbastien-squillaci/profil/spieler/5293,3/8/2002,21 years 11 months 23 days,21,Ligue 1,7/3/1998,17,17,Ligue 2,17
Ronnie Stam,24877,https://www.transfermarkt.com/ronnie-stam/profil/spieler/24877,25/05/2003,18 years 11 months 07 days,18,Eredivisie,7/8/2015,31,31,Keuken Kampioen Divisie,18
Junior Stanislas,87672,https://www.transfermarkt.com/junior-stanislas/profil/spieler/87672,16/03/2009,19 years 03 months 18 days,19,Premier League,13/08/2011,21,21,Championship,19
Richard Stearman,34349,https://www.transfermarkt.com/richard-stearman/profil/spieler/34349,15/08/2009,21 years 11 months 27 days,21,Premier League,30/10/2004,17,17,Championship,17
Grétar Steinsson,30304,https://www.transfermarkt.com/grtar-steinsson/profil/spieler/30304,18/05/2000,18 years 04 months 09 days,18,,No second tier career,No second tier career,No second tier career,No second tier career,18
David Stockdale,67339,https://www.transfermarkt.com/david-stockdale/profil/spieler/67339,13/09/2009,23 years 11 months 24 days,23,Premier League,26/01/2010,24,24,Championship,23
Daniel Sturridge,47082,https://www.transfermarkt.com/daniel-sturridge/profil/spieler/47082,3/2/2007,17 years 05 months 02 days,17,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,17
Luis Suárez,44352,https://www.transfermarkt.com/luis-surez/profil/spieler/44352,28/06/2006,19 years 05 months 04 days,19,,No second tier career,No second tier career,No second tier career,No second tier career,19
Ludovic Sylvestre,43248,https://www.transfermarkt.com/ludovic-sylvestre/profil/spieler/43248,20/05/2006,22 years 03 months 15 days,22,LaLiga,27/08/2011,27,27,Championship,22
Wojciech Szczęsny,44058,https://www.transfermarkt.com/wojciech-szczsny/profil/spieler/44058,13/12/2010,20 years 07 months 25 days,20,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,20
Thomas Sørensen,3473,https://www.transfermarkt.com/thomas-srensen/profil/spieler/3473,7/8/1999,23 years 01 month 26 days,23,Premier League,8/8/1998,22,22,,22
Gabriel Tamaș,6893,https://www.transfermarkt.com/gabriel-tama/profil/spieler/6893,13/04/2003,19 years 05 months 04 days,19,SuperLiga,8/1/2010,26,26,Championship,19
Matthew Taylor,9218,https://www.transfermarkt.com/matthew-taylor/profil/spieler/9218,27/09/2003,21 years 10 months 00 days,21,Premier League,10/8/2002,20,20,First Division (until 03/04),20
Ryan Taylor,33785,https://www.transfermarkt.com/ryan-taylor/profil/spieler/33785,20/08/2005,21 years 01 day,21,Premier League,8/8/2009,24,24,Championship,21
Steven Taylor,17273,https://www.transfermarkt.com/steven-taylor/profil/spieler/17273,28/03/2004,18 years 02 months 05 days,18,Premier League,8/8/2009,23,23,Championship,18
Gary Taylor-Fletcher,49101,https://www.transfermarkt.com/gary-taylor-fletcher/profil/spieler/49101,14/08/2010,29 years 02 months 10 days,29,Premier League,11/8/2007,26,26,Championship,26
Somen Tchoyi,37058,https://www.transfermarkt.com/somen-tchoyi/profil/spieler/37058,10/4/2005,22 years 12 days,22,Eliteserien,24/07/2015,32,32,2. Liga,22
John Terry,3160,https://www.transfermarkt.com/john-terry/profil/spieler/3160,26/12/1998,18 years 19 days,18,Premier League,8/4/2000,19,19,,18
Carlos Tevez,4276,https://www.transfermarkt.com/carlos-tevez/profil/spieler/4276,21/10/2001,17 years 08 months 16 days,17,Torneo Inicial,No second tier career,No second tier career,No second tier career,No second tier career,17
Hendry Thomas,62275,https://www.transfermarkt.com/hendry-thomas/profil/spieler/62275,15/08/2009,24 years 05 months 23 days,24,Premier League,9/8/2015,30,30,NASL Fall Championship,24
Jerome Thomas,3560,https://www.transfermarkt.com/jerome-thomas/profil/spieler/3560,1/5/2004,21 years 01 month 08 days,21,Premier League,18/08/2007,24,24,Championship,21
George Thorne,128910,https://www.transfermarkt.com/george-thorne/profil/spieler/128910,22/05/2011,18 years 04 months 18 days,18,Premier League,28/11/2009,16,16,Championship,16
Cheick Tioté,33478,https://www.transfermarkt.com/cheick-tiot/profil/spieler/33478,18/03/2006,19 years 08 months 25 days,19,Jupiler Pro League,11/3/2017,30,30,China League One,19
James Tomkins,61592,https://www.transfermarkt.com/james-tomkins/profil/spieler/61592,22/03/2008,18 years 11 months 22 days,18,Premier League,29/11/2008,19,19,Championship,18
Michael Tonge,13544,https://www.transfermarkt.com/michael-tonge/profil/spieler/13544,19/08/2006,23 years 04 months 12 days,23,Premier League,17/04/2001,18,18,,18
Fernando Torres,7767,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767,1/9/2002,18 years 05 months 12 days,18,LaLiga,27/05/2001,17,17,Segunda División,17
Kolo Touré,3202,https://www.transfermarkt.com/kolo-tour/profil/spieler/3202,18/08/2002,21 years 04 months 30 days,21,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,21
Yaya Touré,13091,https://www.transfermarkt.com/yaya-tour/profil/spieler/13091,11/8/2001,18 years 02 months 29 days,18,Jupiler Pro League,6/7/2019,36,36,China League One,18
Michael Turner,12127,https://www.transfermarkt.com/michael-turner/profil/spieler/12127,16/08/2008,24 years 09 months 07 days,24,Premier League,5/8/2006,22,22,Championship,22
Matt Upson,3273,https://www.transfermarkt.com/matt-upson/profil/spieler/3273,17/01/1998,18 years 08 months 30 days,18,Premier League,9/12/2000,21,21,,18
Antonio Valencia,33544,https://www.transfermarkt.com/antonio-valencia/profil/spieler/33544,18/09/2005,20 years 01 month 14 days,20,LaLiga,15/01/2006,20,20,Segunda División,20
Jelle Van Damme,4323,https://www.transfermarkt.com/jelle-van-damme/profil/spieler/4323,24/11/2001,18 years 01 month 14 days,18,Jupiler Pro League,2/8/2019,35,35,1B Pro League,18
Luke Varney,14177,https://www.transfermarkt.com/luke-varney/profil/spieler/14177,28/08/2010,27 years 11 months 00 days,27,Premier League,9/8/2003,20,20,First Division (until 03/04),20
David Vaughan,14178,https://www.transfermarkt.com/david-vaughan/profil/spieler/14178,14/08/2010,27 years 05 months 27 days,27,Premier League,19/08/2000,17,17,,17
