league_url,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,league_country,league_level
https://www.transfermarkt.com/liga-pro-serie-b/startseite/wettbewerb/EC2L,,,,,,,,Ecuador,Second Tier
https://www.transfermarkt.com/primera-division-clausura/startseite/wettbewerb/PDV1,,,,,,,,Costa Rica,First Tier
https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,,,,,,,,Brazil,Second Tier
https://www.transfermarkt.com/serie-d-girone-b/startseite/wettbewerb/IT4B,,,,,,,,Italy,Fourth Tier
https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,,,,,,,,Serbia,First Tier
https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL,,,,,,,,Qatar,First Tier
https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,,,,,,,,Australia,First Tier
https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1,,,,,,,,Croatia,First Tier
https://www.transfermarkt.com/nordicbet-liga/startseite/wettbewerb/DK2,,,,,,,,Denmark,Second Tier
https://www.transfermarkt.com/yelo-league/startseite/wettbewerb/SA2L,,,,,,,,Saudi Arabia,Second Tier
https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,,,,,,,,Bulgaria,First Tier
https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B,,,,,,,,Italy,Third Tier
https://www.transfermarkt.com/botola-pro-inwi/startseite/wettbewerb/MAR1,,,,,,,,Morocco,First Tier
https://www.transfermarkt.com/china-league-one/startseite/wettbewerb/CLO,,,,,,,,China,Second Tier
https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1,,,,,,,,"Korea, South",First Tier
https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,,,,,,,,Ukraine,First Tier
https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,,,,,,,,Romania,Second Tier
https://www.transfermarkt.com/3-lig-grup-2/startseite/wettbewerb/TR4B,,,,,,,,Türkiye,Fourth Tier
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,,,,,,,,Spain,Fourth Tier
https://www.transfermarkt.com/2-lig-beyaz/startseite/wettbewerb/TR3A,,,,,,,,Türkiye,Third Tier
https://www.transfermarkt.com/segunda-division-b-grupo-i-bis-20-21-/startseite/wettbewerb/ES3A,,,,,,,,Spain,Third Tier
https://www.transfermarkt.com/1-division/startseite/wettbewerb/RU2,,,,,,,,Russia,Second Tier
