club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Real Madrid B,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767,Real Madrid Castilla,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,,5,1 year,€62.00m,30,20.6,1,,1,Alfredo Di Stéfano,,+€18.40m,ok
AlmerÃ­a,https://www.transfermarkt.mx/ud-almeria/startseite/verein/3302,UD Almería,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,,Spain,,,,,,,,,,,,ok
Sevilla,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368,Sevilla FC,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,11,25 years,€140.40m,28,28.0,17,,9,Ramón Sánchez-Pizjuán,,+€54.75m,ok
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281,Manchester City,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,2,24 years,€45.00m,27,26.1,19,,22,Etihad Stadium,,,ok
Valencia,https://www.transfermarkt.mx/fc-valencia/startseite/verein/1049,Valencia CF,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,,Spain,,,,,,,,,,,,ok
Middlesbrough,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641,Middlesbrough FC,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,5,9 years,€128.90m,29,26.9,16,,8,Riverside Stadium,,,ok
BeÅŸiktaÅŸ,https://www.transfermarkt.com/besiktas-jk/startseite/verein/114,Besiktas JK,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,4,68 years,€185.10m,28,26.1,14,,11,Beşiktaş Park,,,ok
CÃ¡diz,https://www.transfermarkt.mx/cadiz-cf/startseite/verein/2687,Cádiz CF,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,,Spain,,,,,,,,,,,,ok
Valladolid,https://www.transfermarkt.com/real-valladolid/startseite/verein/366,Real Valladolid CF,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,15,1 year,€31.70m,28,25.6,14,,1,José Zorrilla,,+€11.30m,ok
Espanyol,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714,RCD Espanyol Barcelona,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,14,2 years,€124.20m,23,27.4,7,,2,RCDE Stadium,,+€9.80m,ok
Getafe,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709,Getafe CF,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,7,9 years,€82.90m,25,28.3,13,,3,Coliseum,,+€10.80m,ok
Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288,Swansea City,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,11,8 years,€89.85m,26,26.4,22,,11,Swansea.com Stadium,,,ok
GimnÃ stic,https://www.transfermarkt.mx/gimnastic-de-tarragona/startseite/verein/5648,Gimnàstic de Tarragona,Primera Federación - Grupo 2,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,,,,,,,,,,,,,,ok
Zaragoza,https://www.transfermarkt.mx/real-zaragoza/startseite/verein/142,Real Zaragoza,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,,Spain,,,,,,,,,,,,ok
Sporting GijÃ³n,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448,Sporting Gijón,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,13,9 years,€26.90m,24,27.0,7,,0,El Molinón - Enrique Castro 'Quini',,,ok
Sabadell,https://www.transfermarkt.com/ce-sabadell/startseite/verein/11422,CE Sabadell FC,Primera Federación - Grupo II,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,Third Tier,,2,1 year,€5.35m,25,26.8,3,,0,Nova Creu Alta,,+€120k,ok
Kerala Blasters,https://www.transfermarkt.com/kerala-blasters-fc/startseite/verein/45277,Kerala Blasters FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,8,9 years,€2.28m,32,25.4,8,,2,Jawaharlal Nehru Stadium - Kochi,,,ok
Goa,https://www.transfermarkt.com/fcgoa/startseite/verein/45321,FC Goa,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,6,9 years,€3.33m,29,26.4,2,,6,Jawaharlal Nehru Stadium - Goa,,+€188k,ok
Arenas Club de Getxo,https://www.transfermarkt.mx/arenas-club/startseite/verein/16122,Arenas Club,Primera Federación - Grupo 1,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,,,,,,,,,,,,,,ok
Benfica,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294,SL Benfica,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Poland,3,37 years,€364.50m,28,24.8,16,,17,Estádio da Luz,,,ok
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418,Real Madrid,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,2,87 years,€18.00m,29,25.7,17,,18,Santiago Bernabéu,,,ok
Manchester Utd,https://www.transfermarkt.com/manchester-united/startseite/verein/985,Manchester United,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,3,34 years,€747.15m,24,26.6,18,,15,Old Trafford,,,ok
Paris S-G,https://www.transfermarkt.mx/fc-paris-saint-germain/startseite/verein/583,París Saint,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,,France,,,,,,,,,,,,ok
Juventus,https://www.transfermarkt.com/juventus-turin/startseite/verein/506,Juventus FC,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,3,19 years,€544.20m,25,27.4,18,,19,Allianz Stadium,,,ok
Rosario Central,https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418,CA Rosario Central,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,4,2 years,€52.05m,29,27.3,5,,3,Gigante de Arroyito,,,ok
Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131,FC Barcelona,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,1,87 years,€3.70m,25,25.5,11,,17,Spotify Camp Nou,,+€3.70m,ok
Barcelona B,https://www.transfermarkt.com/fc-barcelona-b/startseite/verein/2464,FC Barcelona Atlètic,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,,6,1 year,€28.18m,30,20.1,7,,2,Johan Cruyff,,+€5.70m,ok
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405,Aston Villa,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,4,7 years,€547.50m,25,28.3,17,,12,Villa Park,,,ok
Wolves,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543,Wolverhampton Wanderers,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,20,8 years,€277.10m,23,26.4,19,,12,Molineux Stadium,,+€81.10m,ok
Fulham,https://www.transfermarkt.com/fc-fulham/startseite/verein/931,Fulham FC,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,11,4 years,€386.95m,24,28.3,20,,12,Craven Cottage,,,ok
Betis,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150,Real Betis Balompié,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,5,11 years,€248.80m,27,29.2,13,,11,La Cartuja,,,ok
West Ham,https://www.transfermarkt.com/west-ham-united/startseite/verein/379,West Ham United,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,18,14 years,€362.95m,24,26.7,17,,8,London Stadium,,,ok
Liverpool,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31,Liverpool FC,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,5,34 years,€28.00m,28,26.1,21,,18,Anfield,,,ok
La CoruÃ±a,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897,Deportivo de La Coruña,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,3,2 years,€54.10m,25,27.4,6,,0,Abanca Riazor,,,ok
AlavÃ©s,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108,Deportivo Alavés,LaLiga,ES1,https://www.transfermarkt.com/laliga/startseite/wettbewerb/ES1,First Tier,Spain,15,3 years,€66.90m,24,28.1,10,,3,Mendizorroza,,+€20.88m,ok
