club_name,transfermarkt_url
Barnet,https://www.transfermarkt.com/fc-barnet/startseite/verein/2804
Moss,https://www.transfermarkt.com/moss-fk/startseite/verein/2961
MK Dons,https://www.transfermarkt.com/milton-keynes-dons/startseite/verein/991
V. Francavilla,https://www.transfermarkt.com/virtus-francavilla-calcio/startseite/verein/49939
SJK,https://www.transfermarkt.com/sjk-seinajoki/startseite/verein/23777
Darlington,https://www.transfermarkt.com/fc-darlington/startseite/verein/37486
Wealdstone,https://www.transfermarkt.com/fc-wealdstone/startseite/verein/4117
Preston,https://www.transfermarkt.com/preston-lions-fc/startseite/verein/12991
Bury,https://www.transfermarkt.com/fc-bury/startseite/verein/2413
Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420
Catanzaro,https://www.transfermarkt.com/us-catanzaro/startseite/verein/4097
Messina,https://www.transfermarkt.com/fc-messina/startseite/verein/38995
Ascoli,https://www.transfermarkt.com/ascoli-calcio/startseite/verein/408
Charlotte,https://www.transfermarkt.com/charlotte-fc/startseite/verein/78435
Buxton,https://www.transfermarkt.com/buxton-fc/startseite/verein/10895
Viking,https://www.transfermarkt.com/viking-stavanger/startseite/verein/239
Bromley,https://www.transfermarkt.com/fc-bromley/startseite/verein/8981
Arda,https://www.transfermarkt.com/pfc-arda-kardzhali/startseite/verein/40604
Queen's Park FC,https://www.transfermarkt.com/queens-park-fc/startseite/verein/3031
Livingston,https://www.transfermarkt.com/livingston-fc/startseite/verein/1241
Lugano,https://www.transfermarkt.com/fc-lugano/startseite/verein/2790
Thun,https://www.transfermarkt.com/fc-thun/startseite/verein/938
LASK,https://www.transfermarkt.com/lask/startseite/verein/413
CrÃ©teil,https://www.transfermarkt.com/us-creteil-lusitanos/startseite/verein/2067
Ind. Rivadavia,https://www.transfermarkt.com/independiente-rivadavia/startseite/verein/12179
Sochi,https://www.transfermarkt.com/fk-sochi/startseite/verein/41231
Barrow,https://www.transfermarkt.com/afc-barrow/startseite/verein/6168
Mantova,https://www.transfermarkt.com/mantova-1911/startseite/verein/2581
TromsÃ¸,https://www.transfermarkt.com/tromso-il/startseite/verein/1293
King's Lynn,https://www.transfermarkt.com/kings-lynn-town/startseite/verein/38899
TB Rowdies,https://www.transfermarkt.com/tampa-bay-rowdies/startseite/verein/23565
CumbayÃ¡,https://www.transfermarkt.com/cumbaya-fc/startseite/verein/41301
St Patrick's,https://www.transfermarkt.com/st-patricks-former-pupils-fc/startseite/verein/32751
Emmen,https://www.transfermarkt.com/fc-emmen/startseite/verein/1283
Yamaga,https://www.transfermarkt.com/matsumoto-yamaga/startseite/verein/25765
US Reggina,https://www.transfermarkt.com/reggina-1914/startseite/verein/1386
VPS,https://www.transfermarkt.com/vps-kramatorsk-1998-/startseite/verein/117181
PuskÃ¡s,https://www.transfermarkt.com/puskas-akademia-fc/startseite/verein/37169
Tours,https://www.transfermarkt.com/fc-tours-u19/startseite/verein/16037
CSA,https://www.transfermarkt.com/csa-steaua/startseite/verein/61687
Guarani,https://www.transfermarkt.com/club-guarani/startseite/verein/11855
Tosno,https://www.transfermarkt.com/fk-atlant-tosno/startseite/verein/72129
Ural,https://www.transfermarkt.com/ural-ekaterinburg/startseite/verein/11127
Jong AZ,https://www.transfermarkt.com/az-alkmaar-ii/startseite/verein/11368
NY Red Bulls II,https://www.transfermarkt.com/new-york-red-bulls-ii/startseite/verein/39815
Marinos,https://www.transfermarkt.com/yokohama-f-marinos/startseite/verein/3828
Saturn,https://www.transfermarkt.com/saturn-ramenskoe/startseite/verein/2737
Admira,https://www.transfermarkt.com/fc-admira-wacker-modling/startseite/verein/503
Rot-WeiÃŸ Erfurt,https://www.transfermarkt.com/rot-weiss-wilhelmsburg/startseite/verein/27817
Maccabi Tel Aviv FC,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119
Maccabi Haifa FC,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064
