club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Brighton,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237,Brighton & Hove Albion,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,7,9 years,€494.00m,26,27.7,19,,15,AMEX Stadium,,+€63.15m,ok
Newell's OB,https://www.transfermarkt.mx/ca-newells-old-boys/startseite/verein/1286,CA Newell's Old Boys,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,,Argentina,,,,,,,,,,,,ok
Reus,https://www.transfermarkt.com/reus-fc-reddis/startseite/verein/83848,Reus FC Reddis,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,,4,1 year,€1.65m,23,27.5,2,,0,Municipal de Reus,,+€70k,ok
AD Cali,https://www.transfermarkt.mx/deportivo-cali/startseite/verein/9961,Deportivo Cali,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,,,,,,,,,,,,,,ok
ADU Magdalena,https://www.transfermarkt.mx/union-magdalena/startseite/verein/14680,Unión Magdalena,Torneo DIMAYOR I,CO2T,https://www.transfermarkt.com/torneo-dimayor/startseite/wettbewerb/CO2T,,,,,,,,,,,,,,ok
FamalicÃ£o,https://www.transfermarkt.mx/fcfamalicao/startseite/verein/3329,FC Famalicão,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,,Poland,,,,,,,,,,,,ok
Ath Paranaense,https://www.transfermarkt.mx/club-athletico-paranaense/startseite/verein/679,Club Athletico Paranaense,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,,Brazil,,,,,,,,,,,,ok
Kawa Frontale,https://www.transfermarkt.com/kawasaki-frontale/startseite/verein/9598,Kawasaki Frontale,J1 100 Year Vision League,J1YV,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,6,1 year,€21.30m,35,26.4,6,,1,Uvance Todoroki Stadium by Fujitsu,,+€5.85m,ok
Triv. Valderas,https://www.transfermarkt.mx/cf-trival-valderas-alcorcon/startseite/verein/29198,CF Trival Valderas,2ª B - Grupo II,ES3B,https://www.transfermarkt.mx/segunda-division-b-grupo-ii-bis-20-21-/startseite/wettbewerb/ES3B,,,,,,,,,,,,,,ok
Llagostera,https://www.transfermarkt.es/ue-costa-brava/startseite/verein/26132,UE Costa Brava (,Primera Federación - Gr. 2,E3G2,https://www.transfermarkt.es/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,,,,,,,,,,,,,,ok
Rad,https://www.transfermarkt.com/fk-rad-belgrado/startseite/verein/902,FK Rad,Prva liga Srbije,SER2,https://www.transfermarkt.com/prva-liga-srbije/startseite/wettbewerb/SER2,,,,,,19,32.6,1,,0,Stadion Kralj Petar Prvi,,,ok
ZagÅ‚Ä™bie Lubin,https://www.transfermarkt.com/zaglebie-lubin/startseite/verein/168,Zaglebie Lubin,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,,6,11 years,€18.58m,30,26.4,8,,0,KGHM Zagłębie Arena,,+€2.05m,ok
CD L'Alcora,https://www.transfermarkt.mx/cd-lalcora/startseite/verein/53395,CD l’Alcora,,,,,,,,,,,,,,,,,ok
GazÃ©lec Ajaccio,https://www.transfermarkt.com/gfc-ajaccio/startseite/verein/3558,GFC Ajaccio,Championnat National 3 - Groupe E,C3BR,https://www.transfermarkt.com/championnat-national-3-bretagne/startseite/wettbewerb/C3BR,Fifth Tier,,8,1 year,,24,22.8,3,,0,Stade Ange-Casanova,,,ok
Larissa,https://www.transfermarkt.mx/ae-larisa/startseite/verein/4603,AE Larisa,Super League 1,GR1,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,,Greece,,,,,,,,,,,,ok
CuiabÃ¡,https://www.transfermarkt.es/cuiaba-esporte-clube/startseite/verein/28022,Cuiabá Esporte Clube (MT),Campeonato Brasileiro Série B,BRA2,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,,,,,,,,,,,,,,ok
KasÄ±mpaÅŸa,https://www.transfermarkt.com.tr/kasimpasa/startseite/verein/10484,Kasımpaşa,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,,Turkey,,,,,,,,,,,,ok
Sporting KC,https://www.transfermarkt.com/sporting-kansas-city/startseite/verein/4284,Sporting Kansas City,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,15,31 years,€27.95m,24,24.3,10,,3,Sporting Park,,,ok
StabÃ¦k,https://www.transfermarkt.mx/stabaek-fotball/startseite/verein/1274,Stabæk Fotball,OBOS-ligaen,NO2,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,,,,,,,,,,,,,,ok
Widzew ÅÃ³dÅº,https://www.transfermarkt.com/rts-widzew-lodz/startseite/verein/88,Widzew Lodz,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,,15,4 years,€36.80m,27,25.9,15,,8,Stadion Widzewa,,,ok
Lechia GdaÅ„sk,https://www.transfermarkt.com/lechia-gdansk/datenfakten/verein/4000,Lechia Gdansk,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,,16,2 years,€26.00m,26,24.2,15,,4,Polsat Plus Arena Gdańsk,,,ok
LeixÃµes,https://www.transfermarkt.com/leixoes-sc/startseite/verein/3345,Leixões SC,Liga Portugal 2,PO2,https://www.transfermarkt.com/liga-portugal-2/startseite/wettbewerb/PO2,Second Tier,,7,12 years,€7.88m,34,27.2,17,,2,Estádio do Mar,,,ok
MiedÅº,https://www.transfermarkt.pl/miedz-legnica/startseite/verein/8936,Miedź Legnica,Betclic 1 Liga,PL2,https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2,,,,,,,,,,,,,,ok
CornellÃ,https://www.transfermarkt.com/ue-cornella/startseite/verein/16196,UE Cornellà,Segunda Federación - Gr. III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,,,,,,25,25.1,2,,0,Nou Estadi Municipal de Cornellà,,,ok
U ConcepciÃ³n,https://www.transfermarkt.com/universidad-de-concepcion/startseite/verein/5622,Universidad de Concepción,Liga de Primera,CLPD,https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD,First Tier,,10,1 year,€10.26m,30,25.4,7,,1,Ester Roa Rebolledo,,,ok
WisÅ‚a KrakÃ³w,https://www.transfermarkt.com/wisla-cracovia/startseite/verein/422,Wisla Kraków,Betclic 1 Liga,PL2,https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2,Second Tier,,1,4 years,€9.88m,31,25.9,14,,0,Synerise Arena - Stadion Miejski im. Henryka Reymana,,,ok
Dinamo BucureÈ™ti,https://www.transfermarkt.com/fc-dinamo-1948/startseite/verein/312,FC Dinamo 1948,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,First Tier,Romania,5,3 years,€18.05m,27,25.3,10,,6,National Arena,,,ok
CA Bucaramanga,https://www.transfermarkt.mx/atletico-bucaramanga/startseite/verein/6495,Atlético Bucaramanga,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,,,,,,,,,,,,,,ok
Swope Park,https://www.transfermarkt.com/sporting-kansas-city-ii/startseite/verein/51604,Sporting Kansas City II,MLS Next Pro,MNP3,https://www.transfermarkt.com/mls-next-pro/startseite/wettbewerb/MNP3,Third Tier,,13,5 years,€110k,27,19.6,2,,0,Children's Mercy Victory Field,,,ok
Atl SanluqueÃ±o,https://www.transfermarkt.mx/atletico-sanluqueno/startseite/verein/21322,Atlético Sanluqueño CF,Primera Federación - Grupo 2,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,,,,,,,,,,,,,,ok
Melb City,https://www.transfermarkt.com/melbourne-city-fc/startseite/verein/25580,Melbourne City FC,A-League Men,AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,First Tier,Australia,6,17 years,€10.05m,34,24.0,6,,4,AAMI Park,,+€830k,ok
UAG,https://www.transfermarkt.mx/tecos-fc/startseite/verein/4565,Tecos FC,Liga Expansión MX Cl.,MEX2,https://www.transfermarkt.mx/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,,,,,,,,,,,,,,ok
SÃ£o Bento,https://www.transfermarkt.com/esporte-clube-sao-bento-sp-/startseite/verein/8433,Esporte Clube São Bento (SP),,,,,,,,,34,29.1,0,,0,Estádio Municipal Walter Ribeiro,,,ok
Vancouver W'caps,https://www.transfermarkt.com/vancouver-whitecaps-fc/startseite/verein/6321,Vancouver Whitecaps FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,2,16 years,€58.98m,29,26.1,24,,12,BC Place,,+€2.80m,ok
Al-Ta'ee,https://www.transfermarkt.mx/al-taee/kadernachposition/verein/40079,Al,Saudi First Division League,SA2L,https://www.transfermarkt.com/yelo-league/startseite/wettbewerb/SA2L,,,,,,,,,,,,,,ok
BotoÈ™ani,https://www.transfermarkt.mx/fc-botosani/startseite/verein/8818,FC Botoșani,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,,Romania,,,,,,,,,,,,ok
Boa,https://www.transfermarkt.mx/boa-ec/startseite/verein/17561,Boa EC,,,,,,,,,,,,,,,,,ok
VitÃ³ria GuimarÃ£es,https://www.transfermarkt.mx/vitoria-guimaraes-sc/startseite/verein/2420,Vitória Guimarães SC,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,,Poland,,,,,,,,,,,,ok
Aves,https://www.transfermarkt.mx/avs-futebol/startseite/verein/110302,Avs Futebol,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,,Poland,,,,,,,,,,,,ok
