club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
UniÃ³n,https://www.transfermarkt.mx/1-fc-union-berlin/startseite/verein/89,1.FC Unión Berlín,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,,Germany,,,,,,,,,,,,ok
Minnesota Utd,https://www.transfermarkt.com/minnesota-united-fc/startseite/verein/56089,Minnesota United FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,8,10 years,€42.35m,30,25.9,18,,6,Allianz Field,,+€3.06m,ok
Al Sadd,https://www.transfermarkt.com/al-sadd-sc/startseite/verein/656,Al,Qatar Stars League,QSL,https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL,First Tier,,1,12 years,€61.43m,26,28.9,11,,12,Jassim Bin Hamad Stadium,,,ok
Politehnica TimiÈ™oara,https://www.transfermarkt.ro/acs-stiinta-poli-timisoara/startseite/verein/39835,ACS Știința Poli Timișoara,Liga 2,RO2,https://www.transfermarkt.ro/liga-2/startseite/wettbewerb/RO2,,,,,,,,,,,,,,ok
Terek Grozny,https://www.transfermarkt.com/akhmat-grozny/startseite/verein/3725,Akhmat Grozny,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,9,14 years,€29.00m,27,26.5,12,,10,Akhmat-Arena,,,ok
Farul ConstanÈ›a,https://www.transfermarkt.mx/fcv-farul-constanta/startseite/verein/29831,FCV Farul Constanta,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,,Romania,,,,,,,,,,,,ok
AtlÃ© TucumÃ¡n,https://www.transfermarkt.mx/club-atletico-tucuman/startseite/verein/14554,Club Atlético Tucumán,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,,Argentina,,,,,,,,,,,,ok
AmÃ©rica (MG),https://www.transfermarkt.mx/america-futebol-clube/startseite/verein/2863,América Futebol Clube (MG),Campeonato Brasileiro Série B,BRA2,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,,,,,,,,,,,,,,ok
General Caballero (JLM),https://www.transfermarkt.mx/club-general-caballero-jlm-/startseite/verein/95573,Club General Caballero (JLM),División Intermedia,PAR2,https://www.transfermarkt.com/division-intermedia/startseite/wettbewerb/PAR2,,,,,,,,,,,,,,ok
Deportivo Recoleta,https://www.transfermarkt.mx/deportes-recoleta/startseite/verein/61808,Deportes Recoleta,Liga de Ascenso,CL2B,https://www.transfermarkt.com/primera-b/startseite/wettbewerb/CL2B,,,,,,,,,,,,,,ok
San MartÃ­n SJ,https://www.transfermarkt.mx/ca-san-martin-san-juan-/startseite/verein/10511,CA San Martín (San Juan),Primera Nacional,ARG2,https://www.transfermarkt.com/primera-nacional/startseite/wettbewerb/ARG2,,,,,,,,,,,,,,ok
Indep Petrolero,https://www.transfermarkt.mx/club-independiente-petrolero/startseite/verein/30854,Club Independiente Petrolero,División Profesional,BO1A,https://www.transfermarkt.com/division-profesional-apertura/startseite/wettbewerb/BO1A,,,,,,,,,,,,,,ok
SCM Gloria BuzÄƒu,https://www.transfermarkt.com/asfc-buzau-2016-2025-/startseite/verein/11380/saison_id/2025,ASFC Buzau (2016,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,,Romania,,,,0,0.0,,,0,Gloria,,,ok
TÃ¢rgu MureÈ™,https://www.transfermarkt.com/afc-asa-targu-mures/startseite/verein/93148,AFC ASA Targu Mures,Liga 2,RO2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,Second Tier,,7,1 year,€4.20m,28,25.4,4,,0,Trans-Sil,,,ok
V-V Nagasaki,https://www.transfermarkt.com/nagasaki/startseite/verein/23581,V,J1 100 Year Vision League,J1YV,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,10,1 year,€14.95m,33,28.5,8,,1,Peace Stadium connected by SoftBank,,,ok
MezÅ‘kÃ¶vesd,https://www.transfermarkt.com/mezokovesd-zsory-fc/startseite/verein/24032,Mezőkövesd Zsóry FC,Nemzeti Bajnokság II.,UN2,https://www.transfermarkt.com/nemzeti-bajnoksag-ii-/startseite/wettbewerb/UN2,Second Tier,,4,2 years,€2.46m,26,24.6,2,,0,Városi Stadion,,,ok
Poli IaÈ™i,https://www.transfermarkt.com/acsm-politehnica-iasi/startseite/verein/33966,ACSM Politehnica Iasi,Liga 2,RO2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,Second Tier,,11,1 year,€2.41m,24,22.5,6,,1,Emil Alexandrescu,,,ok
Deportes Magallanes,https://www.transfermarkt.mx/magallanes/startseite/verein/13394,Magallanes,Liga de Ascenso,CL2B,https://www.transfermarkt.com/primera-b/startseite/wettbewerb/CL2B,,,,,,,,,,,,,,ok
MiedÅº Legnica,https://www.transfermarkt.pl/miedz-legnica/startseite/verein/8936,Miedź Legnica,Betclic 1 Liga,PL2,https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2,,,,,,,,,,,,,,ok
Unionistas Sal,https://www.transfermarkt.mx/unionistas-de-salamanca-cf/startseite/verein/52397,Unionistas de Salamanca CF,Primera Federación - Grupo 1,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,,,,,,,,,,,,,,ok
BrÃ¸ndby,https://www.transfermarkt.com/brondby-if/startseite/verein/206,Bröndby IF,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,4,36 years,€53.98m,26,26.5,14,,3,Brøndby Stadion,,+€20.80m,ok
BodÃ¸/Glimt,https://www.transfermarkt.mx/fk-bodoglimt/startseite/verein/501,FK Bodø/Glimt,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,,Norway,,,,,,,,,,,,ok
VestsjÃ¦lland,https://www.transfermarkt.com/fc-vestsjaelland/startseite/verein/20100,FC Vestsjaelland,1.Division,DK2,https://www.transfermarkt.com/nordicbet-liga/startseite/wettbewerb/DK2,,,,,,0,0.0,,,0,Harboe Arena,,,ok
Jahn R'burg,https://www.transfermarkt.com/ssv-jahn-regensburg/startseite/verein/109,SSV Jahn Regensburg,3. Liga,L3,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,Third Tier,Germany,13,1 year,€7.80m,28,25.8,2,,0,Jahnstadion Regensburg,,+€350k,ok
NordsjÃ¦lland,https://www.transfermarkt.com/fc-nordsjaelland/startseite/verein/2778,FC Nordsjaelland,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,6,23 years,€39.83m,29,22.7,13,,3,Right to Dream Park,,+€49.72m,ok
Dep La CoruÃ±a,https://www.transfermarkt.mx/rc-deportivo-de-la-coruna/startseite/verein/897,RC Deportivo de La Coruña,Segunda División,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,,Spain,,,,,,,,,,,,ok
StrÃ¸msgodset,https://www.transfermarkt.mx/stromsgodset-if/startseite/verein/2817,Strømsgodset IF,OBOS-ligaen,NO2,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,,,,,,,,,,,,,,ok
LillestrÃ¸m,https://www.transfermarkt.com/lillestrom-sk/startseite/verein/353,Lillestrøm SK,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,First Tier,Norway,3,1 year,€11.80m,26,25.8,10,,1,Åråsen stadion,,,ok
Acad Pr Cabello,https://www.transfermarkt.mx/academia-puerto-cabello/startseite/verein/45193,Academia Puerto Cabello,Liga FUTVE Apertura,VZ1A,https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,,,,,,,,,,,,,,ok
GyÅ‘r,https://www.transfermarkt.com/eto-fc/startseite/verein/6055,ETO FC,Nemzeti Bajnokság,UNG1,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,First Tier,,1,2 years,€11.43m,28,24.5,14,,5,ETO-Park,,,ok
Ä°stanbul BB,https://www.transfermarkt.mx/jumplist/startseite/verein/6890,Basaksehir FK,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,,Turkey,,,,,,,,,,,,ok
Shiji Ever Bright,https://www.transfermarkt.com/cangzhou-mighty-lions/startseite/verein/35272,Cangzhou Mighty Lions,Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,,,,,,0,0.0,,,0,Cangzhou Stadium,,,ok
Dep TÃ¡chira,https://www.transfermarkt.mx/deportivo-tachira/startseite/verein/13297,Deportivo Táchira,Liga FUTVE Apertura,VZ1A,https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,,,,,,,,,,,,,,ok
AA Aachen,https://www.transfermarkt.com/alemannia-aachen/startseite/verein/8,Alemannia Aachen,3. Liga,L3,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,Third Tier,Germany,7,2 years,€8.38m,33,26.6,9,,1,Tivoli,,+€200k,ok
Jiangsu Sainty,https://www.transfermarkt.mx/jiangsu-fc/startseite/verein/22219/saison_id/2005,Jiangsu FC (1994,Super League,CSL,https://www.transfermarkt.mx/chinese-super-league/startseite/wettbewerb/CSL,,,,,,,,,,,,,,ok
Hang Greentown,https://www.transfermarkt.com/zhejiang-fc/startseite/verein/17276,Zhejiang FC,Chinese Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,First Tier,,9,5 years,€13.73m,31,26.8,6,,6,Huanglong Sports Centre Stadium,,,ok
Vicenza Virtus,https://www.transfermarkt.com/lr-vicenza/startseite/verein/2655,LR Vicenza,Serie C - Girone A,IT3A,https://www.transfermarkt.com/serie-c-girone-a/startseite/wettbewerb/IT3A,Third Tier,,1,4 years,€7.55m,25,26.8,3,,0,Romeo Menti,,+€50k,ok
VoÅ¾dovac,https://www.transfermarkt.com/fk-vozdovac/startseite/verein/4634,FK Vozdovac,Prva liga Srbije,SER2,https://www.transfermarkt.com/prva-liga-srbije/startseite/wettbewerb/SER2,Second Tier,,3,2 years,€3.35m,27,25.6,2,,0,Stadion Voždovac,,+€600k,ok
AB Copenhagen,https://www.transfermarkt.com/akademisk-boldklub/startseite/verein/362,Akademisk Boldklub,2.Division,DK3O,https://www.transfermarkt.com/2-division-hauptrunde/startseite/wettbewerb/DK3O,Third Tier,,1,9 years,,25,24.4,5,,0,Gladsaxe Stadion,,,ok
Å½elezniÄar PanÄevo,https://www.transfermarkt.mx/zeleznicar-pancevo/startseite/verein/59358,FK Zeleznicar Pancevo,Super liga Srbije,SER1,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,,,,,,,,,,,,,,ok
W'burg Kickers,https://www.transfermarkt.com/wurzburger-kickers/startseite/verein/1557,Würzburger Kickers,Regionalliga Bayern,RLB3,https://www.transfermarkt.com/regionalliga-bayern/startseite/wettbewerb/RLB3,Fourth Tier,,2,4 years,€2.09m,26,25.1,4,,0,AKON ARENA,,,ok
Mersin Ä°Y,https://www.transfermarkt.mx/yeni-mersin-idmanyurdu/startseite/verein/69486,Yeni Mersin Idmanyurdu,2.Lig Kirmizi,TR3B,https://www.transfermarkt.com/2-lig-kirmizi/startseite/wettbewerb/TR3B,,Turkey,,,,,,,,,,,,ok
P'borough Utd,https://www.transfermarkt.mx/peterborough-united/startseite/verein/1072,Peterborough United,League One,GB3,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3,,England,,,,,,,,,,,,ok
Ebbsfleet Utd,https://www.transfermarkt.com/ebbsfleet-united/startseite/verein/2797,Ebbsfleet United,National League South,NLS6,https://www.transfermarkt.com/national-league-south/startseite/wettbewerb/NLS6,Sixth Tier,,9,1 year,€75k,26,28.1,5,,0,Stonebridge Road,,,ok
GÃ¶teborg,https://www.transfermarkt.com/ifk-goteborg/startseite/verein/801,IFK Göteborg,Allsvenskan,SE1,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,First Tier,Sweden,16,30 years,€18.55m,26,25.2,11,,3,Gamla Ullevi,,,ok
Rotherham Utd,https://www.transfermarkt.com/rotherham-united/startseite/verein/1194,Rotherham United,League One,GB3,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3,Third Tier,England,23,2 years,€9.98m,34,24.9,12,,2,New York Stadium,,,ok
AGF,https://www.transfermarkt.com/aarhus-gf/startseite/verein/678,Aarhus GF,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,1,11 years,€28.50m,24,26.8,11,,3,Ceres Park Vejlby,,+€3.27m,ok
OFC Sliven,https://www.transfermarkt.com/fc-sliven/startseite/verein/2535,FC Sliven,Vtora Liga,BU2,https://www.transfermarkt.com/vtora-liga/startseite/wettbewerb/BU2,,,,,,4,34.7,0,,0,Hadzhi Dimitar,,,ok
Tianjin Q'jiang,https://www.transfermarkt.com/tianjin-tianhai-2019-/startseite/verein/33714/saison_id/2017,Tianjin Tianhai (,Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,,,,,€125k,0,0.0,,,0,Tianjin Olympic Center Stadium,,,ok
Arles-Avignon,https://www.transfermarkt.com/athletic-club-arlesien/startseite/verein/11300,Athlétic Club Arlésien,Ligue 2,FR2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2,,France,,,,4,27.7,2,,0,Stade Fernand-Fournier,,,ok
Waas-Beveren,https://www.transfermarkt.com/sk-beveren/startseite/verein/28643,SK Beveren,Challenger Pro League,BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,Second Tier,,1,5 years,€10.78m,25,25.7,12,,2,Freethielstadion,,+€1.44m,ok
Dag & Red,https://www.transfermarkt.com/fc-dagenham--redbridge/startseite/verein/3696,Dagenham & Redbridge FC,National League South,NLS6,https://www.transfermarkt.com/national-league-south/startseite/wettbewerb/NLS6,Sixth Tier,,13,1 year,€75k,26,25.9,6,,2,Victoria Road,,,ok
Atlanta Utd,https://www.transfermarkt.com/atlanta-united-fc/startseite/verein/51663,Atlanta United FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,14,10 years,€62.65m,28,26.2,22,,11,Mercedes-Benz Stadium,,,ok
Sac Republic,https://www.transfermarkt.com/sacramento-republic-fc/startseite/verein/40835,Sacramento Republic FC,USL Championship,USL,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,Second Tier,,6,10 years,€5.15m,28,25.2,11,,3,Heart Health Park,,,ok
Jong Twente,https://www.transfermarkt.com/fc-twente-enschede-u21/startseite/verein/18026,FC Twente Enschede U21,U21 Division 1 Fall,211F,https://www.transfermarkt.com/u21-divisie-1-herbst/startseite/wettbewerb/211F,,,4,3 years,€500k,24,20.5,7,,1,Sportpark De Waarbeek,,,ok
Jong Utrecht,https://www.transfermarkt.com/fc-utrecht-u21/startseite/verein/17596,FC Utrecht U21,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,12,10 years,€5.13m,21,20.8,4,,0,"Sportpark ""Zoudenbalch""",,+€100k,ok
Charlotte Ind'ence,https://www.transfermarkt.com/charlotte-independence/startseite/verein/46717,Charlotte Independence,USL League One,USC3,https://www.transfermarkt.com/usl-league-one/startseite/wettbewerb/USC3,Third Tier,,6,5 years,€175k,26,25.8,16,,1,American Legion Memorial Stadium,,,ok
FG Rovers,https://www.transfermarkt.com/forest-green-rovers/startseite/verein/3455,Forest Green Rovers,National League,CNAT,https://www.transfermarkt.com/national-league/startseite/wettbewerb/CNAT,Fifth Tier,,7,2 years,€525k,35,26.0,12,,0,The New Lawn,,,ok
DjurgÃ¥rden,https://www.transfermarkt.com/djurgardens-if/startseite/verein/1044,Djurgårdens IF,Allsvenskan,SE1,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,First Tier,Sweden,4,26 years,€20.95m,23,26.3,11,,3,3Arena,,+€13.00m,ok
Chester,https://www.transfermarkt.mx/fc-chester/startseite/verein/31367,FC Chester,National League North,NLN6,https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6,,,,,,,,,,,,,,ok
Inter ZapreÅ¡iÄ‡,https://www.transfermarkt.com/nk-inker/startseite/verein/918,NK Inker,Prva NL,KR2,https://www.transfermarkt.com/2-hnl/startseite/wettbewerb/KR2,,,,,,21,26.4,0,,0,SRC Zapresic,,,ok
LV Lights FC,https://www.transfermarkt.com/las-vegas-lights-fc/startseite/verein/62204,Las Vegas Lights FC,USL Championship,USL,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,Second Tier,,11,9 years,€3.33m,25,25.6,9,,3,Cashman Field,,,ok
