league_url,league_country,league_level,league_name_tm
https://www.transfermarkt.com/liga-portugal-2/startseite/wettbewerb/PO2,Portugal,Second Tier,Liga Portugal 2  25/26
https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,Brazil,First Tier,Campeonato Brasileiro Série A 2026
https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,Romania,First Tier,SuperLiga 25/26
https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Italy,Second Tier,Serie B 25/26
https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Netherlands,Second Tier,Keuken Kampioen Divisie 25/26
https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,Netherlands,First Tier,Eredivisie 25/26
https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Germany,Second Tier,2. Bundesliga 25/26
https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2,Türkiye,Second Tier,1.Lig 25/26
https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,Germany,First Tier,Bundesliga 25/26
https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,Japan,,J1 100 Year Vision League 2026
https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,China,First Tier,Chinese Super League 2026
https://www.transfermarkt.com/ettan-sodra/startseite/wettbewerb/SE3S,Sweden,Third Tier,Ettan Södra 2026
https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3,France,Third Tier,Championnat National 25/26
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-i/startseite/wettbewerb/E4G1,Spain,Fourth Tier,Segunda Federación
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-v/startseite/wettbewerb/E4G5,Spain,Fourth Tier,Segunda Federación
https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E4G2,Spain,Fourth Tier,Segunda Federación
https://www.transfermarkt.com/3-liga-gruppe-iii/startseite/wettbewerb/PL33,Poland,Fourth Tier,Betclic 3 Liga
https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,Poland,First Tier,PKO BP Ekstraklasa 25/26
https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,Greece,Second Tier,Super League 2 25/26
https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,Sweden,First Tier,Allsvenskan 2026
https://www.transfermarkt.com/nasl-spring-championship/startseite/wettbewerb/NASC,United States,Second Tier,NASL Spring Championship (2013
https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,Mexico,First Tier,Liga MX Apertura 25/26
