squad,transfermarkt_id,transfermarkt_url
Le Mans,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
Memphis,199,https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199
Blackburn,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
HÃ©rcules,Not found,Not found
Alania,41309,https://www.transfermarkt.com/fc-algeti-marneuli/startseite/verein/41309
Sheffield Weds,Not found,Not found
Zenit,6801,https://www.transfermarkt.com/fk-buducnost-banovici/startseite/verein/6801
Reims,5125,https://www.transfermarkt.com/osc-vellmar/startseite/verein/5125
OsmanlÄ±spor,Not found,Not found
AnkaragÃ¼cÃ¼,Not found,Not found
Antwerp,45527,https://www.transfermarkt.com/sg-brohl/startseite/verein/45527
Standard LiÃ¨ge,Not found,Not found
PeÃ±arol,Not found,Not found
Lugo,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Newell's OB,Not found,Not found
Atlas,5849,https://www.transfermarkt.com/vikingur-reykjavik/startseite/verein/5849
Lille,6493,https://www.transfermarkt.com/eidsvold-turn-fotball/startseite/verein/6493
Reus,1061,https://www.transfermarkt.com/los-angeles-galaxy/startseite/verein/1061
Aris,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Carolina,91,https://www.transfermarkt.com/preussen-munster/startseite/verein/91
Al-Ettifaq,7732,https://www.transfermarkt.com/al-ettifaq/startseite/verein/7732
Kuban,252,https://www.transfermarkt.com/genua-cfc/startseite/verein/252
Iraklis,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
MirandÃ©s,Not found,Not found
Siena,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Latina,110302,https://www.transfermarkt.com/avs-futebol-sad/startseite/verein/110302
Parma,20760,https://www.transfermarkt.com/bandirmaspor/startseite/verein/20760
Al-Fateh,84126,https://www.transfermarkt.com/manjung-city/startseite/verein/84126
Brest,5499,https://www.transfermarkt.com/fc-stade-lausanne-ouchy/startseite/verein/5499
AtlÃ©tico Ottawa,Not found,Not found
AD Cali,Not found,Not found
ADU Magdalena,Not found,Not found
MÃ¡laga B,Not found,Not found
Steaua,159,https://www.transfermarkt.com/roter-stern-belgrad/startseite/verein/159
Ebro,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
CE L'Hospitalet,9477,https://www.transfermarkt.com/ce-lhospitalet/startseite/verein/9477
FÃ©nix,Not found,Not found
FamalicÃ£o,Not found,Not found
Apollon,19191,https://www.transfermarkt.com/asil-lysi/startseite/verein/19191
Ath Paranaense,Not found,Not found
Bilbao B,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Kawa Frontale,Not found,Not found
Triv. Valderas,Not found,Not found
Llagostera,11642,https://www.transfermarkt.com/villajoyosa-cf/startseite/verein/11642
Cruzeiro,50944,https://www.transfermarkt.com/al-sulaibikhat-sc/startseite/verein/50944
AvaÃ­,Not found,Not found
Rad,2350,https://www.transfermarkt.com/millonarios-fc/startseite/verein/2350
ZagÅ‚Ä™bie Lubin,Not found,Not found
Brescia,430,https://www.transfermarkt.com/ac-florenz/startseite/verein/430
Pisa,10090,https://www.transfermarkt.com/deportivo-pasto/startseite/verein/10090
CD L'Alcora,Not found,Not found
RE Mouscron,Not found,Not found
GazÃ©lec Ajaccio,Not found,Not found
Larissa,37093,https://www.transfermarkt.com/vv-duno-doorwerth/startseite/verein/37093
Caen,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Venezia,46373,https://www.transfermarkt.com/miami-dade-fc/startseite/verein/46373
Mons,148,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148
Saipa,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Bahia,6600,https://www.transfermarkt.com/sc-internacional-porto-alegre/startseite/verein/6600
Chaves,1061,https://www.transfermarkt.com/los-angeles-galaxy/startseite/verein/1061
CuiabÃ¡,Not found,Not found
Vila Nova,26386,https://www.transfermarkt.com/sorriso-esporte-clube-mt-/startseite/verein/26386
NYCFC,47910,https://www.transfermarkt.com/villanova-wildcats-villanova-university-/startseite/verein/47910
KasÄ±mpaÅŸa,Not found,Not found
GÃ¶ztepe,Not found,Not found
RB Salzburg,409,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409
Sporting KC,Not found,Not found
Start,86374,https://www.transfermarkt.com/vjfk-trakai/startseite/verein/86374
StabÃ¦k,Not found,Not found
Astana FK,Not found,Not found
Veria,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
MazatlÃ¡n,Not found,Not found
Saint-Ã‰tienne,Not found,Not found
NY Cosmos,4835,https://www.transfermarkt.com/new-york-cosmos/startseite/verein/4835
MarÃ­timo,Not found,Not found
Adelaide,Not found,Not found
Widzew ÅÃ³dÅº,Not found,Not found
Lechia GdaÅ„sk,Not found,Not found
ÅšlÄ…sk WrocÅ‚aw,Not found,Not found
LeixÃµes,Not found,Not found
HIFK,Not found,Not found
Ufa,Not found,Not found
MiedÅº,Not found,Not found
CornellÃ ,Not found,Not found
Chiapas,Not found,Not found
Racing Club,Not found,Not found
Santos,Not found,Not found
U ConcepciÃ³n,Not found,Not found
UniÃ³n EspaÃ±ola,Not found,Not found
Junior,Not found,Not found
Gent,Not found,Not found
SanluqueÃ±o,Not found,Not found
Teruel,Not found,Not found
WisÅ‚a KrakÃ³w,Not found,Not found
Orihuela,Not found,Not found
Oeste,Not found,Not found
Dinamo BucureÈ™ti,Not found,Not found
CA Bucaramanga,Not found,Not found
Swope Park,Not found,Not found
HonvÃ©d,Not found,Not found
SF Deltas,Not found,Not found
Al-Orobah,Not found,Not found
Atl SanluqueÃ±o,Not found,Not found
Skoda Xanthi,Not found,Not found
GenÃ§lerbirliÄŸi,Not found,Not found
Basel,Not found,Not found
Burgos,Not found,Not found
Melb City,Not found,Not found
UAG,Not found,Not found
LanÃºs,Not found,Not found
VÃ©lez Sarsfield,Not found,Not found
SocuÃ©llamos,Not found,Not found
Al-Hazem,Not found,Not found
AtlÃ©tico Baleares,Not found,Not found
Guangzhou,Not found,Not found
Paysandu,Not found,Not found
SÃ£o Bento,Not found,Not found
Club Deportivo Utrera,Not found,Not found
Vancouver W'caps,Not found,Not found
VÃ¥lerenga,Not found,Not found
Anzhi,Not found,Not found
AÃ‰K LÃ¡rnaka,Not found,Not found
Palermo,Not found,Not found
Al-Ta'ee,Not found,Not found
Freiburg,Not found,Not found
Penafiel,Not found,Not found
BÃ©kÃ©scsaba,Not found,Not found
HaladÃ¡s,Not found,Not found
Debrecen,Not found,Not found
La Equidad,Not found,Not found
BotoÈ™ani,Not found,Not found
Trapani,Not found,Not found
Treviso,Not found,Not found
Novara,Not found,Not found
Abha,Not found,Not found
Boa,Not found,Not found
VitÃ³ria GuimarÃ£es,Not found,Not found
Aves,Not found,Not found
Damac,Not found,Not found
Rostov,Not found,Not found
CacereÃ±o,Not found,Not found
JaÃ©n,Not found,Not found
UniÃ³n,Not found,Not found
Minnesota Utd,Not found,Not found
ColÃ³n,Not found,Not found
SPAL,Not found,Not found
Al Sadd,Not found,Not found
Politehnica TimiÈ™oara,Not found,Not found
Terek Grozny,Not found,Not found
KarabÃ¼kspor,Not found,Not found
Farul ConstanÈ›a,Not found,Not found
Jong Ajax,Not found,Not found
Pasto,Not found,Not found
CÃºcuta,Not found,Not found
Pereira,Not found,Not found
AtlÃ© TucumÃ¡n,Not found,Not found
Colo-Colo,Not found,Not found
Ancona,Not found,Not found
Tecos,Not found,Not found
AtlÃ©tico Saguntino,Not found,Not found
AC Omonia,Not found,Not found
SJ Earthquakes,Not found,Not found
AmÃ©rica (MG),Not found,Not found
General Caballero (JLM),Not found,Not found
UniÃ³n Comercio,Not found,Not found
Deportivo Recoleta,Not found,Not found
LDU de Quito,Not found,Not found
Melgar,Not found,Not found
S-Pulse,Not found,Not found
San MartÃ­n SJ,Not found,Not found
Indep Petrolero,Not found,Not found
Den Bosch,Not found,Not found
San JosÃ©,Not found,Not found
Toledo,Not found,Not found
SCM Gloria BuzÄƒu,Not found,Not found
TÃ¢rgu MureÈ™,Not found,Not found
RakÃ³w,Not found,Not found
OH Leuven,Not found,Not found
V-V Nagasaki,Not found,Not found
MezÅ‘kÃ¶vesd,Not found,Not found
Lahti,Not found,Not found
Wellington,Not found,Not found
Poli IaÈ™i,Not found,Not found
Samara,Not found,Not found
SÃ¼dtirol,Not found,Not found
Deportes Magallanes,Not found,Not found
MiedÅº Legnica,Not found,Not found
Viitorul,Not found,Not found
Racing,Not found,Not found
NÃ¡utico,Not found,Not found
FC ChamaliÃ¨res,Not found,Not found
Unionistas Sal,Not found,Not found
BrÃ¸ndby,Not found,Not found
GuaireÃ±a,Not found,Not found
GuaranÃ­,Not found,Not found
Club AtlÃ©tico Tembetary,Not found,Not found
Alicante,Not found,Not found
BodÃ¸/Glimt,Not found,Not found
JÃºbilo Iwata,Not found,Not found
Caracas,Not found,Not found
VestsjÃ¦lland,Not found,Not found
Zamora,Not found,Not found
NÃ®mes,Not found,Not found
Molde,Not found,Not found
Jahn R'burg,Not found,Not found
NordsjÃ¦lland,Not found,Not found
Curico Unido,Not found,Not found
AthlÃ©tico MS,Not found,Not found
Al-Khaleej,Not found,Not found
MÃ©rida AD,Not found,Not found
Tigre,Not found,Not found
Dep La CoruÃ±a,Not found,Not found
Evian,Not found,Not found
Maldonado,Not found,Not found
Gimnasiaâ€“LP,Not found,Not found
Aalen,Not found,Not found
StrÃ¸msgodset,Not found,Not found
SorkhPooshan FC,Not found,Not found
HuracÃ¡n,Not found,Not found
Avellino,Not found,Not found
LillestrÃ¸m,Not found,Not found
CearÃ¡,Not found,Not found
Acad Pr Cabello,Not found,Not found
GyÅ‘r,Not found,Not found
Sedan,Not found,Not found
Al-Qadsiah,Not found,Not found
Morton,Not found,Not found
Nice,Not found,Not found
La LouviÃ¨re,Not found,Not found
Catania,Not found,Not found
BolÃ­var,Not found,Not found
Monza,Not found,Not found
Sarmiento,Not found,Not found
Cerro,Not found,Not found
Talavera,Not found,Not found
Naval,Not found,Not found
Ä°stanbul BB,Not found,Not found
GÃ³rnik ÅÄ™czna,Not found,Not found
Jong PSV,Not found,Not found
Shiji Ever Bright,Not found,Not found
EyÃ¼pspor,Not found,Not found
Dep TÃ¡chira,Not found,Not found
Foolad,Not found,Not found
Litex Lovech,Not found,Not found
CriciÃºma,Not found,Not found
AA Aachen,Not found,Not found
DÃ¼sseldorf,Not found,Not found
Jiangsu Sainty,Not found,Not found
Hang Greentown,Not found,Not found
Vicenza Virtus,Not found,Not found
Cen. CÃ³rdobaâ€“SdE,Not found,Not found
GoiÃ¡s,Not found,Not found
VoÅ¾dovac,Not found,Not found
AB Copenhagen,Not found,Not found
Å½elezniÄar PanÄevo,Not found,Not found
Estrela,Not found,Not found
San Martin,Not found,Not found
Henan,Not found,Not found
Brann,Not found,Not found
Ã–rebro,Not found,Not found
W'burg Kickers,Not found,Not found
Mersin Ä°Y,Not found,Not found
OrlÃ©ans,Not found,Not found
HyÃ¨res FC,Not found,Not found
FC Baltika Kaliningrad,Not found,Not found
P'borough Utd,Not found,Not found
Barnet,Not found,Not found
Ebbsfleet Utd,Not found,Not found
Moss,Not found,Not found
MK Dons,Not found,Not found
V. Francavilla,Not found,Not found
SJK,Not found,Not found
GÃ¶teborg,Not found,Not found
Darlington,Not found,Not found
Rotherham Utd,Not found,Not found
AGF,Not found,Not found
Wealdstone,Not found,Not found
Preston,Not found,Not found
OFC Sliven,Not found,Not found
Bury,Not found,Not found
Tianjin Q'jiang,Not found,Not found
Acc'ton Stanley,Not found,Not found
Arles-Avignon,Not found,Not found
Angers,Not found,Not found
Catanzaro,Not found,Not found
Messina,Not found,Not found
Waas-Beveren,Not found,Not found
Ascoli,Not found,Not found
Charlotte,Not found,Not found
Dag & Red,Not found,Not found
Buxton,Not found,Not found
R&D,Not found,Not found
Atlanta Utd,Not found,Not found
Viking,Not found,Not found
Bromley,Not found,Not found
Sac Republic,Not found,Not found
Jong Twente,Not found,Not found
Jong Utrecht,Not found,Not found
Charlotte Ind'ence,Not found,Not found
Arda,Not found,Not found
FG Rovers,Not found,Not found
DjurgÃ¥rden,Not found,Not found
Chester,Not found,Not found
Queen's Park FC,Not found,Not found
Livingston,Not found,Not found
Inter ZapreÅ¡iÄ‡,Not found,Not found
LV Lights FC,Not found,Not found
Lugano,Not found,Not found
Phx Rising,Not found,Not found
Dallas Burn,Not found,Not found
KC Wizards,Not found,Not found
Å½eljezniÄar,Not found,Not found
SÃ¸nderjyskE,Not found,Not found
Thun,Not found,Not found
Olymp Volou,Not found,Not found
St Pierroise,Not found,Not found
LASK,Not found,Not found
ChÃ¢teauroux,Not found,Not found
CrÃ©teil,Not found,Not found
Ind. Rivadavia,Not found,Not found
Maldon&Tiptree,Not found,Not found
PogoÅ„ Szczecin,Not found,Not found
BB Erzurumspor,Not found,Not found
Petrolul PloieÈ™ti,Not found,Not found
Sochi,Not found,Not found
