squad,transfermarkt_url
AA Aachen,https://www.transfermarkt.com/alemannia-aachen/startseite/verein/8
Jiangsu Sainty,https://www.transfermarkt.mx/jiangsu-fc/startseite/verein/22219/saison_id/2005
Hang Greentown,https://www.transfermarkt.com/zhejiang-fc/startseite/verein/17276
Vicenza Virtus,https://www.transfermarkt.com/lr-vicenza/startseite/verein/2655
VoÅ¾dovac,https://www.transfermarkt.com/fk-vozdovac/startseite/verein/4634
AB Copenhagen,https://www.transfermarkt.com/akademisk-boldklub/startseite/verein/362
Å½elezniÄar PanÄevo,https://www.transfermarkt.mx/zeleznicar-pancevo/startseite/verein/59358
W'burg Kickers,https://www.transfermarkt.com/wurzburger-kickers/startseite/verein/1557
Mersin Ä°Y,https://www.transfermarkt.mx/yeni-mersin-idmanyurdu/startseite/verein/69486
P'borough Utd,https://www.transfermarkt.mx/peterborough-united/startseite/verein/1072
Ebbsfleet Utd,https://www.transfermarkt.com/ebbsfleet-united/startseite/verein/2797
GÃ¶teborg,https://www.transfermarkt.com/ifk-goteborg/startseite/verein/801
Rotherham Utd,https://www.transfermarkt.com/rotherham-united/startseite/verein/1194
AGF,https://www.transfermarkt.com/aarhus-gf/startseite/verein/678
OFC Sliven,https://www.transfermarkt.com/fc-sliven/startseite/verein/2535
Tianjin Q'jiang,https://www.transfermarkt.com/tianjin-tianhai-2019-/startseite/verein/33714/saison_id/2017
Arles-Avignon,https://www.transfermarkt.com/athletic-club-arlesien/startseite/verein/11300
Waas-Beveren,https://www.transfermarkt.com/sk-beveren/startseite/verein/28643
Dag & Red,https://www.transfermarkt.com/fc-dagenham--redbridge/startseite/verein/3696
Atlanta Utd,https://www.transfermarkt.com/atlanta-united-fc/startseite/verein/51663
Sac Republic,https://www.transfermarkt.com/sacramento-republic-fc/startseite/verein/40835
Jong Twente,https://www.transfermarkt.com/fc-twente-enschede-u21/startseite/verein/18026
Jong Utrecht,https://www.transfermarkt.com/fc-utrecht-u21/startseite/verein/17596
Charlotte Ind'ence,https://www.transfermarkt.com/charlotte-independence/startseite/verein/46717
FG Rovers,https://www.transfermarkt.com/forest-green-rovers/startseite/verein/3455
DjurgÃ¥rden,https://www.transfermarkt.com/djurgardens-if/startseite/verein/1044
Chester,https://www.transfermarkt.mx/fc-chester/startseite/verein/31367
Inter ZapreÅ¡iÄ‡,https://www.transfermarkt.com/nk-inker/startseite/verein/918
LV Lights FC,https://www.transfermarkt.com/las-vegas-lights-fc/startseite/verein/62204
Phx Rising,https://www.transfermarkt.com/phoenix-rising-fc/startseite/verein/33414
Dallas Burn,https://www.transfermarkt.com/fc-dallas/startseite/verein/8816/saison_id/2001
KC Wizards,https://www.transfermarkt.com/sporting-kansas-city/startseite/verein/4284
Å½eljezniÄar,https://www.transfermarkt.com/fk-zeljeznicar-sarajevo/startseite/verein/2573
SÃ¸nderjyskE,https://www.transfermarkt.com/sonderjyske-fodbold/startseite/verein/5817
Olymp Volou,https://www.transfermarkt.com/olympiakos-volos/startseite/verein/4602
St Pierroise,https://www.transfermarkt.com/js-saint-pierroise/startseite/verein/20375
ChÃ¢teauroux,https://www.transfermarkt.com/lb-chateauroux/startseite/verein/1175
Maldon&Tiptree,https://www.transfermarkt.es/maldon--tiptree-fc/startseite/verein/27045
PogoÅ„ Szczecin,https://www.transfermarkt.com/pogon-szczecin/startseite/verein/324
BB Erzurumspor,https://www.transfermarkt.mx/berzurumspor-fk/startseite/verein/39722
Petrolul PloieÈ™ti,https://www.transfermarkt.mx/petrolul-ploiesti/startseite/verein/9465
Ft Lauderdale,https://www.transfermarkt.com/fort-lauderdale-united-fc/startseite/verein/133926/saison_id/2025
RuÅ¾omberok,https://www.transfermarkt.com/mfk-ruzomberok/startseite/verein/7087
St Johnstone,https://www.transfermarkt.mx/st-johnstone-fc/startseite/verein/2578
Consa Sapporo,https://www.transfermarkt.mx/hokkaido-consadole-sapporo/startseite/verein/16032
BTSV,https://www.transfermarkt.com/eintracht-braunschweig/startseite/verein/23
Maritzburg United,https://www.transfermarkt.com/durban-city-football-club/startseite/verein/14187
ElazÄ±ÄŸspor,https://www.transfermarkt.com/elazigspor/startseite/verein/2292
Ã–ster,https://www.transfermarkt.com/osters-if/startseite/verein/1236
Fastav ZlÃ­n,https://www.transfermarkt.mx/fc-fastav-zlin/startseite/verein/5545
Wrd Bremen II,https://www.transfermarkt.com/sv-werder-bremen-ii/startseite/verein/87
NorrkÃ¶ping,https://www.transfermarkt.com/ifk-norrkoping/startseite/verein/2844
BB Bodrumspor,https://www.transfermarkt.com/bodrum-fk/startseite/verein/44006
Omniworld,https://www.transfermarkt.com/almere-city-fc/startseite/verein/723/saison_id/2006
Guangzhou Evg,https://www.transfermarkt.mx/guangzhou-fc/startseite/verein/10948
Odd,https://www.transfermarkt.com/odds-bk/startseite/verein/1058
RoPS,https://www.transfermarkt.com/rovaniemen-palloseura/startseite/verein/3776
TTM FC,https://www.transfermarkt.com/tshakhuma-tsha-madzivhandila-fc/startseite/verein/54893
Melb Heart,https://www.transfermarkt.com/melbourne-city-fc/startseite/verein/25580
InternaÈ›ional,https://www.transfermarkt.com/sport-club-internacional/startseite/verein/6600
Met Donetsk,https://www.transfermarkt.com/metalurg-donetsk/startseite/verein/2783
