player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Leighton Baines,https://fbref.com/en/players/b18095b6/Leighton-Baines,Success,Not found,"December 11, 1984",Not found,170cm,England eng,"DF (FB, left)",Left,2002-2003,17 years,Wigan Athletic,2002,13507,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507
Chris Baird,https://fbref.com/en/players/55fd8c81/Chris-Baird,Success,Not found,"February 25, 1982",Not found,179cm,Northern Ireland nir,DF-MF (CB-FB),Right,2002-2003,20 years,Southampton,2002,4115,https://www.transfermarkt.com/chris-baird/profil/spieler/4115
Nathan Baker,https://fbref.com/en/players/b18af9e3/Nathan-Baker,Success,Not found,"April 23, 1991",Not found,191cm,England eng,"DF (CB-FB, left)",Left,2009-2010,18 years,Lincoln City,2009,62638,https://www.transfermarkt.com/nathan-baker/profil/spieler/62638
Gareth Bale,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,Success,Not found,"July 16, 1989",Not found,185cm,Wales wls,FW-MF (AM-WM),Left,2005-2006,16 years,Southampton,2005,39381,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381
Mario Balotelli,https://fbref.com/en/players/8ff07990/Mario-Balotelli,Success,Not found,"August 12, 1990",Not found,189cm,Italy,FW,Right,2007-2008,16 years,Inter,2007,45146,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146
Barry Bannan,https://fbref.com/en/players/9469fb13/Barry-Bannan,Success,Not found,"December 1, 1989 (Age: 35-359d)","Airdrie, Scotland, United Kingdom",169cm,Scotland sct,"MF (AM-CM-DM, left)",Left,2008-2009,18 years,Derby County,2008,61561,https://www.transfermarkt.com/barry-bannan/profil/spieler/61561
Alex Baptiste,https://fbref.com/en/players/7b72f0b6/Alex-Baptiste,Success,Not found,"January 31, 1986",Not found,180cm,Not found,"DF (CB-FB, right)",Right,2002-2003,16 years,Mansfield Town,2002,16660,https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660
Phil Bardsley,https://fbref.com/en/players/1ae30132/Phil-Bardsley,Success,Not found,"June 28, 1985",Not found,180cm,Scotland sct  Other: England,"DF (FB, right)",Right,2003-2004,18 years,Antwerp,2003,15773,https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773
Giles Barnes,https://fbref.com/en/players/e663724a/Giles-Barnes,Success,Not found,"August 5, 1988",Not found,188cm,Jamaica jm  Other: England,FW-MF (AM),Both,2005-2006,16 years,Derby County,2005,37236,https://www.transfermarkt.com/giles-barnes/profil/spieler/37236
Pablo Barrera,https://fbref.com/en/players/ff70b131/Pablo-Barrera,Success,Not found,"June 21, 1987 (Age: 38-157d)","Tlalnepantla de Baz, Estado de México, Mexico",175cm,Mexico,"FW-MF (AM-WM, right)",Right,2005-2006,18 years,UNAM,2005,51079,https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079
Gareth Barry,https://fbref.com/en/players/7dbbe367/Gareth-Barry,Success,Not found,"February 23, 1981",Not found,183cm,England eng,MF (CM-DM),Left,1997-1998,16 years,Aston Villa,1997,3291,https://www.transfermarkt.com/gareth-barry/profil/spieler/3291
Joey Barton,https://fbref.com/en/players/93bfa675/Joey-Barton,Success,Not found,"September 2, 1982",Not found,180cm,England eng,MF (CM),Right,2002-2003,19 years,Manchester City,2002,3292,https://www.transfermarkt.com/joey-barton/profil/spieler/3292
Chris Basham,https://fbref.com/en/players/1aa84968/Chris-Basham,Success,Not found,"July 20, 1988",Not found,185cm,Not found,"DF-MF (CB, right)",Right,2006-2007,18 years,Stafford Rangers,2006,52495,https://www.transfermarkt.com/chris-basham/profil/spieler/52495
Sébastien Bassong,https://fbref.com/en/players/0d521662/Sebastien-Bassong,Success,Not found,"July 9, 1986",Not found,188cm,Cameroon cm  Other: France,DF,Left,2005-2006,19 years,Metz,2005,33951,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951
Jose Baxter,https://fbref.com/en/players/185990eb/Jose-Baxter,Success,Not found,"February 7, 1992",Not found,180cm,England eng,FW-MF (AM),Right,2008-2009,16 years,Everton,2008,82734,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734
James Beattie,https://fbref.com/en/players/7c881089/James-Beattie,Success,Not found,"February 27, 1978",Not found,185cm,England eng,FW,Not found,1996-1997,18 years,Blackburn,1996,3112,https://www.transfermarkt.com/james-beattie/profil/spieler/3112
Jean Beausejour,https://fbref.com/en/players/c8404849/Jean-Beausejour,Success,Not found,"June 1, 1984",Not found,178cm,Chile,"DF-FW-MF (FB-WM, left)",Left,2004-2005,20 years,Servette,2004,18871,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871
Bebé,https://fbref.com/en/players/d8712bf9/Bebe,Success,Not found,"July 12, 1990 (Age: 35-136d)","Cacém, Portugal",190cm,Cape Verde cv  Other: Portugal,FW-MF (AM-WM),Right,2010-2011,20 years,Manchester Utd,2010,26541,https://www.transfermarkt.com/beb/profil/spieler/26541
Jermaine Beckford,https://fbref.com/en/players/393303c7/Jermaine-Beckford,Success,Not found,"December 9, 1983",Not found,188cm,Jamaica jm  Other: England,FW,Right,2005-2006,21 years,Leeds United,2005,38874,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874
Roman Bednář,https://fbref.com/en/players/a6979454/Roman-Bednar,Success,Not found,"March 26, 1983",Not found,191cm,Czech Republic,FW,Not found,2005-2006,22 years,Hearts,2005,26898,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898
Asmir Begović,https://fbref.com/en/players/7b4de647/Asmir-Begovic,Success,Not found,"June 20, 1987 (Age: 38-158d)","Trebinje, Bosnia and Herzegovina",199cm,Bosnia and Herzegovina ba  Other: Canada,GK,Right,2005-2006,18 years,La Louvière,2005,33873,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873
Valon Behrami,https://fbref.com/en/players/d3d758d8/Valon-Behrami,Success,Not found,"April 19, 1985",Not found,184cm,Switzerland ch  Other: Kosovo,DF-MF (CM),Right,2003-2004,18 years,Genoa,2003,21905,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905
Hatem Ben Arfa,https://fbref.com/en/players/74dc806c/Hatem-Ben-Arfa,Success,Not found,"March 7, 1987",Not found,178cm,France,FW-MF (AM-WM),Left,2004-2005,17 years,Lyon,2004,18900,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900
Tal Ben Haim,https://fbref.com/en/players/8ca0559d/Tal-Ben-Haim,Success,Not found,"August 5, 1989",Not found,175cm,Israel,FW-MF (WM),Left,2017-2018,27 years,Sparta Prague,2017,20714,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714
Yossi Benayoun,https://fbref.com/en/players/8414bb13/Yossi-Benayoun,Success,Not found,"May 5, 1980",Not found,178cm,Israel,MF (AM),Not found,2002-2003,22 years,Racing Sant,2002,7858,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858
Nicklas Bendtner,https://fbref.com/en/players/9f9c57f0/Nicklas-Bendtner,Success,Not found,"January 16, 1988",Not found,194cm,Denmark,FW,Right,2006-2007,18 years,Birmingham City,2006,34557,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557
Benjani,https://fbref.com/en/players/9fc277ee/Benjani,Success,Not found,"August 13, 1978",Not found,188cm,Zimbabwe,FW,Not found,2002-2003,23 years,Auxerre,2002,12063,https://www.transfermarkt.com/benjani/profil/spieler/12063
Darren Bent,https://fbref.com/en/players/fe97f10b/Darren-Bent,Success,Not found,"February 6, 1984",Not found,180cm,England eng,FW,Right,2001-2002,17 years,Ipswich Town,2001,13239,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
Marcus Bent,https://fbref.com/en/players/69166246/Marcus-Bent,Success,Not found,"May 19, 1978",Not found,188cm,England eng,FW,Not found,1997-1998,19 years,Crystal Palace,1997,9958,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958
David Bentley,https://fbref.com/en/players/a00fbcec/David-Bentley,Success,Not found,"August 27, 1984",Not found,175cm,England eng,MF (AM-WM),Right,2003-2004,18 years,Arsenal,2003,3205,https://www.transfermarkt.com/david-bentley/profil/spieler/3205
Dimitar Berbatov,https://fbref.com/en/players/f5781978/Dimitar-Berbatov,Success,Not found,"January 30, 1981",Not found,189cm,Bulgaria,FW,Right,2000-2001,19 years,Leverkusen,2000,65,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65
Christophe Berra,https://fbref.com/en/players/8455984a/Christophe-Berra,Success,Not found,"January 31, 1985",Not found,186cm,Scotland sct,DF (CB),Left,2003-2004,18 years,Hearts,2003,36602,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602
