player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Martin Jiránek,https://fbref.com/en/players/eb005dc3/Martin-Jiranek,Success,Not found,"May 25, 1979",Not found,189cm,Czech Republic,"DF (CB-FB, right)",Right,2000-2001,21 years,Reggina,2000,6065,https://www.transfermarkt.com/martin-jirnek/profil/spieler/6065
Jô,Not found,No URL,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,34156,https://www.transfermarkt.com/j/profil/spieler/34156
Adam Johnson,https://fbref.com/en/players/1ba61951/Adam-Johnson,Success,Not found,"July 14, 1987",Not found,181cm,England eng,MF (WM),Left,2005-2006,18 years,Middlesbrough,2005,31579,https://www.transfermarkt.com/adam-johnson/profil/spieler/31579
Andrew Johnson,https://fbref.com/en/players/facd1b3e/Andrew-Johnson,Success,Not found,"February 10, 1981",Not found,170cm,England eng,FW,Right,2001-2002,20 years,Birmingham City,2001,14031,https://www.transfermarkt.com/andrew-johnson/profil/spieler/14031
Eddie Johnson,https://fbref.com/en/players/391c966a/Eddie-Johnson,Success,Not found,"September 20, 1984",Not found,178cm,England eng,FW-MF,Not found,2003-2004,18 years,Antwerp,2003,38773,https://www.transfermarkt.com/eddie-johnson/profil/spieler/38773
Glen Johnson,https://fbref.com/en/players/8cceca90/Glen-Johnson,Success,Not found,"August 23, 1984",Not found,182cm,England eng,"DF (FB, right)",Both,2002-2003,17 years,Millwall,2002,3881,https://www.transfermarkt.com/glen-johnson/profil/spieler/3881
Roger Johnson,https://fbref.com/en/players/f6e08a82/Roger-Johnson,Success,Not found,"April 28, 1983",Not found,191cm,Not found,DF,Right,2002-2003,19 years,Wycombe,2002,42751,https://www.transfermarkt.com/roger-johnson/profil/spieler/42751
David Jones,https://fbref.com/en/players/2f0edbe7/David-Jones,Success,Not found,"November 4, 1984",Not found,180cm,England eng,MF (CM),Left,2005-2006,20 years,NEC Nijmegen,2005,24634,https://www.transfermarkt.com/david-jones/profil/spieler/24634
Jermaine Jones,https://fbref.com/en/players/0c577541/Jermaine-Jones,Success,Not found,"November 3, 1981",Not found,184cm,United States us  Other: Germany,MF (AM-DM),Both,2000-2001,18 years,Eint Frankfurt,2000,1321,https://www.transfermarkt.com/jermaine-jones/profil/spieler/1321
Kenwyne Jones,https://fbref.com/en/players/5f3b634e/Kenwyne-Jones,Success,Not found,"October 5, 1984",Not found,188cm,Trinidad and Tobago,FW,Right,2004-2005,19 years,Sheffield Weds,2004,28245,https://www.transfermarkt.com/kenwyne-jones/profil/spieler/28245
Phil Jones,https://fbref.com/en/players/def899bd/Phil-Jones,Success,Not found,"February 21, 1992",Not found,185cm,England eng,"DF-MF (CB, left)",Right,2009-2010,17 years,Blackburn,2009,117996,https://www.transfermarkt.com/phil-jones/profil/spieler/117996
Nigel de Jong,https://fbref.com/en/players/a0e209bc/Nigel-de-Jong,Success,Not found,"November 30, 1984",Not found,174cm,Netherlands,MF (DM),Right,2002-2003,17 years,Ajax,2002,4672,https://www.transfermarkt.com/nigel-de-jong/profil/spieler/4672
Milan Jovanović,https://fbref.com/en/players/bd89b75e/Milan-Jovanovic,Success,Not found,"April 18, 1981",Not found,183cm,Serbia,"FW-MF (WM, left)",Not found,2004,22 years,Loko Moscow,Not found,14933,https://www.transfermarkt.com/milan-jovanovi/profil/spieler/14933
Younès Kaboul,https://fbref.com/en/players/3680d723/Younes-Kaboul,Success,Not found,"January 4, 1986",Not found,190cm,France,DF (CB),Right,2004-2005,18 years,Auxerre,2004,27114,https://www.transfermarkt.com/youns-kaboul/profil/spieler/27114
Gaël Kakuta,https://fbref.com/en/players/5b1bf5e3/Gael-Kakuta,Success,Not found,"June 21, 1991 (Age: 34-157d)","Lille, France",173cm,Congo DR cd  Other: France,FW-MF (AM-WM),Left,2009-2010,18 years,Chelsea,2009,74297,https://www.transfermarkt.com/gal-kakuta/profil/spieler/74297
Nikola Kalinić,https://fbref.com/en/players/d4931a5a/Nikola-Kalinic,Success,Not found,"January 5, 1988",Not found,187cm,Croatia,FW,Right,2007-2008,19 years,Hajduk Split,2007,36371,https://www.transfermarkt.com/nikola-kalini/profil/spieler/36371
Salomon Kalou,https://fbref.com/en/players/2042d931/Salomon-Kalou,Success,Not found,"August 5, 1985",Not found,183cm,Côte d'Ivoire,FW-MF (AM),Right,2004-2005,18 years,Feyenoord,2004,7971,https://www.transfermarkt.com/salomon-kalou/profil/spieler/7971
Diomansy Kamara,https://fbref.com/en/players/71e8454e/Diomansy-Kamara,Success,Not found,"November 8, 1980",Not found,185cm,Senegal sn  Other: France,FW,Not found,2001-2002,20 years,Modena,2001,6053,https://www.transfermarkt.com/diomansy-kamara/profil/spieler/6053
Robbie Keane,https://fbref.com/en/players/f45e1bb2/Robbie-Keane,Success,Not found,"July 8, 1980",Not found,175cm,Republic of Ireland,FW,Right,1999-2000,19 years,Coventry City,1999,3144,https://www.transfermarkt.com/robbie-keane/profil/spieler/3144
Dekel Keinan,https://fbref.com/en/players/8e3c9fb3/Dekel-Keinan,Success,Not found,"September 15, 1984",Not found,184cm,Israel,DF (CB),Not found,2010-2011,25 years,Blackpool,2010,24476,https://www.transfermarkt.com/dekel-keinan/profil/spieler/24476
Martin Kelly,https://fbref.com/en/players/d7492450/Martin-Kelly,Success,Not found,"April 27, 1990",Not found,191cm,England eng,"DF-MF (CB-FB, right)",Right,2008-2009,18 years,Huddersfield,2008,78959,https://www.transfermarkt.com/martin-kelly/profil/spieler/78959
Stephen Kelly,https://fbref.com/en/players/4d7dd756/Stephen-Kelly,Success,Not found,"September 6, 1983",Not found,184cm,Republic of Ireland,"DF (FB, right)",Right,2002-2003,18 years,QPR,2002,12125,https://www.transfermarkt.com/stephen-kelly/profil/spieler/12125
Andy Keogh,https://fbref.com/en/players/c7e84594/Andy-Keogh,Success,Not found,"May 16, 1986",Not found,183cm,Republic of Ireland,FW-MF (WM),Right,2004-2005,18 years,Bury,2004,29419,https://www.transfermarkt.com/andy-keogh/profil/spieler/29419
Michael Kightly,https://fbref.com/en/players/26e5c484/Michael-Kightly,Success,Not found,"January 24, 1986",Not found,175cm,England eng,"FW-MF (WM, left)",Right,2002-2003,16 years,Southend United,2002,25366,https://www.transfermarkt.com/michael-kightly/profil/spieler/25366
Ledley King,https://fbref.com/en/players/83ca192d/Ledley-King,Success,Not found,"October 12, 1980",Not found,188cm,England eng,DF-MF (CB-DM),Not found,1998-1999,17 years,Tottenham,1998,3360,https://www.transfermarkt.com/ledley-king/profil/spieler/3360
Richard Kingson,https://fbref.com/en/players/05380aa0/Richard-Kingson,Success,Not found,"June 13, 1978",Not found,183cm,Ghana,GK,Not found,2001-2002,23 years,Antalyaspor,2001,7125,https://www.transfermarkt.com/richard-kingson/profil/spieler/7125
Chris Kirkland,https://fbref.com/en/players/710265d2/Chris-Kirkland,Success,Not found,"May 2, 1981",Not found,191cm,England eng,GK,Right,2000-2001,19 years,Coventry City,2000,3219,https://www.transfermarkt.com/chris-kirkland/profil/spieler/3219
Ivan Klasnić,https://fbref.com/en/players/214ed478/Ivan-Klasnic,Success,Not found,"January 29, 1980",Not found,186cm,Croatia hr  Other: Germany,FW,Not found,2001-2002,21 years,Werder Bremen,2001,690,https://www.transfermarkt.com/ivan-klasni/profil/spieler/690
Zat Knight,https://fbref.com/en/players/607efc45/Zat-Knight,Success,Not found,"May 2, 1980",Not found,198cm,England eng,DF (CB),Right,2001-2002,21 years,Fulham,2001,4012,https://www.transfermarkt.com/zat-knight/profil/spieler/4012
Aleksandar Kolarov,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Success,Not found,"November 10, 1985",Not found,187cm,Serbia,"DF (FB, left)",Left,2007-2008,21 years,Lazio,2007,46156,https://www.transfermarkt.com/aleksandar-kolarov/profil/spieler/46156
Vincent Kompany,https://fbref.com/en/players/d2bff301/Vincent-Kompany,Success,Not found,"April 10, 1986",Not found,193cm,Belgium,DF (CB),Right,2003-2004,17 years,Anderlecht,2003,9594,https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594
Paul Konchesky,https://fbref.com/en/players/941bcf75/Paul-Konchesky,Success,Not found,"May 15, 1981",Not found,178cm,England eng,"DF-FW-MF (AM-FB, left)",Left,1998-1999,17 years,Charlton Ath,1998,3296,https://www.transfermarkt.com/paul-konchesky/profil/spieler/3296
Sergei Kornilenko,https://fbref.com/en/players/be1797d6/Sergei-Kornilenko,Success,Not found,"June 14, 1983",Not found,186cm,Belarus,FW,Right,2003-2004,20 years,Dynamo Kyiv,2003,15881,https://www.transfermarkt.com/sergei-kornilenko/profil/spieler/15881
Laurent Koscielny,https://fbref.com/en/players/f5efb153/Laurent-Koscielny,Success,Not found,"September 10, 1985",Not found,186cm,France,DF (CB),Right,2009-2010,23 years,Lorient,2009,76277,https://www.transfermarkt.com/laurent-koscielny/profil/spieler/76277
Radoslav Kováč,https://fbref.com/en/players/cf3f2f6d/Radoslav-Kovac,Success,Not found,"November 27, 1979",Not found,189cm,Czech Republic,DF-MF (CB-DM),Right,2005,25 years,Spartak Moscow,Not found,9702,https://www.transfermarkt.com/radoslav-kov/profil/spieler/9702
Niko Kranjčar,https://fbref.com/en/players/403d2184/Niko-Kranjcar,Success,Not found,"August 13, 1984",Not found,186cm,Croatia,MF (AM),Both,2006-2007,21 years,Portsmouth,2006,16746,https://www.transfermarkt.com/niko-kranjar/profil/spieler/16746
Tim Krul,https://fbref.com/en/players/f23f9d20/Tim-Krul,Success,Not found,"April 3, 1988",Not found,193cm,Netherlands,GK,Left,2007-2008,19 years,Falkirk,2007,33027,https://www.transfermarkt.com/tim-krul/profil/spieler/33027
Shefki Kuqi,https://fbref.com/en/players/1e05027f/Shefki-Kuqi,Success,Not found,"November 10, 1976",Not found,188cm,Finland fi  Other: Kosovo,FW,Not found,2001-2002,24 years,Sheffield Weds,2001,12398,https://www.transfermarkt.com/shefki-kuqi/profil/spieler/12398
Tomasz Kuszczak,https://fbref.com/en/players/a924380b/Tomasz-Kuszczak,Success,Not found,"March 20, 1982",Not found,191cm,Poland,GK,Right,2004-2005,22 years,West Brom,2004,1320,https://www.transfermarkt.com/tomasz-kuszczak/profil/spieler/1320
Dirk Kuyt,https://fbref.com/en/players/cd53ecf4/Dirk-Kuyt,Success,Not found,"July 22, 1980",Not found,184cm,Netherlands,DF-FW-MF (AM-FB),Right,2000-2001,20 years,Utrecht,2000,4010,https://www.transfermarkt.com/dirk-kuyt/profil/spieler/4010
Sotirios Kyrgiakos,https://fbref.com/en/players/2bc82fdc/Sotirios-Kyrgiakos,Success,Not found,"July 23, 1979",Not found,193cm,Greece,DF (CB),Not found,2001-2002,22 years,Panathinaikos,2001,9706,https://www.transfermarkt.com/sotirios-kyrgiakos/profil/spieler/9706
Louis Laing,https://fbref.com/en/players/827ae666/Louis-Laing,Success,Not found,"March 6, 1993",Not found,188cm,England eng,DF,Right,2010-2011,17 years,Sunderland,2010,110865,https://www.transfermarkt.com/louis-laing/profil/spieler/110865
Frank Lampard,https://fbref.com/en/players/268df6b1/Frank-Lampard,Success,Not found,"June 20, 1978",Not found,184cm,England eng,MF,Both,1995-1996,17 years,West Ham,1995,3163,https://www.transfermarkt.com/frank-lampard/profil/spieler/3163
Sebastian Larsson,https://fbref.com/en/players/b26efc36/Sebastian-Larsson,Success,Not found,"June 6, 1985",Not found,178cm,Sweden,"MF (CM-DM-WM, right)",Right,2005-2006,20 years,Arsenal,2005,31720,https://www.transfermarkt.com/sebastian-larsson/profil/spieler/31720
Jens Lehmann,https://fbref.com/en/players/d1ca1129/Jens-Lehmann,Success,Not found,"November 10, 1969",Not found,190cm,Germany,GK,Not found,1991-1992,21 years,Schalke 04,1991,122,https://www.transfermarkt.com/jens-lehmann/profil/spieler/122
Lucas Leiva,https://fbref.com/en/players/4c78b5ed/Lucas-Leiva,Success,Not found,"January 9, 1987",Not found,179cm,Brazil,MF (CM-DM),Right,2007-2008,20 years,Liverpool,2007,41414,https://www.transfermarkt.com/lucas-leiva/profil/spieler/41414
Aaron Lennon,https://fbref.com/en/players/2ff964a0/Aaron-Lennon,Success,Not found,"April 16, 1987",Not found,165cm,England eng,"FW-MF (AM-WM, right)",Right,2003-2004,16 years,Leeds United,2003,14221,https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221
Joleon Lescott,https://fbref.com/en/players/62393d3b/Joleon-Lescott,Success,Not found,"August 16, 1982",Not found,188cm,England eng,DF (CB),Left,2001-2002,18 years,Wolves,2001,4241,https://www.transfermarkt.com/joleon-lescott/profil/spieler/4241
Eric Lichaj,https://fbref.com/en/players/7636a420/Eric-Lichaj,Success,Not found,"November 17, 1988",Not found,180cm,United States,"DF (FB, right)",Right,2009-2010,20 years,Leyton Orient,2009,61575,https://www.transfermarkt.com/eric-lichaj/profil/spieler/61575
Amine Linganzi,https://fbref.com/en/players/e465378c/Amine-Linganzi,Success,Not found,"November 16, 1989",Not found,186cm,Congo cg  Other: Algeria,MF (DM),Right,2008-2009,18 years,Saint-Étienne,2008,88596,https://www.transfermarkt.com/amine-linganzi/profil/spieler/88596
Adrián López,https://fbref.com/en/players/88a359d4/Adrian-Lopez,Success,Not found,"January 8, 1988",Not found,183cm,Spain,FW,Right,2006-2007,18 years,La Coruña,2006,45383,https://www.transfermarkt.com/adrin-lpez/profil/spieler/45383
Jason Lowe,https://fbref.com/en/players/e000b843/Jason-Lowe,Success,Not found,"September 2, 1991 (Age: 34-084d)","Wigan, England, United Kingdom",183cm,England eng,DF-MF (CM-DM-FB-WM),Left,2010-2011,18 years,Oldham Athletic,2010,117997,https://www.transfermarkt.com/jason-lowe/profil/spieler/117997
Kazenga LuaLua,https://fbref.com/en/players/d732d28a/Kazenga-LuaLua,Success,Not found,"December 10, 1990 (Age: 34-350d)","Kinshasa, Congo DR",180cm,Not found,"FW-MF (WM, left)",Right,2007-2008,16 years,Newcastle Utd,2007,52576,https://www.transfermarkt.com/kazenga-lualua/profil/spieler/52576
David Luiz,https://fbref.com/en/players/c0e27d1a/David-Luiz,Success,Not found,"April 22, 1987 (Age: 38-217d)","Diadema, Brazil",189cm,Brazil,DF-MF (CB-DM),Right,2006-2007,19 years,Benfica,2006,46741,https://www.transfermarkt.com/david-luiz/profil/spieler/46741
Craig Lynch,https://fbref.com/en/players/243a84ca/Craig-Lynch,Success,Not found,"March 25, 1992",Not found,183cm,Not found,FW-MF,Not found,2010-2011,18 years,Sunderland,2010,121334,https://www.transfermarkt.com/craig-lynch/profil/spieler/121334
Peter Løvenkrands,https://fbref.com/en/players/609f6984/Peter-Lovenkrands,Success,Not found,"January 29, 1980",Not found,180cm,Denmark,FW-MF (WM),Not found,2000-2001,20 years,Rangers,2000,9620,https://www.transfermarkt.com/peter-lvenkrands/profil/spieler/9620
Federico Macheda,https://fbref.com/en/players/e14daddc/Federico-Macheda,Success,Not found,"August 22, 1991 (Age: 34-095d)","Rome, Italy",184cm,Italy,FW,Right,2008-2009,16 years,Manchester Utd,2008,61887,https://www.transfermarkt.com/federico-macheda/profil/spieler/61887
Jean Makoun,https://fbref.com/en/players/728c9139/Jean-Makoun,Success,Not found,"May 29, 1983",Not found,173cm,Cameroon,MF (DM),Right,2002-2003,19 years,Lille,2002,5648,https://www.transfermarkt.com/jean-makoun/profil/spieler/5648
Steed Malbranque,https://fbref.com/en/players/e3df61bc/Steed-Malbranque,Success,Not found,"January 6, 1980",Not found,168cm,France fr  Other: Belgium,MF (AM-CM-WM),Right,1997-1998,17 years,Lyon,1997,3569,https://www.transfermarkt.com/steed-malbranque/profil/spieler/3569
Florent Malouda,https://fbref.com/en/players/6fe6d820/Florent-Malouda,Success,Not found,"June 13, 1980",Not found,180cm,France fr  Other: French Guiana,"FW-MF (AM-WM, left)",Left,1997-1998,17 years,Châteauroux,1997,5461,https://www.transfermarkt.com/florent-malouda/profil/spieler/5461
Michael Mancienne,https://fbref.com/en/players/2db3ae0a/Michael-Mancienne,Success,Not found,"January 8, 1988",Not found,184cm,Seychelles sc  Other: England,DF-MF (CB-FB),Right,2006-2007,18 years,QPR,2006,38100,https://www.transfermarkt.com/michael-mancienne/profil/spieler/38100
Obafemi Martins,https://fbref.com/en/players/70849fc2/Obafemi-Martins,Success,Not found,"October 28, 1984",Not found,170cm,Nigeria,FW,Both,2002-2003,17 years,Inter,2002,5794,https://www.transfermarkt.com/obafemi-martins/profil/spieler/5794
Javier Mascherano,https://fbref.com/en/players/5070881b/Javier-Mascherano,Success,Not found,"June 8, 1984",Not found,174cm,Argentina,DF-MF (CB-DM),Right,2006-2007,22 years,West Ham,2006,19981,https://www.transfermarkt.com/javier-mascherano/profil/spieler/19981
James McArthur,https://fbref.com/en/players/cee31595/James-McArthur,Success,Not found,"October 7, 1987",Not found,178cm,Scotland sct,MF (CM-WM),Right,2007-2008,19 years,Hamilton Acad.,2007,41416,https://www.transfermarkt.com/james-mcarthur/profil/spieler/41416
Benni McCarthy,https://fbref.com/en/players/a6f401c6/Benni-McCarthy,Success,Not found,"November 12, 1977",Not found,183cm,South Africa,FW,Not found,1999-2000,21 years,Celta Vigo,1999,3091,https://www.transfermarkt.com/benni-mccarthy/profil/spieler/3091
James McCarthy,https://fbref.com/en/players/64b08de7/James-McCarthy,Success,Not found,"November 12, 1990",Not found,180cm,Republic of Ireland ie  Other: Scotland,MF,Right,2007-2008,16 years,Hamilton Acad.,2007,45333,https://www.transfermarkt.com/james-mccarthy/profil/spieler/45333
Josh McEachran,https://fbref.com/en/players/48565585/Josh-McEachran,Success,Not found,"March 1, 1993 (Age: 32-269d)","Oxford, England, United Kingdom",178cm,England eng,MF (CM-DM),Left,2010-2011,17 years,Chelsea,2010,128905,https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905
James McFadden,https://fbref.com/en/players/2cfdae75/James-McFadden,Success,Not found,"April 14, 1983",Not found,178cm,Scotland sct,FW-MF (AM),Left,2000-2001,17 years,Motherwell,2000,9956,https://www.transfermarkt.com/james-mcfadden/profil/spieler/9956
Ryan McGivern,https://fbref.com/en/players/4c2e7e85/Ryan-McGivern,Success,Not found,"January 8, 1990",Not found,188cm,Northern Ireland nir,DF,Right,2008-2009,18 years,Morecambe,2008,61632,https://www.transfermarkt.com/ryan-mcgivern/profil/spieler/61632
Callum McManaman,https://fbref.com/en/players/1a5dbcc2/Callum-McManaman,Success,Not found,"April 25, 1991 (Age: 34-214d)","Whiston, England, United Kingdom",174cm,England eng,"FW-MF (AM-WM, right)",Right,2008-2009,17 years,Wigan Athletic,2008,61711,https://www.transfermarkt.com/callum-mcmanaman/profil/spieler/61711
Raul Meireles,https://fbref.com/en/players/e767cd27/Raul-Meireles,Success,Not found,"March 17, 1983",Not found,180cm,Portugal,MF,Left,2003-2004,20 years,Boavista,2003,13168,https://www.transfermarkt.com/raul-meireles/profil/spieler/13168
Abdoulaye Méïté,https://fbref.com/en/players/2b548af1/Abdoulaye-Meite,Success,Not found,"October 6, 1980",Not found,185cm,Côte d'Ivoire ci  Other: France,DF (CB),Right,2000-2001,19 years,Marseille,2000,5315,https://www.transfermarkt.com/abdoulaye-mt/profil/spieler/5315
John Mensah,https://fbref.com/en/players/142ed694/John-Mensah,Success,Not found,"November 29, 1982",Not found,177cm,Ghana,DF (CB),Right,2001-2002,18 years,Genoa,2001,5917,https://www.transfermarkt.com/john-mensah/profil/spieler/5917
David Meyler,https://fbref.com/en/players/8ea6417a/David-Meyler,Success,Not found,"May 29, 1989",Not found,189cm,Republic of Ireland,MF,Right,2009-2010,20 years,Sunderland,2009,68183,https://www.transfermarkt.com/david-meyler/profil/spieler/68183
Simon Mignolet,https://fbref.com/en/players/d436eb94/Simon-Mignolet,Success,Not found,"March 6, 1988 (Age: 37-264d)","Sint-Truiden, Belgium",193cm,Belgium,GK,Right,2006-2007,18 years,Sint-Truiden,2006,50219,https://www.transfermarkt.com/simon-mignolet/profil/spieler/50219
Nenad Milijaš,https://fbref.com/en/players/10206347/Nenad-Milijas,Success,Not found,"April 30, 1983",Not found,188cm,Serbia,MF,Not found,2008-2009,25 years,Red Star,2008,36123,https://www.transfermarkt.com/nenad-milija/profil/spieler/36123
Ishmael Miller,https://fbref.com/en/players/58f1973e/Ishmael-Miller,Success,Not found,"March 5, 1987",Not found,191cm,Not found,FW,Left,2005-2006,18 years,Manchester City,2005,38776,https://www.transfermarkt.com/ishmael-miller/profil/spieler/38776
James Milner,https://fbref.com/en/players/2f90f6b8/James-Milner,Success,Not found,"January 4, 1986 (Age: 39-325d)","Leeds, England, United Kingdom",176cm,England eng,DF-MF (CM-FB-WM),Right,2002-2003,16 years,Leeds United,2002,3333,https://www.transfermarkt.com/james-milner/profil/spieler/3333
Luka Modrić,https://fbref.com/en/players/6025fab1/Luka-Modric,Success,Not found,"September 9, 1985 (Age: 40-077d)","Zadar, Croatia",174cm,Croatia,MF (AM-CM-DM-WM),Right,2007-2008,21 years,Dinamo Zagreb,2007,27992,https://www.transfermarkt.com/luka-modri/profil/spieler/27992
Josh Morris,https://fbref.com/en/players/6449a543/Josh-Morris,Success,Not found,"September 30, 1991",Not found,180cm,England eng,DF-FW-MF,Not found,2010-2011,18 years,Blackburn,2010,121391,https://www.transfermarkt.com/josh-morris/profil/spieler/121391
James Morrison,https://fbref.com/en/players/21a66e33/James-Morrison,Success,Not found,"May 25, 1986",Not found,183cm,Scotland sct  Other: England,FW-MF (AM-DM-WM),Right,2003-2004,17 years,Middlesbrough,2003,27614,https://www.transfermarkt.com/james-morrison/profil/spieler/27614
Victor Moses,https://fbref.com/en/players/e726e11e/Victor-Moses,Success,Not found,"December 12, 1990",Not found,177cm,Nigeria ng  Other: England,"DF-FW-MF (AM-DM-WM, right)",Right,2007-2008,16 years,Crystal Palace,2007,59866,https://www.transfermarkt.com/victor-moses/profil/spieler/59866
Steven Mouyokolo,https://fbref.com/en/players/6d60be73/Steven-Mouyokolo,Success,Not found,"January 24, 1987",Not found,190cm,Not found,DF (CB),Not found,2009-2010,22 years,Hull City,2009,58188,https://www.transfermarkt.com/steven-mouyokolo/profil/spieler/58188
Fabrice Muamba,https://fbref.com/en/players/f5a2bebe/Fabrice-Muamba,Success,Not found,"April 6, 1988",Not found,188cm,England eng,MF (CM-DM),Not found,2006-2007,18 years,Birmingham City,2006,35586,https://www.transfermarkt.com/fabrice-muamba/profil/spieler/35586
Geoffrey Mujangi Bia,https://fbref.com/en/players/3a90713b/Geoffrey-Mujangi-Bia,Success,Not found,"August 12, 1989",Not found,175cm,Belgium,MF (AM-WM),Right,2006-2007,16 years,Charleroi,2006,45455,https://www.transfermarkt.com/geoffrey-mujangi-bia/profil/spieler/45455
Youssouf Mulumbu,https://fbref.com/en/players/a275b145/Youssouf-Mulumbu,Success,Not found,"January 25, 1987",Not found,177cm,Congo DR cd  Other: France,MF (CM-DM),Right,2006-2007,19 years,Paris S-G,2006,45272,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272
Sulley Muntari,https://fbref.com/en/players/e185aa52/Sulley-Muntari,Success,Not found,"August 27, 1984",Not found,179cm,Ghana,MF (CB-DM),Left,2002-2003,17 years,Udinese,2002,17129,https://www.transfermarkt.com/sulley-muntari/profil/spieler/17129
Danny Murphy,https://fbref.com/en/players/03a97c40/Danny-Murphy,Success,Not found,"March 18, 1977",Not found,175cm,England eng,MF (CM),Not found,1997-1998,20 years,Liverpool,1997,3221,https://www.transfermarkt.com/danny-murphy/profil/spieler/3221
David Murphy,https://fbref.com/en/players/b05e73d5/David-Murphy,Success,Not found,"March 1, 1984",Not found,185cm,England eng,"DF (FB, left)",Not found,2001-2002,17 years,Middlesbrough,2001,3868,https://www.transfermarkt.com/david-murphy/profil/spieler/3868
Jordon Mutch,https://fbref.com/en/players/37c408cc/Jordon-Mutch,Success,Not found,"December 2, 1991",Not found,175cm,England eng,MF,Right,2009-2010,17 years,Hereford United,2009,57207,https://www.transfermarkt.com/jordon-mutch/profil/spieler/57207
Boaz Myhill,https://fbref.com/en/players/7ca2d989/Boaz-Myhill,Success,Not found,"November 9, 1982",Not found,191cm,"Wales wls  Other: England , United States",GK,Right,2002-2003,19 years,Bradford City,2002,3838,https://www.transfermarkt.com/boaz-myhill/profil/spieler/3838
David N'Gog,https://fbref.com/en/players/beec2968/David-NGog,Success,Not found,"April 1, 1989",Not found,189cm,France,FW,Right,2006-2007,17 years,Paris S-G,2006,41242,https://www.transfermarkt.com/david-ngog/profil/spieler/41242
Charles N'Zogbia,https://fbref.com/en/players/4e31f3e2/Charles-NZogbia,Success,Not found,"May 28, 1986",Not found,170cm,France,"DF-FW-MF (FB-WM, left)",Left,2004-2005,18 years,Newcastle Utd,2004,22165,https://www.transfermarkt.com/charles-nzogbia/profil/spieler/22165
Nani,https://fbref.com/en/players/e278c9be/Jonathan-Nanizayamo,Success,Not found,"February 21, 1992",Not found,194cm,Not found,FW,Right,2014-2015,22 years,Tours,2014,33706,https://www.transfermarkt.com/nani/profil/spieler/33706
Samir Nasri,https://fbref.com/en/players/165bed61/Samir-Nasri,Success,Not found,"June 26, 1987",Not found,175cm,France,FW-MF (AM),Right,2004-2005,17 years,Marseille,2004,18935,https://www.transfermarkt.com/samir-nasri/profil/spieler/18935
Ryan Nelsen,https://fbref.com/en/players/510f2c7c/Ryan-Nelsen,Success,Not found,"October 18, 1977",Not found,185cm,New Zealand,DF (CB),Not found,2001,23 years,D.C. United,Not found,28878,https://www.transfermarkt.com/ryan-nelsen/profil/spieler/28878
Gary Neville,https://fbref.com/en/players/1b013e33/Gary-Neville,Success,Not found,"February 18, 1975",Not found,180cm,England eng,"DF (FB, right)",Not found,1993-1994,18 years,Manchester Utd,1993,3403,https://www.transfermarkt.com/gary-neville/profil/spieler/3403
Phil Neville,https://fbref.com/en/players/3db5e0ec/Phil-Neville,Success,Not found,"January 21, 1977",Not found,180cm,England eng,DF-MF,Right,1994-1995,17 years,Manchester Utd,1994,3404,https://www.transfermarkt.com/phil-neville/profil/spieler/3404
Mark Noble,https://fbref.com/en/players/ff527768/Mark-Noble,Success,Not found,"May 8, 1987",Not found,180cm,England eng,MF (AM-CM-DM),Right,2004-2005,17 years,West Ham,2004,31835,https://www.transfermarkt.com/mark-noble/profil/spieler/31835
Ryan Noble,https://fbref.com/en/players/7f758194/Ryan-Noble,Success,Not found,"June 11, 1991",Not found,182cm,England eng,FW,Not found,2010-2011,19 years,Derby County,2010,121340,https://www.transfermarkt.com/ryan-noble/profil/spieler/121340
Kevin Nolan,https://fbref.com/en/players/3d307105/Kevin-Nolan,Success,Not found,"June 24, 1982",Not found,183cm,England eng,MF (AM),Right,2001-2002,19 years,Bolton,2001,3950,https://www.transfermarkt.com/kevin-nolan/profil/spieler/3950
Frank Nouble,https://fbref.com/en/players/0a8e46da/Frank-Nouble,Success,Not found,"September 24, 1991 (Age: 34-062d)","Lewisham, England, United Kingdom",191cm,England eng,FW-MF (AM),Right,2009-2010,17 years,West Brom,2009,119123,https://www.transfermarkt.com/frank-nouble/profil/spieler/119123
Steven Nzonzi,https://fbref.com/en/players/c7526c18/Steven-Nzonzi,Success,Not found,"December 15, 1988 (Age: 36-345d)","La Garenne-Colombes, France",197cm,France,MF (CM-DM),Right,2009-2010,20 years,Blackburn,2009,73734,https://www.transfermarkt.com/steven-nzonzi/profil/spieler/73734
Andy O'Brien,https://fbref.com/en/players/1719f6b2/Andy-OBrien,Success,Not found,"June 29, 1979",Not found,191cm,Republic of Ireland ie  Other: England,DF (CB),Right,1999-2000,20 years,Bradford City,1999,869490,https://www.transfermarkt.com/andy-obrien/profil/spieler/869490
