player_name,transfermarkt_url
Giles Barnes,https://www.transfermarkt.com/giles-barnes/profil/spieler/37236
Pablo Barrera,https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079
Gareth Barry,https://www.transfermarkt.com/gareth-barry/profil/spieler/3291
Joey Barton,https://www.transfermarkt.com/joey-barton/profil/spieler/3292
Chris Basham,https://www.transfermarkt.com/chris-basham/profil/spieler/52495
Sébastien Bassong,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951
Jose Baxter,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734
James Beattie,https://www.transfermarkt.com/james-beattie/profil/spieler/3112
Jean Beausejour,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871
Bebé,https://www.transfermarkt.com/bebe/profil/spieler/153427
Jermaine Beckford,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874
Roman Bednář,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898
Asmir Begović,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873
Valon Behrami,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905
Hatem Ben Arfa,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900
Tal Ben Haim,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714
Yossi Benayoun,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858
Nicklas Bendtner,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557
Benjani,https://www.transfermarkt.com/benjani/profil/spieler/12063
Darren Bent,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
Marcus Bent,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958
David Bentley,https://www.transfermarkt.com/david-bentley/profil/spieler/3205
Dimitar Berbatov,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65
Christophe Berra,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602
Ryan Bertrand,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611
Leon Best,https://www.transfermarkt.com/leon-best/profil/spieler/28244
Habib Beye,https://www.transfermarkt.com/habib-beye/profil/spieler/3923
Diniyar Bilyaletdinov,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690
