player_name,player_url
David Carney,https://fbref.com/en/players/f3041886/David-Carney
Stephen Carr,https://fbref.com/en/players/eb0ae1e9/Stephen-Carr
Jamie Carragher,https://fbref.com/en/players/d0ebce19/Jamie-Carragher
Michael Carrick,https://fbref.com/en/players/ab7263c1/Michael-Carrick
Andy Carroll,https://fbref.com/en/players/b581987a/Andy-Carroll
Scott Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson
Craig Cathcart,https://fbref.com/en/players/89e4b358/Craig-Cathcart
Lee Cattermole,https://fbref.com/en/players/538e77d5/Lee-Cattermole
Marek Čech,https://fbref.com/en/players/4261b6d5/Marek-Cech
Petr Čech,https://fbref.com/en/players/71672fa0/Petr-Cech
Marouane Chamakh,https://fbref.com/en/players/790ca5f3/Marouane-Chamakh
Pascal Chimbonda,https://fbref.com/en/players/5cbb464e/Pascal-Chimbonda
Lee Chung-yong,https://fbref.com/en/players/49b05a83/Lee-Chung-yong
Ciaran Clark,https://fbref.com/en/players/2b91cf8e/Ciaran-Clark
Tom Cleverley,https://fbref.com/en/players/6cdd8245/Tom-Cleverley
Gaël Clichy,https://fbref.com/en/players/450ad405/Gael-Clichy
Tamir Cohen,https://fbref.com/en/players/d1b983de/Tamir-Cohen
Jack Colback,https://fbref.com/en/players/963a9201/Jack-Colback
Ashley Cole,https://fbref.com/en/players/be091289/Ashley-Cole
Carlton Cole,https://fbref.com/en/players/51b2effb/Carlton-Cole
Joe Cole,https://fbref.com/en/players/2c2f117b/Joe-Cole
Séamus Coleman,https://fbref.com/en/players/0420d84f/Seamus-Coleman
Danny Collins,https://fbref.com/en/players/b89cd819/Danny-Collins
James Collins,https://fbref.com/en/players/c61f1719/James-Collins
Jack Collison,https://fbref.com/en/players/0566f8a9/Jack-Collison
Fabricio Coloccini,https://fbref.com/en/players/78b3399f/Fabricio-Coloccini
Jordan Cook,https://fbref.com/en/players/28a7e81c/Jordan-Cook
Vedran Ćorluka,https://fbref.com/en/players/6ceef869/Vedran-Corluka
Manuel da Costa,https://fbref.com/en/players/50e14b3c/Manuel-da-Costa
Simon Cox,https://fbref.com/en/players/6124c209/Simon-Cox
Jody Craddock,https://fbref.com/en/players/573e5dd2/Jody-Craddock
Stephen Crainey,https://fbref.com/en/players/2f6dd6a3/Stephen-Crainey
Peter Crouch,https://fbref.com/en/players/73d9bdc7/Peter-Crouch
Carlo Cudicini,https://fbref.com/en/players/df77463a/Carlo-Cudicini
Carlos Cuéllar,https://fbref.com/en/players/1222ab35/Carlos-Cuellar
Scott Dann,https://fbref.com/en/players/52105203/Scott-Dann
Curtis Davies,https://fbref.com/en/players/607fb965/Curtis-Davies
Kevin Davies,https://fbref.com/en/players/2f726a89/Kevin-Davies
Mark Davies,https://fbref.com/en/players/3de91e73/Mark-Davies
Simon Davies,https://fbref.com/en/players/522b6d6c/Simon-Davies
Michael Dawson,https://fbref.com/en/players/4771114f/Michael-Dawson
Jermain Defoe,https://fbref.com/en/players/f1e8372d/Jermain-Defoe
Rory Delap,https://fbref.com/en/players/9b0dac73/Rory-Delap
Nathan Delfouneso,https://fbref.com/en/players/49ae4072/Nathan-Delfouneso
Fabian Delph,https://fbref.com/en/players/111c3236/Fabian-Delph
Mousa Dembélé,https://fbref.com/en/players/f7ee69fb/Mousa-Dembele
Ishmel Demontagnac,https://fbref.com/en/players/81c7d697/Ishmel-Demontagnac
Clint Dempsey,https://fbref.com/en/players/523d9de6/Clint-Dempsey
Denílson,https://fbref.com/en/players/2f07dee0/Denilson
Edwin van der Sar,https://fbref.com/en/players/98ee8a67/Edwin-van-der-Sar
Rafael van der Vaart,https://fbref.com/en/players/41473b67/Rafael-van-der-Vaart
Matt Derbyshire,https://fbref.com/en/players/193ed0c0/Matt-Derbyshire
Franco Di Santo,https://fbref.com/en/players/549c6ba7/Franco-Di-Santo
Abou Diaby,https://fbref.com/en/players/8c8b5071/Abou-Diaby
Alessandro Diamanti,https://fbref.com/en/players/cb5af1af/Alessandro-Diamanti
Mohamed Diamé,https://fbref.com/en/players/b7d082af/Mohamed-Diame
Salif Diao,https://fbref.com/en/players/acc326da/Salif-Diao
Kagisho Dikgacoi,https://fbref.com/en/players/701d7cac/Kagisho-Dikgacoi
Sylvain Distin,https://fbref.com/en/players/002d06bb/Sylvain-Distin
Johan Djourou,https://fbref.com/en/players/b8673e18/Johan-Djourou
Graham Dorrans,https://fbref.com/en/players/eeb032db/Graham-Dorrans
Giovani dos Santos,https://fbref.com/en/players/7dba6233/Giovani-dos-Santos
Stewart Downing,https://fbref.com/en/players/b13c4620/Stewart-Downing
Colin Doyle,https://fbref.com/en/players/93b41c46/Colin-Doyle
Kevin Doyle,https://fbref.com/en/players/c4689de2/Kevin-Doyle
Didier Drogba,https://fbref.com/en/players/945dea33/Didier-Drogba
Damien Duff,https://fbref.com/en/players/057a6936/Damien-Duff
David Dunn,https://fbref.com/en/players/7ecdf483/David-Dunn
Richard Dunne,https://fbref.com/en/players/6cbc015d/Richard-Dunne
Kieron Dyer,https://fbref.com/en/players/90b5a2f2/Kieron-Dyer
Edin Džeko,https://fbref.com/en/players/3bb7f478/Edin-Dzeko
Neal Eardley,https://fbref.com/en/players/2bb4411f/Neal-Eardley
Sylvan Ebanks-Blake,https://fbref.com/en/players/9dfe6a3f/Sylvan-Ebanks-Blake
Emmanuel Eboué,https://fbref.com/en/players/1bfae04c/Emmanuel-Eboue
Nathan Eccleston,https://fbref.com/en/players/5d83b302/Nathan-Eccleston
David Edwards,https://fbref.com/en/players/9961eefb/David-Edwards
Rob Edwards,https://fbref.com/en/players/270efb21/Rob-Edwards
Johan Elmander,https://fbref.com/en/players/3438cef9/Johan-Elmander
Ahmed Elmohamady,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady
George Elokobi,https://fbref.com/en/players/36aad3ed/George-Elokobi
Brett Emerton,https://fbref.com/en/players/a1866af0/Brett-Emerton
Jay Emmanuel-Thomas,https://fbref.com/en/players/b5f1c3c8/Jay-Emmanuel-Thomas
José Enrique,https://fbref.com/en/players/d56364d5/Jose-Enrique
Michael Essien,https://fbref.com/en/players/d6577282/Michael-Essien
Matthew Etherington,https://fbref.com/en/players/ef616df9/Matthew-Etherington
Dickson Etuhu,https://fbref.com/en/players/0f04d7b6/Dickson-Etuhu
Jason Euell,https://fbref.com/en/players/d97fe8bd/Jason-Euell
Jonny Evans,https://fbref.com/en/players/f8fcd2a5/Jonny-Evans
Ian Evatt,https://fbref.com/en/players/749bcfb8/Ian-Evatt
Patrice Evra,https://fbref.com/en/players/51a3caf1/Patrice-Evra
Łukasz Fabiański,https://fbref.com/en/players/9328b835/Lukasz-Fabianski
Fábio,https://fbref.com/en/players/bc7b4580/Fabio
Cesc Fàbregas,https://fbref.com/en/players/33508c78/Cesc-Fabregas
Keith Fahey,https://fbref.com/en/players/e4def09b/Keith-Fahey
Julien Faubert,https://fbref.com/en/players/525642e0/Julien-Faubert
Abdoulaye Faye,https://fbref.com/en/players/99df1bff/Abdoulaye-Faye
Marouane Fellaini,https://fbref.com/en/players/87575fd9/Marouane-Fellaini
Anton Ferdinand,https://fbref.com/en/players/d1891093/Anton-Ferdinand
Rio Ferdinand,https://fbref.com/en/players/52465662/Rio-Ferdinand
Barry Ferguson,https://fbref.com/en/players/43420ade/Barry-Ferguson
Shane Ferguson,https://fbref.com/en/players/a0f6ddc3/Shane-Ferguson
Paulo Ferreira,https://fbref.com/en/players/4ca16d65/Paulo-Ferreira
Maynor Figueroa,https://fbref.com/en/players/d8524b21/Maynor-Figueroa
Jon Flanagan,https://fbref.com/en/players/f2428fd4/Jon-Flanagan
Darren Fletcher,https://fbref.com/en/players/184e4970/Darren-Fletcher
Steven Fletcher,https://fbref.com/en/players/2c9c3502/Steven-Fletcher
Kevin Foley,https://fbref.com/en/players/11b3d067/Kevin-Foley
Adam Forshaw,https://fbref.com/en/players/9f1938ab/Adam-Forshaw
Marc-Antoine Fortuné,https://fbref.com/en/players/402077cd/Marc-Antoine-Fortune
Ben Foster,https://fbref.com/en/players/d0b3ceb9/Ben-Foster
Brad Friedel,https://fbref.com/en/players/b8c0a975/Brad-Friedel
Ricardo Fuller,https://fbref.com/en/players/c764fa54/Ricardo-Fuller
Danny Gabbidon,https://fbref.com/en/players/90148433/Danny-Gabbidon
William Gallas,https://fbref.com/en/players/286fb7e0/William-Gallas
Morten Gamst Pedersen,https://fbref.com/en/players/c75d2fba/Morten-Gamst-Pedersen
Craig Gardner,https://fbref.com/en/players/1117b9ff/Craig-Gardner
Ricardo Gardner,https://fbref.com/en/players/b6a1eaa0/Ricardo-Gardner
Zoltán Gera,https://fbref.com/en/players/08bd23a0/Zoltan-Gera
Steven Gerrard,https://fbref.com/en/players/caeb5442/Steven-Gerrard
Kieran Gibbs,https://fbref.com/en/players/46ee5234/Kieran-Gibbs
Darron Gibson,https://fbref.com/en/players/f0e72e1c/Darron-Gibson
Ryan Giggs,https://fbref.com/en/players/561de8d0/Ryan-Giggs
Matt Gilks,https://fbref.com/en/players/49b8c292/Matt-Gilks
Gaël Givet,https://fbref.com/en/players/6d28f149/Gael-Givet
Steve Gohouri,https://fbref.com/en/players/0d058ab8/Steve-Gohouri
Heurelho Gomes,https://fbref.com/en/players/d596e193/Heurelho-Gomes
Jordi Gómez,https://fbref.com/en/players/d92b0327/Jordi-Gomez
Craig Gordon,https://fbref.com/en/players/b15780e3/Craig-Gordon
Dan Gosling,https://fbref.com/en/players/7fec31a0/Dan-Gosling
Hérold Goulon,https://fbref.com/en/players/e818c267/Herold-Goulon
Elliot Grandin,https://fbref.com/en/players/ddbf3019/Elliot-Grandin
Robert Green,https://fbref.com/en/players/a350680b/Robert-Green
Jonathan Greening,https://fbref.com/en/players/892c1d7a/Jonathan-Greening
Vince Grella,https://fbref.com/en/players/db61f587/Vince-Grella
Adlène Guedioura,https://fbref.com/en/players/f75825e3/Adlene-Guedioura
Magaye Gueye,https://fbref.com/en/players/82b85f5a/Magaye-Gueye
Danny Guthrie,https://fbref.com/en/players/fff10a46/Danny-Guthrie
Jonás Gutiérrez,https://fbref.com/en/players/816fd91c/Jonas-Gutierrez
Eiður Guðjohnsen,https://fbref.com/en/players/32fc9ff2/Eidur-Gudjohnsen
Asamoah Gyan,https://fbref.com/en/players/7f7bbbc2/Asamoah-Gyan
Ali Al-Habsi,https://fbref.com/en/players/032f766b/Ali-Al-Habsi
El Hadji Diouf,https://fbref.com/en/players/1a4542c8/El-Hadji-Diouf
Marcus Hahnemann,https://fbref.com/en/players/c6be3102/Marcus-Hahnemann
Greg Halford,https://fbref.com/en/players/06d45e81/Greg-Halford
Rafik Halliche,https://fbref.com/en/players/ecb2f4e3/Rafik-Halliche
Mark Halstead,https://fbref.com/en/players/ff36c850/Mark-Halstead
Adam Hammill,https://fbref.com/en/players/ffd4896e/Adam-Hammill
Brede Hangeland,https://fbref.com/en/players/7cbeb80c/Brede-Hangeland
Grant Hanley,https://fbref.com/en/players/e9254eec/Grant-Hanley
Marlon Harewood,https://fbref.com/en/players/34dab521/Marlon-Harewood
Owen Hargreaves,https://fbref.com/en/players/1b2b5b86/Owen-Hargreaves
Steve Harper,https://fbref.com/en/players/a98f1d52/Steve-Harper
Joe Hart,https://fbref.com/en/players/cb4f24c6/Joe-Hart
John Heitinga,https://fbref.com/en/players/2661360d/John-Heitinga
Bjørn Helge Riise,https://fbref.com/en/players/831674a5/Bjorn-Helge-Riise
Jordan Henderson,https://fbref.com/en/players/935e6b8f/Jordan-Henderson
Wayne Hennessey,https://fbref.com/en/players/76eca7e2/Wayne-Hennessey
Karl Henry,https://fbref.com/en/players/5eac3bb7/Karl-Henry
Chris Herd,https://fbref.com/en/players/3d5db1eb/Chris-Herd
Javier Hernández,https://fbref.com/en/players/189cee7b/Javier-Hernandez
Emile Heskey,https://fbref.com/en/players/30184789/Emile-Heskey
Tony Hibbert,https://fbref.com/en/players/c878c4bf/Tony-Hibbert
Danny Higginbotham,https://fbref.com/en/players/688135a1/Danny-Higginbotham
Zavon Hines,https://fbref.com/en/players/29b8c15b/Zavon-Hines
Thomas Hitzlsperger,https://fbref.com/en/players/2757060a/Thomas-Hitzlsperger
Alexander Hleb,https://fbref.com/en/players/35cf43aa/Alexander-Hleb
Jonathan Hogg,https://fbref.com/en/players/9306d5ea/Jonathan-Hogg
Junior Hoilett,https://fbref.com/en/players/33af5b9e/Junior-Hoilett
Stuart Holden,https://fbref.com/en/players/b8e24504/Stuart-Holden
Tim Howard,https://fbref.com/en/players/c444465e/Tim-Howard
Tom Huddlestone,https://fbref.com/en/players/464cbbc9/Tom-Huddlestone
Aaron Hughes,https://fbref.com/en/players/dccccccc/Aaron-Hughes
Stephen Hunt,https://fbref.com/en/players/51ac7604/Stephen-Hunt
James Hurst,https://fbref.com/en/players/a59de39b/James-Hurst
Robert Huth,https://fbref.com/en/players/0bd1ea64/Robert-Huth
Alan Hutton,https://fbref.com/en/players/688ae34c/Alan-Hutton
Pablo Ibáñez,https://fbref.com/en/players/23ca89f2/Pablo-Ibanez
Hérita Ilunga,https://fbref.com/en/players/1550f0e0/Herita-Ilunga
Stephen Ireland,https://fbref.com/en/players/bcf30f17/Stephen-Ireland
Branislav Ivanović,https://fbref.com/en/players/85f8571a/Branislav-Ivanovic
Jussi Jääskeläinen,https://fbref.com/en/players/340d2a24/Jussi-Jaaskelainen
Lars Jacobsen,https://fbref.com/en/players/bef72e41/Lars-Jacobsen
Phil Jagielka,https://fbref.com/en/players/3233eefd/Phil-Jagielka
Gonzalo Jara,https://fbref.com/en/players/9b1b4782/Gonzalo-Jara
Matthew Jarvis,https://fbref.com/en/players/02d6d2b4/Matthew-Jarvis
Jermaine Jenas,https://fbref.com/en/players/3149f712/Jermaine-Jenas
Cameron Jerome,https://fbref.com/en/players/680fb5ee/Cameron-Jerome
Park Ji-sung,https://fbref.com/en/players/3de4cb30/Park-Ji-sung
Martin Jiránek,https://fbref.com/en/players/eb005dc3/Martin-Jiranek
Jô,https://fbref.com/en/players/e47d11f8/Jo
Adam Johnson,https://fbref.com/en/players/1ba61951/Adam-Johnson
Andrew Johnson,https://fbref.com/en/players/facd1b3e/Andrew-Johnson
Eddie Johnson,https://fbref.com/en/players/3552c7f5/Eddie-Johnson
Glen Johnson,https://fbref.com/en/players/8cceca90/Glen-Johnson
Roger Johnson,https://fbref.com/en/players/f6e08a82/Roger-Johnson
David Jones,https://fbref.com/en/players/2f0edbe7/David-Jones
Jermaine Jones,https://fbref.com/en/players/0c577541/Jermaine-Jones
