player_name,transfermarkt_id,transfermarkt_url,player_url
Marcos Alonso,112515,https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,https://fbref.com/en/players/f4290206/Marcos-Alonso
Tal Ben Haim,20714,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714,https://fbref.com/en/players/2277a390/Tal-Ben-Haim
Fraizer Campbell,42411,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411,https://fbref.com/en/players/81d63375/Fraizer-Campbell
Fraizer Campbell,42411,https://www.transfermarkt.com/lee-camp/profil/spieler/42411,https://fbref.com/en/players/81d63375/Fraizer-Campbell
Marek Čech,21354,https://www.transfermarkt.com/marek-ech/profil/spieler/21354,https://fbref.com/en/players/4261b6d5/Marek-Cech
James Collins,12691,https://www.transfermarkt.com/james-collins/profil/spieler/12691,https://fbref.com/en/players/c61f1719/James-Collins
Denílson,42352,https://www.transfermarkt.com/denilson/profil/spieler/42352,https://fbref.com/en/players/2f07dee0/Denilson
Rob Edwards,4068,https://www.transfermarkt.com/rob-edwards/profil/spieler/4068,https://fbref.com/en/players/270efb21/Rob-Edwards
Paulo Ferreira,9832,https://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832,https://fbref.com/en/players/4ca16d65/Paulo-Ferreira
Javier Hernández,50935,https://www.transfermarkt.com/javier-hernndez/profil/spieler/50935,https://fbref.com/en/players/189cee7b/Javier-Hernandez
Jô,34156,https://www.transfermarkt.com/j/profil/spieler/34156,https://fbref.com/en/players/e47d11f8/Jo
Eddie Johnson,38773,https://www.transfermarkt.com/eddie-johnson/profil/spieler/38773,https://fbref.com/en/players/3552c7f5/Eddie-Johnson
Adrián López,44966,https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966,https://fbref.com/en/players/70392341/Adrian-Lopez
Nani,33706,https://www.transfermarkt.com/nani/profil/spieler/33706,https://fbref.com/en/players/15e9c7e6/Nani
Ramires,54170,https://www.transfermarkt.com/ramires/profil/spieler/54170,https://fbref.com/en/players/4cce2c67/Ramires
Aaron Ramsey,50057,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,https://fbref.com/en/players/ef619b0b/Aaron-Ramsey
Abdul Razak,177321,https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,https://fbref.com/en/players/5e61927c/Abdul-Razak
Cristian Riveros,37713,https://www.transfermarkt.com/cristian-riveros/profil/spieler/37713,https://fbref.com/en/players/49ad3514/Cristian-Riveros
Jack Robinson,128909,https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,https://fbref.com/en/players/7399c7a8/Jack-Robinson
Paul Robinson,14063,https://www.transfermarkt.com/paul-robinson/profil/spieler/14063,https://fbref.com/en/players/80cdbbe1/Paul-Robinson
Paul Robinson,3630,https://www.transfermarkt.com/paul-robinson/profil/spieler/3630,https://fbref.com/en/players/3515ba56/Paul-Robinson
Danny Rose,50174,https://www.transfermarkt.com/danny-rose/profil/spieler/50174,https://fbref.com/en/players/89d10e53/Danny-Rose
Ryan Shotton,92109,https://www.transfermarkt.com/ryan-shotton/profil/spieler/92109,https://fbref.com/en/players/09f82c6e/Ryan-Shotton
David Silva,35518,https://www.transfermarkt.com/david-silva/profil/spieler/35518,https://fbref.com/en/players/e2716bd0/David-Silva
Luis Suárez,44352,https://www.transfermarkt.com/luis-surez/profil/spieler/44352,https://fbref.com/en/players/a6154613/Luis-Suarez
Luis Suárez,44352,https://www.transfermarkt.com/luis-alberto/profil/spieler/44352,https://fbref.com/en/players/a6154613/Luis-Suarez
Fernando Torres,7767,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767,https://fbref.com/en/players/bdf7b97d/Fernando-Torres
Fernando Torres,7767,https://www.transfermarkt.com/fernando/profil/spieler/7767,https://fbref.com/en/players/bdf7b97d/Fernando-Torres
Antonio Valencia,33544,https://www.transfermarkt.com/antonio-valencia/profil/spieler/33544,https://fbref.com/en/players/08aa17d0/Antonio-Valencia
Carlos Vela,35773,https://www.transfermarkt.com/carlos-vela/profil/spieler/35773,https://fbref.com/en/players/e0cd04e0/Carlos-Vela
Patrick Vieira,3183,https://www.transfermarkt.com/patrick-vieira/profil/spieler/3183,https://fbref.com/en/players/f90f1086/Patrick-Vieira
Kyle Walker,95424,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Dean Whitehead,13683,https://www.transfermarkt.com/dean-whitehead/profil/spieler/13683,https://fbref.com/en/players/a32204c9/Dean-Whitehead
Shane Duffy,119269,https://www.transfermarkt.com/shane-duffy/profil/spieler/119269,https://fbref.com/en/players/7314bba4/Shane-Duffyhttps://fbref.com/en/players/fa6292e2/Bryan-Ruiz
Shane Duffy,119269,https://www.transfermarkt.com/shane-duffy/profil/spieler/119269,https://fbref.com/en/players/7314bba4/Shane-Duffy
Shane Duffy,119269,https://www.transfermarkt.com/michael-duff/profil/spieler/119269,https://fbref.com/en/players/7314bba4/Shane-Duffy
Emmanuel Frimpong,93056,https://www.transfermarkt.com/emmanuel-frimpong/profil/spieler/93056,https://fbref.com/en/players/524617b5/Emmanuel-Frimpong
Àngel Rangel,66550,https://www.transfermarkt.com/ngel-rangel/profil/spieler/66550,https://fbref.com/en/players/93ee387c/Angel-Rangel
Joe Riley,125117,https://www.transfermarkt.com/joe-riley/profil/spieler/125117,https://fbref.com/en/players/63dd1061/Joe-Riley
Bryan Ruiz,39642,https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642,https://fbref.com/en/players/fa6292e2/Bryan-Ruiz
André Santos,54275,https://www.transfermarkt.com/andr-santos/profil/spieler/54275,https://fbref.com/en/players/2ee47557/Andre-Santos
Stefan Savić,107010,https://www.transfermarkt.com/stefan-savi/profil/spieler/107010,https://fbref.com/en/players/f6ac68c1/Stefan-Savic
Zak Whitbread,22230,https://www.transfermarkt.com/zak-whitbread/profil/spieler/22230,https://fbref.com/en/players/846e7a85/Zak-Whitbread
Nico Yennaris,122721,https://www.transfermarkt.com/nico-yennaris/profil/spieler/122721,https://fbref.com/en/players/8cc4b934/Nico-Yennaris
Lee Camp,13443,https://www.transfermarkt.com/lee-camp/profil/spieler/13443,https://fbref.com/en/players/df4b8b69/Lee-Camp
Júlio César,22412,https://www.transfermarkt.com/jlio-csar/profil/spieler/22412,https://fbref.com/en/players/f619413f/Julio-Cesar
Ben Davies,192765,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,https://fbref.com/en/players/44781702/Ben-Davies
Rob Elliot,39037,https://www.transfermarkt.com/rob-elliot/profil/spieler/39037,https://fbref.com/en/players/b1b25949/Rob-Elliot
Javi García,36350,https://www.transfermarkt.com/javi-garca/profil/spieler/36350,https://fbref.com/en/players/167c1bb0/Javi-Garcia
Chris Gunter,43853,https://www.transfermarkt.com/chris-gunter/profil/spieler/43853,https://fbref.com/en/players/303a53e1/Chris-Gunter
Oscar,85314,https://www.transfermarkt.com/oscar/profil/spieler/85314,https://fbref.com/en/players/57fe98dd/Oscar
Alex Smith,116655,https://www.transfermarkt.com/alex-smith/profil/spieler/116655,https://fbref.com/en/players/1c8af6eb/Alex-Smith
Suso,111961,https://www.transfermarkt.com/suso/profil/spieler/111961,https://fbref.com/en/players/4e219ad2/Suso
Adrián,71271,https://www.transfermarkt.com/adrian/profil/spieler/71271,https://fbref.com/en/players/f76e6b4e/Adrian
El-Hadji Ba,169090,https://www.transfermarkt.com/el-hadji-ba/profil/spieler/169090,https://fbref.com/en/players/db89826f/El-Hadji-Ba
José Cañas,69609,https://www.transfermarkt.com/jose-alberto-canas/profil/spieler/69609,https://fbref.com/en/players/ab77f2d9/Jose-Canas
Fernandinho,26267,https://www.transfermarkt.com/fernandinho/profil/spieler/26267,https://fbref.com/en/players/101da2b5/Fernandinho
Dwight Gayle,196522,https://www.transfermarkt.com/dwight-gayle/profil/spieler/196522,https://fbref.com/en/players/e58a03c6/Dwight-Gayle
Tom James,325105,https://www.transfermarkt.com/tom-james/profil/spieler/325105,https://fbref.com/en/players/4007ea81/Tom-James
William Kvist,36787,https://www.transfermarkt.com/william-kvist/profil/spieler/36787,https://fbref.com/en/players/1c639185/William-Kvist
Paulinho,57229,https://www.transfermarkt.com/paulinho/profil/spieler/57229,https://fbref.com/en/players/bb7337cc/Paulinho
Callum Robinson,183299,https://www.transfermarkt.com/jack-robinson/profil/spieler/183299,https://fbref.com/en/players/e75750a3/Callum-Robinson
Callum Robinson,183299,https://www.transfermarkt.com/callum-robinson/profil/spieler/183299,https://fbref.com/en/players/e75750a3/Callum-Robinson
Brad Smith,175745,https://www.transfermarkt.com/brad-smith/profil/spieler/175745,https://fbref.com/en/players/c76c717c/Brad-Smith
Ben Turner,39518,https://www.transfermarkt.com/ben-turner/profil/spieler/39518,https://fbref.com/en/players/b034ebe2/Ben-Turner
Emre Can,119296,https://www.transfermarkt.com/emre-can/profil/spieler/119296,https://fbref.com/en/players/a65ce836/Emre-Can
Michael Duff,36894,https://www.transfermarkt.com/michael-duff/profil/spieler/36894,https://fbref.com/en/players/eabdc970/Michael-Duff
Fernando,51174,https://www.transfermarkt.com/fernando/profil/spieler/51174,https://fbref.com/en/players/41f32541/Fernando
Rushian Hepburn-Murphy,314237,https://www.transfermarkt.com/rushian-hepburn-murphy/profil/spieler/314237,https://fbref.com/en/players/1e2012a6/Rushian-Hepburn-Murphy
Daniel Lafferty,85928,https://www.transfermarkt.com/daniel-lafferty/profil/spieler/85928,https://fbref.com/en/players/cfc41f7a/Daniel-Lafferty
Kevin Long,111114,https://www.transfermarkt.com/kevin-long/profil/spieler/111114,https://fbref.com/en/players/5a4280b1/Kevin-Long
Alberto Moreno,207917,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917,https://fbref.com/en/players/11b9265b/Alberto-Moreno
Carlos Sánchez,51226,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,https://fbref.com/en/players/50b51fac/Carlos-Sanchez
Eduardo Vargas,89718,https://www.transfermarkt.com/eduardo-vargas/profil/spieler/89718,https://fbref.com/en/players/bd603c00/Eduardo-Vargas
Éder,84481,https://www.transfermarkt.com/eder/profil/spieler/84481,https://fbref.com/en/players/f0fc9d0e/Eder
Manu García,277118,https://www.transfermarkt.com/manu-garca/profil/spieler/277118,https://fbref.com/en/players/6ed1a2a2/Manu-Garcia
Max Gradel,28140,https://www.transfermarkt.com/max-gradel/profil/spieler/28140,https://fbref.com/en/players/c5a500ca/Max-Gradel
Joselu,81999,https://www.transfermarkt.com/joselu/profil/spieler/81999,https://fbref.com/en/players/6265208f/Joselu
Juanmi,126737,https://www.transfermarkt.com/juanmi/profil/spieler/126737,https://fbref.com/en/players/84399660/Juanmi
Kenedy,281404,https://www.transfermarkt.com/kenedy/profil/spieler/281404,https://fbref.com/en/players/5eebbfdf/Kenedy
Joshua King,91059,https://www.transfermarkt.com/joshua-king/profil/spieler/91059,https://fbref.com/en/players/43458538/Joshua-King
Shaun MacDonald,10375,https://www.transfermarkt.com/shaun-macdonald/profil/spieler/10375,https://fbref.com/en/players/fdcff59c/Shaun-MacDonald
Memphis,167850,https://www.transfermarkt.com/memphis/profil/spieler/167850,https://fbref.com/en/players/8f696594/Memphis
Pedro,65278,https://www.transfermarkt.com/pedro/profil/spieler/65278,https://fbref.com/en/players/3ca7254a/Pedro
Jordan Pickford,130164,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164,https://fbref.com/en/players/4806ec67/Jordan-Pickford
Tyler Roberts,296986,https://www.transfermarkt.com/tyler-roberts/profil/spieler/296986,https://fbref.com/en/players/6c17e046/Tyler-Roberts
Sergio Romero,30690,https://www.transfermarkt.com/sergio-romero/profil/spieler/30690,https://fbref.com/en/players/1e26e376/Sergio-Romero
Danny Ward,203026,https://www.transfermarkt.com/danny-ward/profil/spieler/203026,https://fbref.com/en/players/d3ce0e89/Danny-Ward
