transfermarkt_id,player_name,player_url,status,name_home_country_fbref,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_url
13507,Leighton Baines,https://fbref.com/en/players/b18095b6/Leighton-Baines,Success,Not found,11-Dec-84,Not found,170,England eng,"DF (FB, left)",Left,2002-2003,17 years,Wigan Athletic,2002,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507
4115,Chris Baird,https://fbref.com/en/players/55fd8c81/Chris-Baird,Success,Not found,25-Feb-82,Not found,179,Northern Ireland nir,DF-MF (CB-FB),Right,2002-2003,20 years,Southampton,2002,https://www.transfermarkt.com/chris-baird/profil/spieler/4115
62638,Nathan Baker,https://fbref.com/en/players/b18af9e3/Nathan-Baker,Success,Not found,23-Apr-91,Not found,191,England eng,"DF (CB-FB, left)",Left,2009-2010,18 years,Lincoln City,2009,https://www.transfermarkt.com/nathan-baker/profil/spieler/62638
39381,Gareth Bale,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,Success,Not found,16-Jul-89,Not found,185,Wales wls,FW-MF (AM-WM),Left,2005-2006,16 years,Southampton,2005,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381
45146,Mario Balotelli,https://fbref.com/en/players/8ff07990/Mario-Balotelli,Success,Not found,12-Aug-90,Not found,189,Italy,FW,Right,2007-2008,16 years,Inter,2007,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146
61561,Barry Bannan,https://fbref.com/en/players/9469fb13/Barry-Bannan,Success,Not found,"December 1, 1989 (Age: 35-359d)","Airdrie, Scotland, United Kingdom",169,Scotland sct,"MF (AM-CM-DM, left)",Left,2008-2009,18 years,Derby County,2008,https://www.transfermarkt.com/barry-bannan/profil/spieler/61561
16660,Alex Baptiste,https://fbref.com/en/players/7b72f0b6/Alex-Baptiste,Success,Not found,31-Jan-86,Not found,180,Not found,"DF (CB-FB, right)",Right,2002-2003,16 years,Mansfield Town,2002,https://www.transfermarkt.com/alex-baptiste/profil/spieler/16660
15773,Phil Bardsley,https://fbref.com/en/players/1ae30132/Phil-Bardsley,Success,Not found,28-Jun-85,Not found,180,Scotland sct  Other: England,"DF (FB, right)",Right,2003-2004,18 years,Antwerp,2003,https://www.transfermarkt.com/phil-bardsley/profil/spieler/15773
37236,Giles Barnes,https://fbref.com/en/players/e663724a/Giles-Barnes,Success,Not found,5-Aug-88,Not found,188,Jamaica jm  Other: England,FW-MF (AM),Both,2005-2006,16 years,Derby County,2005,https://www.transfermarkt.com/giles-barnes/profil/spieler/37236
51079,Pablo Barrera,https://fbref.com/en/players/ff70b131/Pablo-Barrera,Success,Not found,"June 21, 1987 (Age: 38-157d)","Tlalnepantla de Baz, Estado de México, Mexico",175,Mexico,"FW-MF (AM-WM, right)",Right,2005-2006,18 years,UNAM,2005,https://www.transfermarkt.com/pablo-barrera/profil/spieler/51079
3291,Gareth Barry,https://fbref.com/en/players/7dbbe367/Gareth-Barry,Success,Not found,23-Feb-81,Not found,183,England eng,MF (CM-DM),Left,1997-1998,16 years,Aston Villa,1997,https://www.transfermarkt.com/gareth-barry/profil/spieler/3291
3292,Joey Barton,https://fbref.com/en/players/93bfa675/Joey-Barton,Success,Not found,2-Sep-82,Not found,180,England eng,MF (CM),Right,2002-2003,19 years,Manchester City,2002,https://www.transfermarkt.com/joey-barton/profil/spieler/3292
52495,Chris Basham,https://fbref.com/en/players/1aa84968/Chris-Basham,Success,Not found,20-Jul-88,Not found,185,Not found,"DF-MF (CB, right)",Right,2006-2007,18 years,Stafford Rangers,2006,https://www.transfermarkt.com/chris-basham/profil/spieler/52495
33951,Sébastien Bassong,https://fbref.com/en/players/0d521662/Sebastien-Bassong,Success,Not found,9-Jul-86,Not found,188,Cameroon cm  Other: France,DF,Left,2005-2006,19 years,Metz,2005,https://www.transfermarkt.com/sbastien-bassong/profil/spieler/33951
82734,Jose Baxter,https://fbref.com/en/players/185990eb/Jose-Baxter,Success,Not found,7-Feb-92,Not found,180,England eng,FW-MF (AM),Right,2008-2009,16 years,Everton,2008,https://www.transfermarkt.com/jose-baxter/profil/spieler/82734
3112,James Beattie,https://fbref.com/en/players/7c881089/James-Beattie,Success,Not found,27-Feb-78,Not found,185,England eng,FW,Not found,1996-1997,18 years,Blackburn,1996,https://www.transfermarkt.com/james-beattie/profil/spieler/3112
18871,Jean Beausejour,https://fbref.com/en/players/c8404849/Jean-Beausejour,Success,Not found,1-Jun-84,Not found,178,Chile,"DF-FW-MF (FB-WM, left)",Left,2004-2005,20 years,Servette,2004,https://www.transfermarkt.com/jean-beausejour/profil/spieler/18871
26541,Bebé,https://fbref.com/en/players/d8712bf9/Bebe,Success,Not found,"July 12, 1990 (Age: 35-136d)","Cacém, Portugal",190,Cape Verde cv  Other: Portugal,FW-MF (AM-WM),Right,2010-2011,20 years,Manchester Utd,2010,https://www.transfermarkt.com/beb/profil/spieler/26541
38874,Jermaine Beckford,https://fbref.com/en/players/393303c7/Jermaine-Beckford,Success,Not found,9-Dec-83,Not found,188,Jamaica jm  Other: England,FW,Right,2005-2006,21 years,Leeds United,2005,https://www.transfermarkt.com/jermaine-beckford/profil/spieler/38874
26898,Roman Bednář,https://fbref.com/en/players/a6979454/Roman-Bednar,Success,Not found,26-Mar-83,Not found,191,Czech Republic,FW,Not found,2005-2006,22 years,Hearts,2005,https://www.transfermarkt.com/roman-bedn/profil/spieler/26898
33873,Asmir Begović,https://fbref.com/en/players/7b4de647/Asmir-Begovic,Success,Not found,"June 20, 1987 (Age: 38-158d)","Trebinje, Bosnia and Herzegovina",199,Bosnia and Herzegovina ba  Other: Canada,GK,Right,2005-2006,18 years,La Louvière,2005,https://www.transfermarkt.com/asmir-begovi/profil/spieler/33873
21905,Valon Behrami,https://fbref.com/en/players/d3d758d8/Valon-Behrami,Success,Not found,19-Apr-85,Not found,184,Switzerland ch  Other: Kosovo,DF-MF (CM),Right,2003-2004,18 years,Genoa,2003,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905
18900,Hatem Ben Arfa,https://fbref.com/en/players/74dc806c/Hatem-Ben-Arfa,Success,Not found,7-Mar-87,Not found,178,France,FW-MF (AM-WM),Left,2004-2005,17 years,Lyon,2004,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900
20714,Tal Ben Haim,https://fbref.com/en/players/8ca0559d/Tal-Ben-Haim,Success,Not found,5-Aug-89,Not found,175,Israel,FW-MF (WM),Left,2017-2018,27 years,Sparta Prague,2017,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714
7858,Yossi Benayoun,https://fbref.com/en/players/8414bb13/Yossi-Benayoun,Success,Not found,5-May-80,Not found,178,Israel,MF (AM),Not found,2002-2003,22 years,Racing Sant,2002,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858
34557,Nicklas Bendtner,https://fbref.com/en/players/9f9c57f0/Nicklas-Bendtner,Success,Not found,16-Jan-88,Not found,194,Denmark,FW,Right,2006-2007,18 years,Birmingham City,2006,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557
12063,Benjani,https://fbref.com/en/players/9fc277ee/Benjani,Success,Not found,13-Aug-78,Not found,188,Zimbabwe,FW,Not found,2002-2003,23 years,Auxerre,2002,https://www.transfermarkt.com/benjani/profil/spieler/12063
13239,Darren Bent,https://fbref.com/en/players/fe97f10b/Darren-Bent,Success,Not found,6-Feb-84,Not found,180,England eng,FW,Right,2001-2002,17 years,Ipswich Town,2001,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
9958,Marcus Bent,https://fbref.com/en/players/69166246/Marcus-Bent,Success,Not found,19-May-78,Not found,188,England eng,FW,Not found,1997-1998,19 years,Crystal Palace,1997,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958
3205,David Bentley,https://fbref.com/en/players/a00fbcec/David-Bentley,Success,Not found,27-Aug-84,Not found,175,England eng,MF (AM-WM),Right,2003-2004,18 years,Arsenal,2003,https://www.transfermarkt.com/david-bentley/profil/spieler/3205
65,Dimitar Berbatov,https://fbref.com/en/players/f5781978/Dimitar-Berbatov,Success,Not found,30-Jan-81,Not found,189,Bulgaria,FW,Right,2000-2001,19 years,Leverkusen,2000,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65
36602,Christophe Berra,https://fbref.com/en/players/8455984a/Christophe-Berra,Success,Not found,31-Jan-85,Not found,186,Scotland sct,DF (CB),Left,2003-2004,18 years,Hearts,2003,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602
40611,Ryan Bertrand,https://fbref.com/en/players/01226327/Ryan-Bertrand,Success,Not found,5-Aug-89,Not found,179,England eng,"DF-MF (FB, left)",Left,2006-2007,16 years,Bournemouth,2006,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611
28244,Leon Best,https://fbref.com/en/players/0780ab75/Leon-Best,Success,Not found,19-Sep-86,Not found,185,Republic of Ireland ie  Other: England,FW,Right,2004-2005,17 years,QPR,2004,https://www.transfermarkt.com/leon-best/profil/spieler/28244
3923,Habib Beye,https://fbref.com/en/players/459b0b19/Habib-Beye,Success,Not found,19-Oct-77,Not found,182,Senegal sn  Other: France,"DF (FB, right)",Not found,1997-1998,19 years,Paris S-G,1997,https://www.transfermarkt.com/habib-beye/profil/spieler/3923
16690,Diniyar Bilyaletdinov,https://fbref.com/en/players/7e8050c6/Diniyar-Bilyaletdinov,Success,Not found,27-Feb-85,Not found,186,Russia,MF,Left,2004,18 years,Loko Moscow,Not found,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690
62049,Mame Biram Diouf,https://fbref.com/en/players/7f4f3e49/Mame-Biram-Diouf,Success,Not found,"December 16, 1987 (Age: 37-344d)",Senegal,185,Senegal,FW-MF,Right,2008,20 years,Molde,Not found,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049
3490,Robbie Blake,https://fbref.com/en/players/ddc0a1fd/Robbie-Blake,Success,Not found,4-Mar-76,Not found,175,Not found,FW-MF (AM),Not found,1999-2000,23 years,Bradford City,1999,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490
3422,Luís Boa Morte,https://fbref.com/en/players/59ab6332/Luis-Boa-Morte,Success,Not found,4-Aug-77,Not found,178,Portugal,FW-MF (AM-WM),Not found,1997-1998,19 years,Arsenal,1997,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422
26485,Jérôme Boateng,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng,Success,Not found,3-Sep-88,Not found,192,Germany,DF (CB-FB),Right,2006-2007,17 years,Hertha BSC,2006,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485
31336,Ruud Boffin,https://fbref.com/en/players/ad19ca64/Ruud-Boffin,Success,Not found,5-Nov-87,Not found,196,Not found,GK,Right,2007-2008,19 years,FC Eindhoven,2007,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336
55247,Ádám Bogdán,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Success,Not found,27-Sep-87,Not found,194,Hungary,GK,Right,2009-2010,21 years,Crewe Alexandra,2009,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247
40822,Mauro Boselli,https://fbref.com/en/players/284e865d/Mauro-Boselli,Success,Not found,22-May-85,Not found,182,Argentina,FW,Right,2005-2006,20 years,Málaga B,2005,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822
9813,José Bosingwa,https://fbref.com/en/players/13dd442f/Jose-Bosingwa,Success,Not found,24-Aug-82,Not found,183,Portugal pt  Other: Congo DR,"DF (FB, right)",Right,2001-2002,18 years,Boavista,2001,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813
3877,Lee Bowyer,https://fbref.com/en/players/f4fd57ba/Lee-Bowyer,Success,Not found,3-Jan-77,Not found,175,England eng,MF (AM),Not found,1996-1997,19 years,Leeds United,1996,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877
88262,Dedryck Boyata,https://fbref.com/en/players/7c473e12/Dedryck-Boyata,Success,Not found,28-Nov-90,Not found,188,Belgium,DF (CB-FB),Right,2009-2010,18 years,Manchester City,2009,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262
19641,Emmerson Boyce,https://fbref.com/en/players/84bfbd38/Emmerson-Boyce,Success,Not found,24-Sep-79,Not found,184,Barbados bb  Other: England,DF (CB),Right,2002-2003,22 years,Luton Town,2002,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641
30593,Michael Bradley,https://fbref.com/en/players/fd5e3a73/Michael-Bradley,Success,Not found,31-Jul-87,Not found,189,United States,DF-MF (CM-DM),Right,2005,17 years,MetroStars,Not found,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593
3130,Titus Bramble,https://fbref.com/en/players/83ac7c3c/Titus-Bramble,Success,Not found,31-Jul-81,Not found,185,England eng,DF (CB),Not found,2000-2001,19 years,Ipswich Town,2000,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130
3682,Wayne Bridge,https://fbref.com/en/players/86b982bc/Wayne-Bridge,Success,Not found,5-Aug-80,Not found,178,England eng,"DF (FB, left)",Not found,1998-1999,17 years,Southampton,1998,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682
51318,Matthew Briggs,https://fbref.com/en/players/182c89db/Matthew-Briggs,Success,Not found,6-Mar-91,Not found,189,Guyana gy  Other: England,DF (FB),Left,2006-2007,15 years,Fulham,2006,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318
