player_name,player_url,player_id,full_name,position,current_club,status
Abdelkader Oueslati,https://www.transfermarkt.com/abdelkader-oueslati/profil/spieler/220805,220805,Abdelkader Oueslati,Midfield - Right Midfield,Without Club,Success
Abdoul Sissoko,https://www.transfermarkt.com/abdoul-wahid-sissoko/profil/spieler/83368,83368,Abdoul Wahid Sissoko,Midfield - Defensive Midfield,Without Club,Success
Abdoulay Konko,https://www.transfermarkt.com/abdoulay-konko/profil/spieler/22139,22139,Abdoulay Konko,Defender - Right-Back,N/A,Success
Abdoulaye Ba,https://www.transfermarkt.com/abdoulaye-ba/profil/spieler/106837,106837,Abdoulaye Ba,Defender - Centre-Back,Without Club,Success
Abel Aguilar,https://www.transfermarkt.com/abel-aguilar/profil/spieler/37388,37388,Abel Aguilar,Midfield - Defensive Midfield,N/A,Success
Abel Gómez Moreno,https://www.transfermarkt.com/abel-gomez/profil/spieler/29065,29065,Abel Gómez,Midfield - Central Midfield,N/A,Success
Abraham González,https://www.transfermarkt.com/abraham-gonzalez/profil/spieler/65243,65243,Abraham González,Midfield - Central Midfield,N/A,Success
Abraham Minero,https://www.transfermarkt.com/abraham-minero/profil/spieler/95483,95483,Abraham Minero,Defender - Left-Back,Without Club,Success
Abraham Paz,https://www.transfermarkt.com/abraham-paz/profil/spieler/29137,29137,Abraham Paz,Defender - Centre-Back,N/A,Success
Adama Traoré,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,204103,Adama Traoré,Attack - Right Winger,West Ham,Success
Adil Rami,https://www.transfermarkt.com/adil-rami/profil/spieler/51118,51118,Adil Rami,Defender - Centre-Back,N/A,Success
Adri Embarba,https://www.transfermarkt.com/adrian-embarba/profil/spieler/288318,288318,Adrián Embarba,Attack - Right Winger,UD Almería,Success
Adrià Carmona,https://www.transfermarkt.com/adria-carmona/profil/spieler/73858,73858,Adrià Carmona,Attack - Left Winger,N/A,Success
Adrián,https://www.transfermarkt.com/adrian/profil/spieler/71271,71271,Adrián,Goalkeeper,Real Betis,Success
Adrián Colunga,https://www.transfermarkt.com/adrian-colunga/profil/spieler/57866,57866,Adrián Colunga,Attack - Centre-Forward,N/A,Success
Adrián González,https://www.transfermarkt.com/adrian-gonzalez/profil/spieler/44073,44073,Adrián González,Midfield - Central Midfield,N/A,Success
Adrián Gunino,https://www.transfermarkt.com/adrian-gunino/profil/spieler/76699,76699,Adrián Gunino,Defender - Right-Back,N/A,Success
Adrián López,https://www.transfermarkt.com/adrian-lopez/profil/spieler/45383,45383,Adrián López,Attack - Centre-Forward,N/A,Success
Adrián Lois,https://www.transfermarkt.com/adrian-lois/profil/spieler/152985,152985,Adrián Lois,Midfield - Attacking Midfield,Torrent,Success
Adrián Marín,https://www.transfermarkt.com/adrian-marin/profil/spieler/295414,295414,Adrián Marín,Defender - Left-Back,Orlando,Success
Adrián Sardinero,https://www.transfermarkt.com/adrian-sardinero/profil/spieler/125870,125870,Adrián Sardinero,Attack - Left Winger,Kannur Warriors,Success
Adriano,https://www.transfermarkt.com/adriano/profil/spieler/34495,34495,Adriano,Defender - Left-Back,N/A,Success
Ager Aketxe,https://www.transfermarkt.com/ager-aketxe/profil/spieler/158057,158057,Ager Aketxe,Attack - Right Winger,Johor DT,Success
Agustín Pastoriza,https://www.transfermarkt.com/agustin-pastoriza/profil/spieler/336103,336103,Agustín Pastoriza,Attack - Left Winger,Aktobe,Success
Aitor Núñez,https://www.transfermarkt.com/aitor-nunez/profil/spieler/71989,71989,Aitor Núñez,Defender - Right-Back,N/A,Success
Aitor Ocio,https://www.transfermarkt.com/aitor-ocio/profil/spieler/7615,7615,Aitor Ocio,Defender - Centre-Back,N/A,Success
Akihiro Ienaga,https://www.transfermarkt.com/akihiro-ienaga/profil/spieler/86167,86167,Akihiro Ienaga,Attack - Right Winger,Kawasaki Front.,Success
Alan Hutton,https://www.transfermarkt.com/alan-hutton/profil/spieler/9619,9619,Alan Hutton,Defender - Right-Back,N/A,Success
Albert Crusat,https://www.transfermarkt.com/albert-crusat/profil/spieler/51536,51536,Albert Crusat,Attack - Left Winger,N/A,Success
Albert Luque,https://www.transfermarkt.com/albert-luque/profil/spieler/7506,7506,Albert Luque,Attack - Left Winger,N/A,Success
Alberto Botía,https://www.transfermarkt.com/alberto-botia/profil/spieler/53077,53077,Alberto Botía,Defender - Centre-Back,AE Kifisias,Success
Alberto Bueno,https://www.transfermarkt.com/alberto-bueno/profil/spieler/45335,45335,Alberto Bueno,Attack - Second Striker,N/A,Success
Alberto de la Bella,https://www.transfermarkt.com/alberto-de-la-bella/profil/spieler/73319,73319,Alberto de la Bella,Defender - Left-Back,N/A,Success
Alberto Lopo,https://www.transfermarkt.com/alberto-lopo/profil/spieler/7881,7881,Alberto Lopo,Defender - Centre-Back,N/A,Success
Alberto Lora,https://www.transfermarkt.com/alberto-lora/profil/spieler/57816,57816,Alberto Lora,Midfield - Central Midfield,Marino Luanco,Success
Alberto Moreno,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917,207917,Alberto Moreno,Defender - Left-Back,Como,Success
Alberto Noguera,https://www.transfermarkt.com/alberto-noguera/profil/spieler/185401,185401,Alberto Noguera,Midfield - Attacking Midfield,Chennaiyin FC,Success
Alberto Perea,https://www.transfermarkt.com/alberto-perea/profil/spieler/99559,99559,Alberto Perea,Attack - Left Winger,Without Club,Success
Alberto Rivera,https://www.transfermarkt.com/alberto-rivera/profil/spieler/23306,23306,Alberto Rivera,Midfield - Central Midfield,N/A,Success
Aldo Duscher,https://www.transfermarkt.com/aldo-duscher/profil/spieler/3954,3954,Aldo Duscher,Midfield - Defensive Midfield,N/A,Success
Aleix Vidal,https://www.transfermarkt.com/aleix-vidal/profil/spieler/88490,88490,Aleix Vidal,Attack - Right Winger,N/A,Success
Alejandro Alfaro,https://www.transfermarkt.com/alejandro-alfaro/profil/spieler/39783,39783,Alejandro Alfaro,Attack - Left Winger,N/A,Success
Alejandro Arribas,https://www.transfermarkt.com/alejandro-arribas/profil/spieler/137174,137174,Alejandro Arribas,Defender - Centre-Back,N/A,Success
Alejandro Martinuccio,https://www.transfermarkt.com/alejandro-martinuccio/profil/spieler/68558,68558,Alejandro Martinuccio,Attack - Centre-Forward,N/A,Success
Alejandro Pozuelo,https://www.transfermarkt.com/alejandro-pozuelo/profil/spieler/188853,188853,Alejandro Pozuelo,Midfield - Attacking Midfield,Palm City,Success
Aleksandar Pantić,https://www.transfermarkt.com/aleksandar-pantic/profil/spieler/167093,167093,Aleksandar Pantic,Defender - Centre-Back,N/A,Success
Alessio Cerci,https://www.transfermarkt.com/alessio-cerci/profil/spieler/21748,21748,Alessio Cerci,Attack - Right Winger,N/A,Success
Alex Felip,https://www.transfermarkt.com/alex-felip/profil/spieler/285957,285957,Alex Felip,Midfield - Central Midfield,l’Alcora,Success
Alexandre Coeff,https://www.transfermarkt.com/alexandre-coeff/profil/spieler/89450,89450,Alexandre Coeff,Defender - Centre-Back,Valenciennes FC,Success
Alexandre Geijo,https://www.transfermarkt.com/alex-geijo/profil/spieler/15981,15981,Álex Geijo,Attack - Centre-Forward,N/A,Success
Alexandre Song,https://www.transfermarkt.com/alex-song/profil/spieler/27394,27394,Alex Song,Midfield - Defensive Midfield,N/A,Success
Alexandros Tziolis,https://www.transfermarkt.com/alexandros-tziolis/profil/spieler/12883,12883,Alexandros Tziolis,Midfield - Defensive Midfield,N/A,Success
Alexis,https://www.transfermarkt.com/alexis-ruano/profil/spieler/7781,7781,Alexis Ruano,Defender - Centre-Back,N/A,Success
Alexis Sánchez,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433,40433,Alexis Sánchez,Attack - Centre-Forward,Sevilla FC,Success
Alfonso Pedraza,https://www.transfermarkt.com/alfonso-pedraza/profil/spieler/356197,356197,Alfonso Pedraza,Defender - Left-Back,Villarreal,Success
Alfreð Finnbogason,https://www.transfermarkt.com/alfred-finnbogason/profil/spieler/90024,90024,Alfred Finnbogason,Attack - Centre-Forward,N/A,Success
Alfred N'Diaye,https://www.transfermarkt.com/alfred-ndiaye/profil/spieler/77737,77737,Alfred N'Diaye,Midfield - Defensive Midfield,Without Club,Success
Alfredo Ortuño,https://www.transfermarkt.com/alfredo-ortuno/profil/spieler/96540,96540,Alfredo Ortuño,Attack - Centre-Forward,FC Cartagena,Success
Allan Nyom,https://www.transfermarkt.com/allan-nyom/profil/spieler/111508,111508,Allan Nyom,Defender - Right-Back,Getafe,Success
Aloys Nong,https://www.transfermarkt.com/aloys-nong/profil/spieler/18416,18416,Aloys Nong,Attack - Centre-Forward,N/A,Success
Aly Cissokho,https://www.transfermarkt.com/aly-cissokho/profil/spieler/57515,57515,Aly Cissokho,Defender - Centre-Back,Lamphun Warrior,Success
Anaitz Arbilla,https://www.transfermarkt.com/anaitz-arbilla/profil/spieler/71548,71548,Anaitz Arbilla,Defender - Centre-Back,SD Eibar,Success
Ander Capa,https://www.transfermarkt.com/ander-capa/profil/spieler/197545,197545,Ander Capa,Defender - Right-Back,N/A,Success
Ander Herrera,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343,99343,Ander Herrera,Midfield - Central Midfield,Boca Juniors,Success
Ander Iturraspe,https://www.transfermarkt.com/ander-iturraspe/profil/spieler/71571,71571,Ander Iturraspe,Midfield - Defensive Midfield,N/A,Success
Anderson Conceição,https://www.transfermarkt.com/anderson-conceicao/profil/spieler/187759,187759,Anderson Conceição,Defender - Centre-Back,Figueirense FC,Success
Andoni Iraola,https://www.transfermarkt.com/andoni-iraola/profil/spieler/15804,15804,Andoni Iraola,Defender - Right-Back,N/A,Success
André Castro,https://www.transfermarkt.com/castro/profil/spieler/58267,58267,Castro,Midfield - Central Midfield,N/A,Success
André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,221025,André Gomes,Midfield - Central Midfield,Lille,Success
André Santos,https://www.transfermarkt.com/andre-santos/profil/spieler/61743,61743,André Santos,Midfield - Defensive Midfield,Varzim,Success
Andrés Fernández,https://www.transfermarkt.com/andres-fernandez/profil/spieler/57522,57522,Andrés Fernández,Goalkeeper,UD Almería,Success
Andrés Guardado,https://www.transfermarkt.com/andres-guardado/profil/spieler/20506,20506,Andrés Guardado,Midfield - Central Midfield,N/A,Success
Andrés Iniesta,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,7600,Andrés Iniesta,Midfield - Central Midfield,N/A,Success
Andrés Palop,https://www.transfermarkt.com/andres-palop/profil/spieler/7563,7563,Andrés Palop,Goalkeeper,N/A,Success
Andrés Túñez,https://www.transfermarkt.com/andres-tunez/profil/spieler/72087,72087,Andres Tuñez,Defender - Centre-Back,N/A,Success
Andreas Ivanschitz,https://www.transfermarkt.com/andreas-ivanschitz/profil/spieler/2923,2923,Andreas Ivanschitz,Midfield - Attacking Midfield,N/A,Success
Andreu Fontàs,https://www.transfermarkt.com/andreu-fontas/profil/spieler/65237,65237,Andreu Fontàs,Defender - Centre-Back,N/A,Success
Andrija Delibašić,https://www.transfermarkt.com/andrija-delibasic/profil/spieler/10289,10289,Andrija Delibasic,Attack - Centre-Forward,N/A,Success
Anthony Annan,https://www.transfermarkt.com/anthony-annan/profil/spieler/29122,29122,Anthony Annan,Midfield - Defensive Midfield,Arm. Lirich,Success
Antoine Griezmann,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,125781,Antoine Griezmann,Attack - Second Striker,Atlético,Success
Antonio Adán,https://www.transfermarkt.com/antonio-adan/profil/spieler/44062,44062,Antonio Adán,Goalkeeper,Esteghlal FC,Success
Antonio Amaya,https://www.transfermarkt.com/antonio-amaya/profil/spieler/71904,71904,Antonio Amaya,Defender - Centre-Back,N/A,Success
Antonio Barragán,https://www.transfermarkt.com/antonio-barragan/profil/spieler/32522,32522,Antonio Barragán,Defender - Right-Back,N/A,Success
