player_name,transfermarkt_id,transfermarkt_url,player_url
Valon Behrami,21905,https://www.transfermarkt.com/valon-behrami/profil/spieler/21905,https://fbref.com/en/players/d3d758d8/Valon-Behrami
Hatem Ben Arfa,18900,https://www.transfermarkt.com/hatem-ben-arfa/profil/spieler/18900,https://fbref.com/en/players/74dc806c/Hatem-Ben-Arfa
Tal Ben Haim,20714,https://www.transfermarkt.com/tal-ben-haim/profil/spieler/20714,https://fbref.com/en/players/8ca0559d/Tal-Ben-Haim
Yossi Benayoun,7858,https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,https://fbref.com/en/players/8414bb13/Yossi-Benayoun
Nicklas Bendtner,34557,https://www.transfermarkt.com/nicklas-bendtner/profil/spieler/34557,https://fbref.com/en/players/9f9c57f0/Nicklas-Bendtner
Benjani,12063,https://www.transfermarkt.com/benjani/profil/spieler/12063,https://fbref.com/en/players/9fc277ee/Benjani
Darren Bent,13239,https://www.transfermarkt.com/darren-bent/profil/spieler/13239,https://fbref.com/en/players/fe97f10b/Darren-Bent
Marcus Bent,9958,https://www.transfermarkt.com/marcus-bent/profil/spieler/9958,https://fbref.com/en/players/69166246/Marcus-Bent
David Bentley,3205,https://www.transfermarkt.com/david-bentley/profil/spieler/3205,https://fbref.com/en/players/a00fbcec/David-Bentley
Dimitar Berbatov,65,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65,https://fbref.com/en/players/f5781978/Dimitar-Berbatov
Christophe Berra,36602,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602,https://fbref.com/en/players/8455984a/Christophe-Berra
Ryan Bertrand,40611,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,https://fbref.com/en/players/01226327/Ryan-Bertrand
Leon Best,28244,https://www.transfermarkt.com/leon-best/profil/spieler/28244,https://fbref.com/en/players/0780ab75/Leon-Best
Habib Beye,3923,https://www.transfermarkt.com/habib-beye/profil/spieler/3923,https://fbref.com/en/players/459b0b19/Habib-Beye
Diniyar Bilyaletdinov,16690,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690,https://fbref.com/en/players/7e8050c6/Diniyar-Bilyaletdinov
Mame Biram Diouf,62049,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049,https://fbref.com/en/players/7f4f3e49/Mame-Biram-Diouf
Robbie Blake,3490,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490,https://fbref.com/en/players/ddc0a1fd/Robbie-Blake
Luís Boa Morte,3422,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422,https://fbref.com/en/players/59ab6332/Luis-Boa-Morte
Jérôme Boateng,26485,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
Ruud Boffin,31336,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336,https://fbref.com/en/players/ad19ca64/Ruud-Boffin
Ádám Bogdán,55247,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247,https://fbref.com/en/players/56f99ec7/Adam-Bogdan
Mauro Boselli,40822,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822,https://fbref.com/en/players/284e865d/Mauro-Boselli
José Bosingwa,9813,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813,https://fbref.com/en/players/13dd442f/Jose-Bosingwa
Lee Bowyer,3877,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877,https://fbref.com/en/players/f4fd57ba/Lee-Bowyer
Dedryck Boyata,88262,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,https://fbref.com/en/players/7c473e12/Dedryck-Boyata
Emmerson Boyce,19641,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641,https://fbref.com/en/players/84bfbd38/Emmerson-Boyce
Michael Bradley,30593,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593,https://fbref.com/en/players/fd5e3a73/Michael-Bradley
Titus Bramble,3130,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130,https://fbref.com/en/players/83ac7c3c/Titus-Bramble
Wayne Bridge,3682,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682,https://fbref.com/en/players/86b982bc/Wayne-Bridge
Matthew Briggs,51318,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318,https://fbref.com/en/players/182c89db/Matthew-Briggs
Wes Brown,3405,https://www.transfermarkt.com/wes-brown/profil/spieler/3405,https://fbref.com/en/players/659ccc97/Wes-Brown
Jeffrey Bruma,88721,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721,https://fbref.com/en/players/fbffc4b1/Jeffrey-Bruma
Chris Brunt,36814,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814,https://fbref.com/en/players/ec7e6ad1/Chris-Brunt
Mark Bunn,49319,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319,https://fbref.com/en/players/a6738b6c/Mark-Bunn
Gary Cahill,27511,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,https://fbref.com/en/players/7914b9fe/Gary-Cahill
Tim Cahill,13556,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556,https://fbref.com/en/players/e5a2dfc2/Tim-Cahill
Gary Caldwell,3791,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791,https://fbref.com/en/players/5dc37f4a/Gary-Caldwell
Steven Caldwell,3462,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462,https://fbref.com/en/players/6839f68e/Steven-Caldwell
DJ Campbell,37896,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896,https://fbref.com/en/players/d9129797/DJ-Campbell
Fraizer Campbell,42411,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411,https://fbref.com/en/players/81d63375/Fraizer-Campbell
Sol Campbell,3198,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198,https://fbref.com/en/players/3e3b2fbd/Sol-Campbell
John Carew,3570,https://www.transfermarkt.com/john-carew/profil/spieler/3570,https://fbref.com/en/players/91ef929d/John-Carew
David Carney,10387,https://www.transfermarkt.com/david-carney/profil/spieler/10387,https://fbref.com/en/players/f3041886/David-Carney
Stephen Carr,4046,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046,https://fbref.com/en/players/eb0ae1e9/Stephen-Carr
Jamie Carragher,3597,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597,https://fbref.com/en/players/d0ebce19/Jamie-Carragher
Michael Carrick,3878,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878,https://fbref.com/en/players/ab7263c1/Michael-Carrick
Andy Carroll,48066,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,https://fbref.com/en/players/b581987a/Andy-Carroll
Scott Carson,14555,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,https://fbref.com/en/players/3e1550ee/Scott-Carson
Craig Cathcart,59606,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606,https://fbref.com/en/players/89e4b358/Craig-Cathcart
Lee Cattermole,37363,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363,https://fbref.com/en/players/538e77d5/Lee-Cattermole
