player_name,transfermarkt_id,transfermarkt_url
Wes Brown,3405,https://www.transfermarkt.com/wes-brown/profil/spieler/3405
Jeffrey Bruma,88721,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721
Chris Brunt,36814,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814
Mark Bunn,49319,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319
Gary Cahill,27511,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511
Tim Cahill,13556,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556
Gary Caldwell,3791,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791
Steven Caldwell,3462,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462
DJ Campbell,37896,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896
Fraizer Campbell,42411,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Sol Campbell,3198,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198
John Carew,3570,https://www.transfermarkt.com/john-carew/profil/spieler/3570
David Carney,10387,https://www.transfermarkt.com/david-carney/profil/spieler/10387
Stephen Carr,4046,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046
Jamie Carragher,3597,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597
Michael Carrick,3878,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878
Andy Carroll,48066,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066
Scott Carson,14555,https://www.transfermarkt.com/scott-carson/profil/spieler/14555
Craig Cathcart,59606,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606
Lee Cattermole,37363,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363
Marek Čech,21354,https://www.transfermarkt.com/marek-ech/profil/spieler/21354
Petr Čech,5658,https://www.transfermarkt.com/petr-ech/profil/spieler/5658
Marouane Chamakh,19085,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085
Pascal Chimbonda,18875,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875
Ciaran Clark,98240,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240
Tom Cleverley,73484,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484
Gaël Clichy,7449,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449
Tamir Cohen,24209,https://www.transfermarkt.com/tamir-cohen/profil/spieler/24209
Jack Colback,61644,https://www.transfermarkt.com/jack-colback/profil/spieler/61644
Ashley Cole,3182,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182
Carlton Cole,3179,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179
Joe Cole,3876,https://www.transfermarkt.com/joe-cole/profil/spieler/3876
Séamus Coleman,68390,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390
Danny Collins,26183,https://www.transfermarkt.com/danny-collins/profil/spieler/26183
James Collins,12691,https://www.transfermarkt.com/james-collins/profil/spieler/12691
Jack Collison,61568,https://www.transfermarkt.com/jack-collison/profil/spieler/61568
Fabricio Coloccini,6150,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150
Jordan Cook,61646,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646
Vedran Ćorluka,34393,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393
Manuel da Costa,37398,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398
Simon Cox,37150,https://www.transfermarkt.com/simon-cox/profil/spieler/37150
Jody Craddock,4129,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129
Stephen Crainey,9499,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499
Peter Crouch,4072,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072
Carlo Cudicini,3151,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151
Carlos Cuéllar,16576,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576
Scott Dann,62688,https://www.transfermarkt.com/scott-dann/profil/spieler/62688
Curtis Davies,18227,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227
Kevin Davies,4114,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114
Mark Davies,36917,https://www.transfermarkt.com/mark-davies/profil/spieler/36917
Simon Davies,4056,https://www.transfermarkt.com/simon-davies/profil/spieler/4056
Michael Dawson,9988,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988
Jermain Defoe,3875,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875
Rory Delap,610849,https://www.transfermarkt.com/rory-delap/profil/spieler/610849
Nathan Delfouneso,62642,https://www.transfermarkt.com/nathan-delfouneso/profil/spieler/62642
Fabian Delph,50362,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362
Mousa Dembélé,19368,https://www.transfermarkt.com/mousa-dembl/profil/spieler/19368
Ishmel Demontagnac,42188,https://www.transfermarkt.com/ishmel-demontagnac/profil/spieler/42188
Clint Dempsey,27577,https://www.transfermarkt.com/clint-dempsey/profil/spieler/27577
Denílson,7660,https://www.transfermarkt.com/denlson/profil/spieler/7660
Edwin van der Sar,3516,https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516
Rafael van der Vaart,4192,https://www.transfermarkt.com/rafael-van-der-vaart/profil/spieler/4192
Matt Derbyshire,15175,https://www.transfermarkt.com/matt-derbyshire/profil/spieler/15175
Franco Di Santo,59783,https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783
Abou Diaby,26763,https://www.transfermarkt.com/abou-diaby/profil/spieler/26763
Alessandro Diamanti,23197,https://www.transfermarkt.com/alessandro-diamanti/profil/spieler/23197
Mohamed Diamé,70950,https://www.transfermarkt.com/mohamed-diam/profil/spieler/70950
Salif Diao,3600,https://www.transfermarkt.com/salif-diao/profil/spieler/3600
Kagisho Dikgacoi,63285,https://www.transfermarkt.com/kagisho-dikgacoi/profil/spieler/63285
Sylvain Distin,3356,https://www.transfermarkt.com/sylvain-distin/profil/spieler/3356
Johan Djourou,34561,https://www.transfermarkt.com/johan-djourou/profil/spieler/34561
Graham Dorrans,36608,https://www.transfermarkt.com/graham-dorrans/profil/spieler/36608
Giovani dos Santos,44674,https://www.transfermarkt.com/giovani-dos-santos/profil/spieler/44674
Stewart Downing,4063,https://www.transfermarkt.com/stewart-downing/profil/spieler/4063
Colin Doyle,28728,https://www.transfermarkt.com/colin-doyle/profil/spieler/28728
Kevin Doyle,35193,https://www.transfermarkt.com/kevin-doyle/profil/spieler/35193
Didier Drogba,3924,https://www.transfermarkt.com/didier-drogba/profil/spieler/3924
Damien Duff,3259,https://www.transfermarkt.com/damien-duff/profil/spieler/3259
David Dunn,4243,https://www.transfermarkt.com/david-dunn/profil/spieler/4243
Richard Dunne,3807,https://www.transfermarkt.com/richard-dunne/profil/spieler/3807
Kieron Dyer,3118,https://www.transfermarkt.com/kieron-dyer/profil/spieler/3118
Edin Džeko,28396,https://www.transfermarkt.com/edin-deko/profil/spieler/28396
Neal Eardley,49428,https://www.transfermarkt.com/neal-eardley/profil/spieler/49428
Sylvan Ebanks-Blake,27621,https://www.transfermarkt.com/sylvan-ebanks-blake/profil/spieler/27621
Emmanuel Eboué,13058,https://www.transfermarkt.com/emmanuel-ebou/profil/spieler/13058
Nathan Eccleston,88983,https://www.transfermarkt.com/nathan-eccleston/profil/spieler/88983
David Edwards,54949,https://www.transfermarkt.com/david-edwards/profil/spieler/54949
Rob Edwards,4068,https://www.transfermarkt.com/rob-edwards/profil/spieler/4068
Johan Elmander,4383,https://www.transfermarkt.com/johan-elmander/profil/spieler/4383
Ahmed Elmohamady,66333,https://www.transfermarkt.com/ahmed-elmohamady/profil/spieler/66333
George Elokobi,42048,https://www.transfermarkt.com/george-elokobi/profil/spieler/42048
Brett Emerton,4367,https://www.transfermarkt.com/brett-emerton/profil/spieler/4367
Jay Emmanuel-Thomas,27969,https://www.transfermarkt.com/jay-emmanuel-thomas/profil/spieler/27969
José Enrique,35571,https://www.transfermarkt.com/jos-enrique/profil/spieler/35571
Michael Essien,5588,https://www.transfermarkt.com/michael-essien/profil/spieler/5588
Matthew Etherington,3788,https://www.transfermarkt.com/matthew-etherington/profil/spieler/3788
Dickson Etuhu,14011,https://www.transfermarkt.com/dickson-etuhu/profil/spieler/14011
Jason Euell,3092,https://www.transfermarkt.com/jason-euell/profil/spieler/3092
Jonny Evans,42412,https://www.transfermarkt.com/jonny-evans/profil/spieler/42412
Ian Evatt,37127,https://www.transfermarkt.com/ian-evatt/profil/spieler/37127
Patrice Evra,5285,https://www.transfermarkt.com/patrice-evra/profil/spieler/5285
Łukasz Fabiański,29692,https://www.transfermarkt.com/ukasz-fabiaski/profil/spieler/29692
Fábio,5775,https://www.transfermarkt.com/fbio/profil/spieler/5775
Cesc Fàbregas,8806,https://www.transfermarkt.com/cesc-fbregas/profil/spieler/8806
Keith Fahey,29878,https://www.transfermarkt.com/keith-fahey/profil/spieler/29878
Julien Faubert,18093,https://www.transfermarkt.com/julien-faubert/profil/spieler/18093
Abdoulaye Faye,6107,https://www.transfermarkt.com/abdoulaye-faye/profil/spieler/6107
Marouane Fellaini,39679,https://www.transfermarkt.com/marouane-fellaini/profil/spieler/39679
Anton Ferdinand,3698,https://www.transfermarkt.com/anton-ferdinand/profil/spieler/3698
Rio Ferdinand,3235,https://www.transfermarkt.com/rio-ferdinand/profil/spieler/3235
Barry Ferguson,10251,https://www.transfermarkt.com/barry-ferguson/profil/spieler/10251
Shane Ferguson,62052,https://www.transfermarkt.com/shane-ferguson/profil/spieler/62052
Paulo Ferreira,9832,https://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832
Maynor Figueroa,62240,https://www.transfermarkt.com/maynor-figueroa/profil/spieler/62240
Jon Flanagan,145922,https://www.transfermarkt.com/jon-flanagan/profil/spieler/145922
Darren Fletcher,3547,https://www.transfermarkt.com/darren-fletcher/profil/spieler/3547
Steven Fletcher,35099,https://www.transfermarkt.com/steven-fletcher/profil/spieler/35099
Kevin Foley,33491,https://www.transfermarkt.com/kevin-foley/profil/spieler/33491
Adam Forshaw,121257,https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257
Marc-Antoine Fortuné,5652,https://www.transfermarkt.com/marc-antoine-fortun/profil/spieler/5652
Ben Foster,13572,https://www.transfermarkt.com/ben-foster/profil/spieler/13572
Brad Friedel,3476,https://www.transfermarkt.com/brad-friedel/profil/spieler/3476
Ricardo Fuller,14014,https://www.transfermarkt.com/ricardo-fuller/profil/spieler/14014
Danny Gabbidon,12709,https://www.transfermarkt.com/danny-gabbidon/profil/spieler/12709
William Gallas,3156,https://www.transfermarkt.com/william-gallas/profil/spieler/3156
Morten Gamst Pedersen,22741,https://www.transfermarkt.com/morten-gamst-pedersen/profil/spieler/22741
Craig Gardner,37171,https://www.transfermarkt.com/craig-gardner/profil/spieler/37171
Ricardo Gardner,6264,https://www.transfermarkt.com/ricardo-gardner/profil/spieler/6264
Zoltán Gera,18324,https://www.transfermarkt.com/zoltn-gera/profil/spieler/18324
Steven Gerrard,3109,https://www.transfermarkt.com/steven-gerrard/profil/spieler/3109
Kieran Gibbs,44792,https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792
Darron Gibson,42413,https://www.transfermarkt.com/darron-gibson/profil/spieler/42413
Ryan Giggs,3406,https://www.transfermarkt.com/ryan-giggs/profil/spieler/3406
Matt Gilks,48254,https://www.transfermarkt.com/matt-gilks/profil/spieler/48254
Gaël Givet,5286,https://www.transfermarkt.com/gal-givet/profil/spieler/5286
Steve Gohouri,19857,https://www.transfermarkt.com/steve-gohouri/profil/spieler/19857
Heurelho Gomes,19059,https://www.transfermarkt.com/heurelho-gomes/profil/spieler/19059
Jordi Gómez,39010,https://www.transfermarkt.com/jordi-gmez/profil/spieler/39010
Craig Gordon,12589,https://www.transfermarkt.com/craig-gordon/profil/spieler/12589
Dan Gosling,44983,https://www.transfermarkt.com/dan-gosling/profil/spieler/44983
Hérold Goulon,41978,https://www.transfermarkt.com/hrold-goulon/profil/spieler/41978
Elliot Grandin,56785,https://www.transfermarkt.com/elliot-grandin/profil/spieler/56785
Robert Green,11680,https://www.transfermarkt.com/robert-green/profil/spieler/11680
Jonathan Greening,3865,https://www.transfermarkt.com/jonathan-greening/profil/spieler/3865
Vince Grella,6021,https://www.transfermarkt.com/vince-grella/profil/spieler/6021
Adlène Guedioura,74768,https://www.transfermarkt.com/adlne-guedioura/profil/spieler/74768
Magaye Gueye,91956,https://www.transfermarkt.com/magaye-gueye/profil/spieler/91956
Danny Guthrie,16716,https://www.transfermarkt.com/danny-guthrie/profil/spieler/16716
Jonás Gutiérrez,26443,https://www.transfermarkt.com/jons-gutirrez/profil/spieler/26443
Eiður Guðjohnsen,3176,https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176
Asamoah Gyan,26802,https://www.transfermarkt.com/asamoah-gyan/profil/spieler/26802
Ali Al-Habsi,26633,https://www.transfermarkt.com/ali-al-habsi/profil/spieler/26633
El Hadji Diouf,54432,https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/54432
Marcus Hahnemann,4140,https://www.transfermarkt.com/marcus-hahnemann/profil/spieler/4140
Greg Halford,42062,https://www.transfermarkt.com/greg-halford/profil/spieler/42062
Rafik Halliche,67815,https://www.transfermarkt.com/rafik-halliche/profil/spieler/67815
Mark Halstead,99972,https://www.transfermarkt.com/mark-halstead/profil/spieler/99972
Adam Hammill,38091,https://www.transfermarkt.com/adam-hammill/profil/spieler/38091
Brede Hangeland,25553,https://www.transfermarkt.com/brede-hangeland/profil/spieler/25553
Grant Hanley,121385,https://www.transfermarkt.com/grant-hanley/profil/spieler/121385
Marlon Harewood,10011,https://www.transfermarkt.com/marlon-harewood/profil/spieler/10011
Owen Hargreaves,201,https://www.transfermarkt.com/owen-hargreaves/profil/spieler/201
Steve Harper,3562,https://www.transfermarkt.com/steve-harper/profil/spieler/3562
Joe Hart,40204,https://www.transfermarkt.com/joe-hart/profil/spieler/40204
John Heitinga,4315,https://www.transfermarkt.com/john-heitinga/profil/spieler/4315
Bjørn Helge Riise,13485,https://www.transfermarkt.com/bjrn-helge-riise/profil/spieler/13485
Jordan Henderson,61651,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651
Wayne Hennessey,45494,https://www.transfermarkt.com/wayne-hennessey/profil/spieler/45494
Karl Henry,13582,https://www.transfermarkt.com/karl-henry/profil/spieler/13582
Chris Herd,61572,https://www.transfermarkt.com/chris-herd/profil/spieler/61572
Javier Hernández,50935,https://www.transfermarkt.com/javier-hernndez/profil/spieler/50935
Emile Heskey,3142,https://www.transfermarkt.com/emile-heskey/profil/spieler/3142
Tony Hibbert,3614,https://www.transfermarkt.com/tony-hibbert/profil/spieler/3614
Danny Higginbotham,3686,https://www.transfermarkt.com/danny-higginbotham/profil/spieler/3686
Zavon Hines,67081,https://www.transfermarkt.com/zavon-hines/profil/spieler/67081
Thomas Hitzlsperger,1573,https://www.transfermarkt.com/thomas-hitzlsperger/profil/spieler/1573
Alexander Hleb,597,https://www.transfermarkt.com/alexander-hleb/profil/spieler/597
Jonathan Hogg,61573,https://www.transfermarkt.com/jonathan-hogg/profil/spieler/61573
Junior Hoilett,58993,https://www.transfermarkt.com/junior-hoilett/profil/spieler/58993
Stuart Holden,30071,https://www.transfermarkt.com/stuart-holden/profil/spieler/30071
Tim Howard,4267,https://www.transfermarkt.com/tim-howard/profil/spieler/4267
Tom Huddlestone,13465,https://www.transfermarkt.com/tom-huddlestone/profil/spieler/13465
Aaron Hughes,3580,https://www.transfermarkt.com/aaron-hughes/profil/spieler/3580
Stephen Hunt,36799,https://www.transfermarkt.com/stephen-hunt/profil/spieler/36799
James Hurst,110863,https://www.transfermarkt.com/james-hurst/profil/spieler/110863
Robert Huth,2998,https://www.transfermarkt.com/robert-huth/profil/spieler/2998
Alan Hutton,9619,https://www.transfermarkt.com/alan-hutton/profil/spieler/9619
Pablo Ibáñez,8116,https://www.transfermarkt.com/pablo-ibez/profil/spieler/8116
Hérita Ilunga,17432,https://www.transfermarkt.com/hrita-ilunga/profil/spieler/17432
Stephen Ireland,34838,https://www.transfermarkt.com/stephen-ireland/profil/spieler/34838
Branislav Ivanović,36827,https://www.transfermarkt.com/branislav-ivanovi/profil/spieler/36827
Jussi Jääskeläinen,3692,https://www.transfermarkt.com/jussi-jskelinen/profil/spieler/3692
Lars Jacobsen,1423,https://www.transfermarkt.com/lars-jacobsen/profil/spieler/1423
Phil Jagielka,13520,https://www.transfermarkt.com/phil-jagielka/profil/spieler/13520
Gonzalo Jara,40429,https://www.transfermarkt.com/gonzalo-jara/profil/spieler/40429
Matthew Jarvis,15921,https://www.transfermarkt.com/matthew-jarvis/profil/spieler/15921
Jermaine Jenas,3461,https://www.transfermarkt.com/jermaine-jenas/profil/spieler/3461
Cameron Jerome,35855,https://www.transfermarkt.com/cameron-jerome/profil/spieler/35855
Park Ji-sung,4592,https://www.transfermarkt.com/park-ji-sung/profil/spieler/4592
Martin Jiránek,6065,https://www.transfermarkt.com/martin-jirnek/profil/spieler/6065
Jô,34156,https://www.transfermarkt.com/j/profil/spieler/34156
Adam Johnson,31579,https://www.transfermarkt.com/adam-johnson/profil/spieler/31579
Andrew Johnson,14031,https://www.transfermarkt.com/andrew-johnson/profil/spieler/14031
Eddie Johnson,38773,https://www.transfermarkt.com/eddie-johnson/profil/spieler/38773
Glen Johnson,3881,https://www.transfermarkt.com/glen-johnson/profil/spieler/3881
Roger Johnson,42751,https://www.transfermarkt.com/roger-johnson/profil/spieler/42751
David Jones,24634,https://www.transfermarkt.com/david-jones/profil/spieler/24634
Jermaine Jones,1321,https://www.transfermarkt.com/jermaine-jones/profil/spieler/1321
Kenwyne Jones,28245,https://www.transfermarkt.com/kenwyne-jones/profil/spieler/28245
Phil Jones,117996,https://www.transfermarkt.com/phil-jones/profil/spieler/117996
Nigel de Jong,4672,https://www.transfermarkt.com/nigel-de-jong/profil/spieler/4672
Milan Jovanović,14933,https://www.transfermarkt.com/milan-jovanovi/profil/spieler/14933
Younès Kaboul,27114,https://www.transfermarkt.com/youns-kaboul/profil/spieler/27114
Gaël Kakuta,74297,https://www.transfermarkt.com/gal-kakuta/profil/spieler/74297
Nikola Kalinić,36371,https://www.transfermarkt.com/nikola-kalini/profil/spieler/36371
Salomon Kalou,7971,https://www.transfermarkt.com/salomon-kalou/profil/spieler/7971
Diomansy Kamara,6053,https://www.transfermarkt.com/diomansy-kamara/profil/spieler/6053
Robbie Keane,3144,https://www.transfermarkt.com/robbie-keane/profil/spieler/3144
Dekel Keinan,24476,https://www.transfermarkt.com/dekel-keinan/profil/spieler/24476
Martin Kelly,78959,https://www.transfermarkt.com/martin-kelly/profil/spieler/78959
Stephen Kelly,12125,https://www.transfermarkt.com/stephen-kelly/profil/spieler/12125
Andy Keogh,29419,https://www.transfermarkt.com/andy-keogh/profil/spieler/29419
Michael Kightly,25366,https://www.transfermarkt.com/michael-kightly/profil/spieler/25366
Ledley King,3360,https://www.transfermarkt.com/ledley-king/profil/spieler/3360
Richard Kingson,7125,https://www.transfermarkt.com/richard-kingson/profil/spieler/7125
Chris Kirkland,3219,https://www.transfermarkt.com/chris-kirkland/profil/spieler/3219
Ivan Klasnić,690,https://www.transfermarkt.com/ivan-klasni/profil/spieler/690
Zat Knight,4012,https://www.transfermarkt.com/zat-knight/profil/spieler/4012
Aleksandar Kolarov,46156,https://www.transfermarkt.com/aleksandar-kolarov/profil/spieler/46156
Vincent Kompany,9594,https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594
Paul Konchesky,3296,https://www.transfermarkt.com/paul-konchesky/profil/spieler/3296
Sergei Kornilenko,15881,https://www.transfermarkt.com/sergei-kornilenko/profil/spieler/15881
Laurent Koscielny,76277,https://www.transfermarkt.com/laurent-koscielny/profil/spieler/76277
Radoslav Kováč,9702,https://www.transfermarkt.com/radoslav-kov/profil/spieler/9702
Niko Kranjčar,16746,https://www.transfermarkt.com/niko-kranjar/profil/spieler/16746
Tim Krul,33027,https://www.transfermarkt.com/tim-krul/profil/spieler/33027
Shefki Kuqi,12398,https://www.transfermarkt.com/shefki-kuqi/profil/spieler/12398
Tomasz Kuszczak,1320,https://www.transfermarkt.com/tomasz-kuszczak/profil/spieler/1320
Dirk Kuyt,4010,https://www.transfermarkt.com/dirk-kuyt/profil/spieler/4010
Sotirios Kyrgiakos,9706,https://www.transfermarkt.com/sotirios-kyrgiakos/profil/spieler/9706
Louis Laing,110865,https://www.transfermarkt.com/louis-laing/profil/spieler/110865
