player_name,current_club,position,age,nationality
Gaizka Toquero,Not found,FW-MF,Not found,Not found
Gareth Bale,Not found,FW-MF (AM-WM),Not found,Wales wls
Garry Rodrigues,Apollon Limassol,FW-MF (AM-WM),35-014d,Cape Verde cv  Other: Netherlands
Gary Medel,Universidad Católica,DF-MF (CB-DM),38-130d,Chile
Gaspar Panadero,Not found,MF (WM),Not found,Spain
Gastón Sangoy,Not found,FW-MF,Not found,Not found
Geoffrey Kondogbia,Marseille,DF-MF (CM-DM),32-299d,Central African Republic cf  Other: France
Gerónimo Rulli,Marseille,GK,33-205d,Argentina
Gerard Bordas,Not found,FW-MF (WM),Not found,Not found
Gerard Deulofeu,Not found,FW-MF (WM),Not found,Spain
Gerard Moreno,Villarreal,FW-MF,33-248d,Spain
Gerard Piqué,Not found,"DF (CB, right)",Not found,Spain
Germán Lux,Not found,GK,Not found,Argentina
Germán Parreño,Deportivo La Coruña,GK,32-298d,Not found
Gianni Zuiverloon,Not found,DF (CB-FB),Not found,Netherlands
Gilberto García,Not found,"DF-MF (FB-WM, right)",Not found,Colombia
Giovani dos Santos,Not found,FW-MF (AM-WM),Not found,Mexico
Giuseppe Rossi,Not found,FW,Not found,Italy it  Other: United States
Glenn Loovens,Not found,DF (CB),Not found,Netherlands
Gonzalo Castellani,Union Espanola,MF (AM-CM),38-123d,Not found
Gonzalo Colsa,Not found,MF (CM),Not found,Spain
Gonzalo Higuaín,Not found,FW-MF (WM),Not found,Argentina ar  Other: France
Gonzalo Rodríguez,Not found,DF (CB),Not found,Argentina
Gorka Elustondo,Not found,DF-MF (CB-CM-DM),Not found,Spain
Gorka Iraizoz,Not found,GK,Not found,Not found
Gorka Larrea,Not found,MF (CM),Not found,Spain
Grégory Arnolin,Not found,DF (CB),Not found,Not found
Grzegorz Krychowiak,Not found,MF (CM-DM),Not found,Poland
Guilherme Siqueira,Not found,"DF-MF (FB, left)",Not found,Not found
Guillermo,NorthEast United,FW,32-202d,Not found
Guillermo Méndez,Puerto de Vega,FW,33-314d,Spain
Guillermo Molins,Not found,FW-MF (AM-WM),Not found,Sweden se  Other: Uruguay
Guillermo Sara,Not found,GK,Not found,Argentina
Guirane N'Daw,Not found,DF-MF (CB-DM),Not found,Senegal
Gustavo Cabral,Not found,"DF (CB, right)",40-058d,Argentina
Gustavo Munúa,Not found,GK,Not found,Uruguay
Héctor,Corinthians,DF-FW (FB),30-088d,Spain
Héctor Hernández,Pontevedra,"DF (FB, left)",34-202d,Not found
Héctor Moreno,Monterrey,"DF (CB-FB, left)",37-328d,Mexico
Héctor Rodas,Not found,DF (CB),Not found,Not found
Héctor Yuste,East Bengal,DF-MF (CB-DM),37-333d,Not found
Hélder Barbosa,Not found,FW-MF (WM),Not found,Portugal
Hélder Costa,Yunnan Yukun,"FW-MF (AM-WM, right)",31-333d,Angola ao  Other: Portugal
Hélder Postiga,Not found,FW,Not found,Portugal
Hélder Rosário,Not found,DF (CB),Not found,Not found
Héldon Ramos,Not found,FW-MF (AM),Not found,Cape Verde
Hamit Altıntop,Not found,"DF-MF (FB-WM, right)",Not found,Turkey tr  Other: Germany
Hans Martínez,Not found,DF (CB),Not found,Chile
Haris Medunjanin,Not found,MF (AM-CM-DM),Not found,Bosnia and Herzegovina ba  Other: Netherlands
Haris Seferović,Not found,FW,33-292d,Switzerland
Hassan Yebda,Not found,MF (CM),Not found,Algeria dz  Other: France
Hedwiges Maduro,Not found,DF-MF (CB-DM),Not found,Netherlands
Heinz Barmettler,Not found,DF (CB),Not found,Dominican Republic do  Other: Switzerland
Henok Goitom,Not found,FW,Not found,Eritrea er  Other: Sweden
Henri Bienvenu,Not found,FW,Not found,Cameroon
Henrique,Not found,DF (CB),Not found,Brazil
Henrique Almeida,Amazonas FC,FW,34-198d,Brazil
Henrique Sereno,Not found,DF (CB),Not found,Portugal
Hernán Bernardello,Not found,MF (DM),Not found,Argentina
Hernán Pérez,Deportivo Recoleta,"FW-MF (AM-WM, right)",36-289d,Paraguay
Hernán Pellerano,Not found,DF (CB),Not found,Not found
Hicham Khaloua,Not found,FW,Not found,Morocco ma  Other: Spain
Hiroshi Ibusuki,Western United FC,FW,34-287d,Japan
Hugo Fraile,Not found,FW-MF,Not found,Not found
Hugo Mallo,Not found,"DF (FB, right)",Not found,Spain
Humberto Osorio,Jaguares de UPNFM,FW,37-170d,Not found
Iñaki Goitia,Not found,GK,Not found,Not found
Iñaki Williams,Athletic Club,FW-MF (AM),31-179d,Ghana gh  Other: Spain
Iñigo Díaz de Cerio,Not found,FW,Not found,Not found
Iñigo Martínez,Al Nasr (KSA),"DF (CB, left)",34-208d,Spain
Iñigo Pérez,Not found,"MF (CM-DM, left)",Not found,Not found
Iñigo Ruiz de Galarreta,Athletic Club,MF (CM-DM),32-127d,Spain
Iago Aspas,Celta Vigo,FW-MF,38-132d,Spain
Iago Bouzón,Not found,DF,Not found,Spain
Iago Falque,Not found,FW-MF (AM-WM),Not found,Spain
Iago Herrerín,Olympic Charleroi,GK,37-320d,Not found
Ibai Gómez,Not found,FW-MF (WM),Not found,Not found
Ibrahim Afellay,Not found,FW-MF (AM-WM),Not found,Netherlands
Ibrahima Baldé,Not found,FW,Not found,Senegal
Ignacio Camacho,Not found,MF (DM),Not found,Spain
Igor Gabilondo,Not found,"MF (WM, left)",Not found,Not found
Igor Martínez,Not found,FW-MF (AM),Not found,Spain
Ikechukwu Uche,Not found,FW,Not found,Nigeria
Iker Casillas,Not found,GK,Not found,Spain
Iker Hernández,Not found,FW,Not found,Spain
Iker Muniain,Not found,"FW-MF (AM-WM, left)",32-357d,Spain
Imanol Agirretxe,Not found,FW,Not found,Spain
Ion Ansotegi,Not found,DF (CB),Not found,Not found
Ion Echaide,Not found,DF,Not found,Spain
Ion Vélez,Not found,FW,Not found,Not found
Iriney,Not found,MF (CM-DM),Not found,Not found
Isaías Sánchez,Not found,MF (CM-DM),Not found,Not found
Isaac Cuenca,Not found,FW-MF (WM),Not found,Spain
Isaac Gómez,Real Murcia,MF,30-044d,Not found
Isaac Success,Not found,FW-MF,Not found,Nigeria
Isco,Real Betis,FW-MF (AM-CM),33-234d,Spain
Isma López,Not found,"DF-FW-MF (FB, left)",Not found,Spain
Israel Puerto,Stal Mielec,DF (CB),32-179d,Spain
Issam El Adoua,Not found,DF (CB),Not found,Morocco
Iván Alonso,Not found,FW,Not found,Uruguay
Iván Bolado,Not found,FW,Not found,Equatorial Guinea gq  Other: Spain
Iván Cuéllar,Mallorca,GK,41-198d,Spain
Iván de la Peña,Not found,MF (AM-CM),Not found,Spain
Iván González,Not found,DF (CB),Not found,Not found
Iván Hernández,Not found,DF (CB),Not found,Not found
Iván López,Not found,"DF (FB, right)",Not found,Spain
Iván Marcano,Not found,"DF (CB-FB, left)",38-171d,Spain
Iván Ramis,Not found,DF (CB),Not found,Spain
Ivan Cavaleiro,Tondela,FW-MF (AM-WM),32-054d,Portugal pt  Other: Angola
Ivan Obradović,Not found,"DF (FB, left)",Not found,Serbia
Ivan Rakitić,Not found,MF (AM-CM-DM-WM),Not found,Croatia hr  Other: Switzerland
Ivi,Raków Częstochowa,"FW-MF (AM, left)",31-165d,Not found
Ivica Dragutinović,Not found,"DF (CB-FB, left)",Not found,Serbia
Jérémy Mathieu,Not found,"DF (CB-FB, left)",Not found,France
Jérémy Perbet,Not found,FW,Not found,Not found
Jérémy Toulalan,Not found,DF-MF (DM),Not found,France
Jaime,Not found,GK,Not found,Not found
Jaime Gavilán,Not found,"MF (WM, left)",Not found,Spain
Jaime Isuardi,Not found,FW,Not found,Not found
Jaime Romero,Not found,FW-MF (WM),Not found,Spain
Jairo Morillas,Not found,FW,Not found,Spain
Jairo Samperio,Not found,FW-MF (AM-WM),Not found,Spain
James Rodríguez,León,FW-MF (AM-WM),34-152d,Colombia
Jan Oblak,Atlético Madrid,GK,32-338d,Slovenia
Júlio Baptista,Not found,FW-MF (AM),Not found,Brazil
Júlio César,Not found,GK,Not found,Not found
Jason,Al-Fayha,"FW-MF (AM-WM, right)",31-158d,Not found
Jaume Costa,Not found,"DF (FB, left)",Not found,Spain
Javad Nekounam,Not found,MF (DM),Not found,Iran
Javi Álamo,Not found,FW-MF (WM),Not found,Not found
Javi Flores,Not found,MF (AM),Not found,Not found
Javi Fuego,Not found,MF (CM-DM),Not found,Spain
Javi Guerra,Not found,FW,Not found,Not found
Javi Jiménez,Not found,GK,Not found,Not found
Javi López,Not found,"DF-MF (FB, right)",Not found,Not found
Javi Lara,Not found,MF (CM),Not found,Not found
Javi Márquez,Not found,MF (AM-CM),Not found,Not found
Javi Martínez,Not found,DF-MF (CB-DM),37-100d,Spain
Javi Poves,Not found,DF,Not found,Not found
Javi Varas,Not found,GK,Not found,Not found
Javi Venta,Not found,"DF (FB, right)",Not found,Not found
Javier Acuña,Not found,FW,Not found,Paraguay
Javier Aquino,Tigres UANL,DF-FW-MF (AM-FB-WM),35-303d,Mexico
Javier Arizmendi,Not found,FW-MF (WM),Not found,Spain
Javier Baraja,Not found,DF-MF (CB-DM),Not found,Spain
Javier Calleja,Not found,MF (WM),Not found,Spain
Javier Camuñas,Not found,FW-MF (AM),Not found,Not found
Javier Casquero,Not found,MF (CM),Not found,Not found
Javier Chica,Not found,DF (FB),Not found,Spain
Javier Espinosa,Not found,MF (CM),Not found,Spain
Javier Farinós,Not found,MF,Not found,Spain
Javier Hernández,Guadalajara,FW,37-193d,Mexico
Javier Hervás,Not found,MF (CM),Not found,Not found
Javier Manquillo,Not found,"DF (FB, right)",Not found,Spain
Javier Mascherano,Not found,DF-MF (CB-DM),Not found,Argentina
Javier Matilla,Kallithea,MF (CM-DM),37-117d,Spain
Javier Paredes,Not found,"DF (FB, left)",Not found,Spain
Javier Portillo,Not found,FW,Not found,Spain
Javier Ros,Not found,MF (CM-DM),Not found,Not found
Javier Saviola,Not found,FW,Not found,Argentina
Jean Marie Dongou,Not found,FW,Not found,Cameroon
Jean-Sylvain Babin,Real Avilés,DF (CB),39-058d,Martinique mq  Other: France
Jefferson Montero,Not found,FW-MF (AM-WM),Not found,Ecuador
Jeffrén Suárez,Not found,FW-MF (WM),Not found,Venezuela ve  Other: Spain
Jeffrey Sarpong,Not found,MF (AM),Not found,Netherlands
Jeison Murillo,Al Shamal,DF (CB),33-198d,Colombia
Jerzy Dudek,Not found,GK,Not found,Poland
Jesé,Las Palmas,FW-MF,32-288d,Spain
Jesús,Politehnica Iași,GK,37-183d,Not found
Jesús Dátolo,Not found,MF (AM-WM),Not found,Argentina
Jesús Gámez,Not found,"DF (FB, right)",Not found,Spain
Jesús Navas,Not found,"DF-FW-MF (AM-FB-WM, right)",Not found,Spain
Jesús Rueda,Not found,DF-MF (CB-DM),Not found,Not found
Jesús Vázquez,Not found,MF (CM),Not found,Not found
Jhon Córdoba,Krasnodar,FW,32-214d,Colombia
Jiří Jarošík,Not found,DF-MF,Not found,Czech Republic
João Cancelo,Al-Hilal,"DF-MF (CB-FB, right)",31-198d,Portugal
João Pereira,Not found,"DF-MF (FB, right)",Not found,Portugal
João Victor,Not found,DF-MF (DM-FB),Not found,Brazil
Joan Àngel Román,KS Wieczysta Kraków,FW-MF (WM),32-207d,Spain
Joan Capdevila,Not found,"DF (FB, left)",Not found,Spain
Joan Jordán,Sevilla,MF (CM-DM-WM),31-158d,Not found
Joan Oriol,Not found,"DF (FB, left)",Not found,Not found
Joan Tomàs,Not found,FW-MF (AM-WM),Not found,Spain
Joan Verdú,Not found,MF (AM-CM-WM),Not found,Spain
Joaquín,Not found,"FW-MF (AM-WM, right)",Not found,Spain
Joaquín Larrivey,Deportes Concepcion,FW,41-113d,Not found
Joel Campbell,Alajuelense,FW-MF (AM),33-168d,Costa Rica
Joel Robles,Estoril,GK,35-177d,Spain
Joel Valencia,Znicz Pruszków,MF (WM),31-025d,Ecuador
Johan Mojica,Mallorca,"DF-MF (FB-WM, left)",33-112d,Colombia
Jon Aurtenetxe,Not found,"DF (CB-FB, left)",Not found,Spain
Jon Errasti,Not found,MF (DM),Not found,Not found
Jon Gaztañaga,Not found,DF-MF (CB-DM),Not found,Spain
Jonás Ramalho,Olympic Charleroi,"DF (CB, right)",32-184d,Spain es  Other: Angola
Jonas,Not found,FW,Not found,Brazil
Jonathan de Guzmán,Sparta Rotterdam,MF (AM-CM-DM),38-089d,Netherlands nl  Other: Canada
Jonathan dos Santos,América,MF (CM-DM),35-229d,Mexico
Jonathan López,Not found,GK,Not found,Spain
Jonathan Pereira,Not found,FW,Not found,Spain
Jonathan Urretaviscaya,Juventud (Uru),"FW-MF (AM-WM, right)",35-267d,Uruguay
Jonathan Viera,Las Palmas,FW-MF (AM-WM),36-051d,Spain
Jonathan Vila,Not found,DF-MF (CB-DM),Not found,Not found
Jonathan Zongo,Not found,FW-MF (AM-WM),Not found,Burkina Faso
Jonathas,Not found,FW,Not found,Not found
Jonny Castro,Alavés,DF-MF (FB-WM),31-283d,Spain
Jordan Lotiès,Not found,DF (CB),Not found,Not found
Jordi,Not found,DF (CB-FB),Not found,Not found
Jordi Alba,Inter Miami,"DF-MF (FB, left)",36-265d,Spain
Jordi Amat,Persija Jakarta,DF (CB),33-265d,Indonesia id  Other: Spain
Jordi Codina,Not found,GK,Not found,Not found
Jordi Masip,Not found,GK,Not found,Spain
Jordi Xumetra,Not found,"FW-MF (WM, right)",Not found,Not found
Jorge García,Not found,DF (CB),Not found,Not found
Jorge López,Not found,MF (AM),Not found,Not found
Jorge Molina,Not found,FW,Not found,Not found
Jorge Morcillo,Not found,DF (CB),Not found,Not found
Jorge Ortí,Not found,FW,Not found,Spain
Jorge Pulido,Huesca,DF (CB),34-247d,Spain
Joris Mathijsen,Not found,DF (CB),Not found,Netherlands
José Ángel,Not found,"DF-MF (FB, left)",Not found,Spain
José Ángel Alonso,Not found,DF (CB),Not found,Not found
José Ángel Crespo,Not found,DF (CB-FB),Not found,Spain
José Antonio Caro,CD Estepona,DF (CB),32-278d,Not found
José Antonio Reyes,Not found,MF (AM-WM),Not found,Spain
José Ariel Núñez,Club Atlético Tembetary,FW-MF,37-090d,Paraguay
José Barkero,Not found,MF (AM),Not found,Spain
José Cañas,Manchester 62 FC,MF (DM),38-198d,Not found
José Callejón,Marbella,"FW-MF (WM, right)",38-303d,Spain
José Campaña,Not found,MF (AM-CM),Not found,Spain
José Carlos,Not found,FW-MF (AM-WM),Not found,Not found
José Catalá,Not found,"DF (FB, left)",Not found,Not found
José García,Not found,FW-MF (WM),Not found,Not found
José Higón,Not found,MF (WM),Not found,Not found
José Isidoro,Not found,"DF (FB, right)",Not found,Not found
José López Silva,Not found,MF (AM-WM),Not found,Not found
José Luis Gayà,Valencia,"DF-MF (FB-WM, left)",30-200d,Spain
José Luis Martí,Not found,MF (CM-DM),Not found,Not found
José Luis Morales,Levante,FW-MF (AM-WM),38-141d,Not found
José Manuel Casado,Not found,"DF (FB, left)",Not found,Not found
José Manuel Fernández,Not found,"DF (FB, right)",Not found,Not found
José Manuel Jurado,Not found,MF (AM),Not found,Spain
José Manuel Pinto,Not found,GK,Not found,Not found
José María Giménez,Atlético Madrid,DF (CB),30-325d,Uruguay
José María Movilla,Not found,MF (CM-DM),Not found,Not found
José Mari,Not found,MF (DM),Not found,Not found
José Nunes,Not found,DF (CB),Not found,Portugal
José Ortiz Bernal,Not found,"FW-MF (AM, right)",Not found,Not found
José Picón,Not found,DF,Not found,Not found
José Rodríguez,Flamurtari Vlorë,MF (CM),30-360d,Spain
José Sand,Not found,FW,Not found,Argentina
José Sosa,Estudiantes (LP),MF (AM-DM),40-175d,Argentina
Joseba Llorente,Not found,FW,Not found,Not found
Joseba Zaldúa,Not found,"DF (FB, right)",Not found,Not found
Joselu,Al Gharrafa,FW,35-259d,Spain es  Other: Germany
Josetxo,Not found,DF (CB),Not found,Spain
Josuha Guilavogui,Not found,DF-MF (CM-DM),Not found,France
Jozabed,Not found,MF (AM-CM),Not found,Not found
Jozy Altidore,Not found,FW,Not found,United States
Juan Ángel Albín,Not found,FW-MF (AM),Not found,Uruguay
Juan Bernat,Not found,"DF-FW-MF (FB-WM, left)",Not found,Spain
Juan Calatayud,Not found,GK,Not found,Not found
Juan Carlos,Girona,GK,37-325d,Not found
Juan Carlos,Real Murcia,FW-MF (AM),34-271d,Not found
Juan Carlos,Not found,GK,Not found,Not found
Juan Carlos Valerón,Not found,MF (AM),Not found,Spain
Juan Domínguez,Not found,MF (CM-DM),Not found,Not found
Juan Forlín,Not found,DF-MF (CB-DM),Not found,Not found
Juan Manuel Ortiz,Not found,"DF-MF (FB-WM, right)",Not found,Not found
Juan Mata,Melbourne Victory,FW-MF (AM-WM),37-227d,Spain
Juan Muñiz,Adelaide United,MF (AM),33-272d,Spain
Juan Muñoz,União de Leiria,FW-MF,30-029d,Spain
Juan Neira,OFI Crete,FW-MF (AM),36-293d,Argentina
Juan Pablo Colinas,Not found,GK,Not found,Not found
Juan Rafael Fuentes,Not found,"DF (FB, left)",Not found,Not found
Juan Rodríguez,Not found,MF (DM),Not found,Not found
Juan Valera Espín,Not found,"DF-MF (FB, right)",Not found,Spain
Juanfran,Not found,"DF-FW-MF (FB-WM, right)",Not found,Not found
Juanfran,Not found,"DF-MF (FB-WM, right)",Not found,Spain
Juanfran,Not found,"DF (FB, left)",Not found,Spain
Juanito,Not found,DF-MF (DM),Not found,Not found
Juankar,Not found,"DF-FW-MF (AM-FB-WM, left)",Not found,Spain
Juanlu,Not found,"MF (WM, left)",Not found,Not found
Juanma,Not found,FW-MF,Not found,Not found
Juanma,Not found,"MF (WM, right)",Not found,Not found
Juanmi,Getafe,FW-MF (AM),32-205d,Spain
Juanpi,Volos N.F.C.,FW-MF (AM-WM),31-321d,Venezuela
Juanra,Not found,"DF (FB, right)",Not found,Not found
Juca,Not found,MF (DM),Not found,Not found
Jukka Raitala,IF Gnistan,"DF (CB-FB, left)",37-087d,Finland
Julián Cuesta,Antalyaspor,GK,34-258d,Not found
Julián Luque Conde,Not found,FW-MF (WM),Not found,Spain
Julien Escudé,Not found,DF (CB),Not found,France
Kévin Gameiro,Not found,FW,Not found,France
Kaká,Not found,DF (CB),Not found,Not found
Kaká,Not found,FW-MF (AM),Not found,Brazil
Kalu Uche,Not found,FW-MF (AM),Not found,Nigeria
Karim Benzema,Al Ittihad Jeddah,FW,37-357d,France
Karim Yoda,Al-Ra'ed,MF (AM),37-047d,Not found
Kennedy Bakircioglü,Not found,MF (AM),Not found,Sweden
Kevin,Not found,"DF (FB, left)",Not found,Not found
Kevin Lacruz,Not found,MF,Not found,Spain
Keylor Navas,Pumas UNAM,GK,38-361d,Costa Rica
Khouma Babacar,Sarıyer SK,FW,32-269d,Senegal
Kiko Casilla,Not found,GK,Not found,Spain
Kiko Femenía,Getafe,"DF-FW-MF (FB-WM, right)",34-312d,Spain
Kiko Olivas,Cartagena,"DF (CB, right)",37-112d,Spain
Kiu,Not found,MF (WM),Not found,Korea Republic
Knut Olav Rindarøy,Not found,"DF (FB, left)",Not found,Norway
Koikili Lertxundi,Not found,"DF (FB, left)",Not found,Not found
Koke,Atlético Madrid,MF (AM-CM-DM-WM),33-337d,Spain
Koke,Not found,FW,Not found,Not found
Kris Stadsgaard,Not found,DF (CB),Not found,Denmark
Krisztián Vadócz,Not found,MF (CM),Not found,Hungary
Léo Baptistão,Almería,FW-MF (AM),33-107d,Not found
Lévy Madinda,PS Barito Putera,MF (CM),33-172d,Gabon
Lass Bangoura,Not found,FW-MF (WM),Not found,Guinea
Lassad Nouioui,Not found,FW,Not found,Tunisia tn  Other: France
Lassana Diarra,Not found,MF,Not found,France
Laure,Not found,"DF (FB, right)",Not found,Not found
Lautaro Acosta,Lanús,FW-MF (WM),37-272d,Argentina
Leo Franco,Not found,GK,Not found,Argentina
Leonardo Ponzio,Not found,MF (CM-DM),Not found,Argentina
Leonardo Ulloa,Not found,FW,Not found,Not found
Leonel Galeano,Cienciano,DF (CB),34-131d,Argentina
Liassine Cadamuro,Not found,Not found,Not found,Not found
Licá,Not found,FW-MF (AM-WM),Not found,Portugal
Lillo,Not found,"DF (FB, right)",Not found,Spain
Lionel Messi,Inter Miami,"FW-MF (AM-WM, right)",38-170d,Argentina
Lisandro López,Belgrano,"DF (CB, right)",36-101d,Argentina
Lluís Sastre,Not found,MF (DM),Not found,Spain
Lolo,Not found,DF-MF (CB-DM-FB),Not found,Not found
Lolo,Not found,FW-MF (AM),Not found,Not found
Lorenzo Reyes,Nublense,MF (CM-DM),34-181d,Chile
Loukas Vyntra,Not found,DF (CB),Not found,Greece
Luís Fabiano,Not found,FW,Not found,Brazil
Luís Martins,Not found,"DF (FB, left)",Not found,Portugal
Luca Cigarini,Not found,MF (CM-DM),Not found,Italy
Lucas Hernández,Paris Saint-Germain,"DF (CB-FB, left)",29-300d,France
Lucas Orbán,Not found,"DF (CB-FB, left)",Not found,Argentina
Lucas Pérez,Not found,FW-MF (WM),Not found,Not found
Lucas Piazon,KS Wieczysta Kraków,FW-MF (AM-WM),31-325d,Brazil
Lucas Silva,Cruzeiro,MF (CM-DM),32-298d,Brazil
Lucas Vázquez,Leverkusen,"DF-FW-MF (FB-WM, right)",34-163d,Spain
Lucas Wilchez,Not found,FW-MF (WM),Not found,Not found
Luciano Vietto,Racing Club,FW-MF (AM),32-006d,Argentina
Luis Alberto,Al Duhail SC,"FW-MF (AM-CM-WM, left)",33-074d,Spain
Luis Amaranto Perea,Not found,DF (CB),Not found,Colombia
Luis Carlos Martín,Not found,"MF (WM, left)",Not found,Not found
Luis Fariña,Not found,FW-MF (AM),Not found,Argentina
Luis García,Not found,FW-MF (WM),Not found,Spain
Luis Morán,Not found,MF (WM),Not found,Spain
Luis Suárez,Inter Miami,FW,38-321d,Uruguay
Luisinho,Not found,"DF (FB, left)",Not found,Not found
Luismi,Málaga,DF-MF (CM-DM),33-220d,Not found
Luka Modrić,Milan,MF (AM-CM-DM-WM),40-093d,Croatia
Luso,Not found,DF-MF (DM),Not found,Not found
Míchel,Not found,MF (CM-WM),Not found,Spain
Míchel,Not found,MF (AM-CM),Not found,Spain
Míchel,Not found,MF,Not found,Not found
Mahamadou Diarra,Not found,MF (CM-DM),Not found,Mali
Maikel Mesa,Tenerife,FW-MF (AM),34-190d,Not found
Mamadou Koné,Not found,FW,Not found,Not found
Mané,Not found,"DF-MF (FB-WM, left)",Not found,Not found
Manolo Gaspar,Not found,"DF (FB, right)",Not found,Not found
Manolo Reina,Not found,GK,Not found,Not found
Manu,Not found,GK,Not found,Spain
Manu del Moral,Not found,FW,Not found,Spain
Manu Herrera,Not found,GK,Not found,Not found
Manu Molina,Eldense,MF (AM),34-021d,Not found
Manu Torres,Not found,"DF (FB, left & right)",Not found,Not found
Manu Trigueros,Granada,MF (CM-WM),34-055d,Not found
Manucho,Not found,FW,Not found,Angola
Manuel Arana,Not found,"MF (AM-WM, right)",Not found,Not found
Manuel Fernandes,Not found,MF (AM-DM),Not found,Portugal
Manuel Iturra,Not found,MF (CM-DM),Not found,Chile
Manuel Lanzarote,Not found,MF (AM-WM),Not found,Not found
Manuel Lucena,Not found,DF (CB),Not found,Not found
Manuel Onwu,Not found,FW,Not found,Not found
Manuel Pablo,Not found,"DF (FB, right)",Not found,Spain
Marc Bartra,Real Betis,DF (CB-FB),34-330d,Spain
Marc Bertrán,Not found,"DF (FB, right)",Not found,Spain
Marc Fernández,Not found,FW-MF,Not found,Not found
Marc Muniesa,Al-Shahania Sports Club,"DF-MF (CB-DM-FB, left)",33-259d,Spain
Marc Torrejón,Not found,DF (CB),Not found,Spain
Marc Valiente,Not found,DF (CB),Not found,Spain
Marcelo,Not found,"DF-MF (FB-WM, left)",Not found,Brazil
Marcelo Silva,Not found,DF (CB),Not found,Uruguay
Marco Pérez,Deportivo Pereira,FW-MF,35-084d,Colombia
Marco Ruben,Not found,FW,Not found,Argentina
Marco Sangalli,Racing Santander,"DF-FW-MF (AM-WM, right)",33-307d,Not found
Marco Torsiglieri,Not found,"DF-MF (CB, left)",Not found,Not found
Marcos,Puente Genil FC,DF,36-072d,Not found
Marcos Angeleri,Not found,"DF (CB-FB, right)",Not found,Argentina
Marcos Gullón,Not found,MF,Not found,Spain
Marcos Landeira,Not found,MF,Not found,Not found
Marcos Senna,Not found,MF (CM-DM),Not found,Spain es  Other: Brazil
Marcos Tébar,Not found,DF-MF (FB),Not found,Spain
Mariano Barbosa,Not found,GK,Not found,Argentina
Mario,Not found,DF (CB),Not found,Spain
Mario Arqués,Not found,MF,Not found,Not found
Mario Bermejo,Not found,FW,Not found,Spain
Mario Fernández,Not found,GK,Not found,Spain
Mario Gaspar,Not found,"DF-MF (FB, right)",Not found,Spain
Mario Mandžukić,Not found,FW-MF,Not found,Croatia
Mario Pašalić,Atalanta,FW-MF (AM-CM-DM),30-305d,Croatia hr  Other: Germany
Mario Suárez,Not found,MF (DM),Not found,Spain
Marius Stankevičius,Not found,"DF-MF (CB-FB, right)",Not found,Lithuania
Markel Bergara,Not found,MF (DM),Not found,Spain
Markel Susaeta,Not found,"FW-MF (AM-WM, right)",Not found,Spain
Marko Marin,Not found,FW-MF (AM-WM),Not found,Germany de  Other: Bosnia and Herzegovina
Markus Rosenberg,Not found,FW,Not found,Sweden
Markus Steinhöfer,Not found,"DF-MF (FB, right)",Not found,Germany
Martí Crespí,Not found,DF (CB),Not found,Spain
Martín Cáceres,Libertad,DF (CB-FB),38-248d,Uruguay
Martín Demichelis,Not found,DF-MF (CB-DM),Not found,Argentina
Martín Montoya,Not found,"DF (FB, right)",Not found,Spain
Martin Ødegaard,Arsenal,FW-MF (AM-CM-WM),26-359d,Norway
Martin Petrov,Not found,"FW-MF (WM, left)",Not found,Bulgaria
Marvin Ogunjimi,Not found,FW,Not found,Belgium
Masoud Shojaei,Not found,MF (AM),Not found,Iran
Matías Fritzler,Not found,MF (CM-DM),Not found,Not found
Matías Nahuel,Maccabi Haifa,FW-MF (AM-WM),29-019d,Spain es  Other: Argentina
Mate Bilić,Not found,FW,Not found,Croatia
Mateo Musacchio,Not found,"DF (CB, right)",Not found,Argentina
Matteo Contini,Not found,DF (CB),Not found,Not found
Maurizio Lanzaro,Not found,DF (CB),Not found,Italy
Mauro dos Santos,Not found,"DF (CB, right)",Not found,Not found
Maxwell,Not found,"DF (FB, left)",Not found,Brazil br  Other: Germany
McDonald Mariga,Not found,MF (DM),Not found,Kenya
Mehdi Lacen,Not found,MF (DM),Not found,Algeria dz  Other: France
Mehmet Topal,Not found,DF-MF (CB-CM-DM),Not found,Turkey
Mesut Özil,Not found,MF (AM-WM),Not found,Germany
Michael Essien,Not found,DF-MF,Not found,Ghana
Michael Jakobsen,Not found,DF (CB-FB),Not found,Denmark
Michael Krohn-Dehli,Not found,FW-MF (CM-WM),Not found,Denmark
Michael Pereira,Not found,FW-MF (AM-WM),Not found,Not found
Michel,Not found,"DF (FB, right)",Not found,Not found
Michu,Not found,FW-MF (AM),Not found,Spain
Miguel Ángel Moyá,Not found,GK,Not found,Spain
Miguel Ángel Nieto,Not found,"MF (WM, right)",Not found,Not found
Miguel de las Cuevas,Not found,MF (AM),Not found,Spain
Miguel Flaño,Not found,DF (CB),Not found,Spain
Miguel Monteiro,Not found,"DF (FB, right)",Not found,Portugal
Miguel Pallardó,Not found,MF (DM),Not found,Spain
Miguel Torres,Not found,DF (CB-FB),Not found,Spain
Mike Havenaar,Not found,FW,Not found,Japan
Mikel Aranburu,Not found,MF (AM),Not found,Not found
Mikel Arruabarrena,Not found,FW,Not found,Spain
Mikel Balenziaga,Not found,"DF (FB, left)",Not found,Spain
Mikel González,Not found,DF (CB),Not found,Not found
Mikel Labaka,Not found,DF (CB),Not found,Not found
Mikel Rico,Not found,MF (CM-DM),Not found,Not found
Mikel Saizar,Not found,GK,Not found,Not found
