player_name,current_club,position,age,nationality
Alfred N'Diaye,Not found,DF-MF (CM-DM),Not found,Senegal sn  Other: France
Alfredo Ortuño,Cartagena,DF-FW,34-324d,Not found
Allan Nyom,Getafe,"DF-MF (FB, right)",37-215d,Cameroon cm  Other: France
Aloys Nong,Not found,FW,Not found,Cameroon
Aly Cissokho,Lamphun Warrior FC,"DF (FB, left)",38-087d,France
Anaitz Arbilla,Eibar,"DF (CB-FB, left)",38-210d,Not found
Ander Capa,Not found,"DF-MF (FB-WM, right)",Not found,Not found
Ander Herrera,Boca Juniors,"MF (AM-CM-DM-WM, right)",36-119d,Spain
Ander Iturraspe,Not found,MF (DM),Not found,Spain
Anderson Conceição,Boavista SC,DF (CB),36-048d,Not found
Andoni Iraola,Not found,"DF-MF (FB, right)",Not found,Spain
André Castro,Porto,MF (AM-CM-DM),37-253d,Portugal
André Gomes,Lille,MF (CM-DM),32-134d,Portugal
André Santos,Varzim,MF (CM-DM),36-284d,Portugal
Andrés Fernández,Almería,GK,38-359d,Not found
Andrés Guardado,Not found,"DF-FW-MF (CM-DM-FB-WM, left)",Not found,Mexico
Andrés Iniesta,Not found,"MF (AM-CM, left)",Not found,Spain
Andrés Palop,Not found,GK,Not found,Spain
Andrés Túñez,Not found,DF (CB),Not found,Venezuela
Andreas Ivanschitz,Not found,MF (AM),Not found,Austria
Andreu Fontàs,Not found,"DF (CB, left)",Not found,Spain
Andrija Delibašić,Not found,FW,Not found,Montenegro
Anthony Annan,Not found,MF (DM),Not found,Ghana
Antoine Griezmann,Atlético Madrid,FW-MF (AM-WM),34-265d,France
Antonio Adán,Esteghlal Khuz,GK,38-212d,Spain
Antonio Amaya,Not found,DF (CB),Not found,Not found
Antonio Barragán,Not found,"DF-MF (FB, right)",Not found,Spain
Antonio Cotán,Not found,MF (AM),Not found,Spain
Antonio Floro Flores,Not found,FW,Not found,Italy
Antonio López,Not found,"DF-MF (FB, left)",Not found,Spain
Antonio Luna,Not found,"DF (FB, left)",Not found,Spain
Antonio Marín,CD Estepona,"DF (FB, right)",29-177d,Spain
Antonio Rukavina,Not found,"DF (CB-FB, right)",Not found,Serbia
Antonio Tomás,Not found,MF (CM-DM),Not found,Not found
Apoño,Not found,MF (CM),Not found,Not found
Arda Turan,Not found,FW-MF (AM-WM),Not found,Turkey
Ariel Nahuelpán,Santa Cruz (PE),FW,38-057d,Not found
Aritz Aduriz,Not found,FW,Not found,Spain
Aritz Elustondo,Real Sociedad,"DF (CB-FB, right)",31-258d,Spain
Aritz López Garai,Not found,MF (CM),Not found,Not found
Arouna Koné,Not found,FW,Not found,Côte d'Ivoire
Arthur Boka,Not found,"DF (FB, left)",Not found,Côte d'Ivoire
Asier del Horno,Not found,"DF (FB, left)",Not found,Spain
Asier Illarramendi,Kitchee SC,MF (CM-DM),35-278d,Spain
Asier Riesgo,Not found,GK,Not found,Spain
Augusto Fernández,Not found,MF (WM),Not found,Argentina
Aymeric Laporte,Athletic Club,"DF (CB, left)",31-198d,Spain es  Other: France
Ayoze Díaz Díaz,Not found,"DF-MF (FB, left)",Not found,Not found
Ayoze García,Not found,"DF-MF (AM-FB, left)",Not found,Not found
Aythami Artiles,Not found,DF (CB),Not found,Spain
Baba Diawara,Not found,FW,Not found,Not found
Bacari,Not found,FW,Not found,Gambia gm  Other: Spain
Baltasar Rigo,Not found,DF (CB),Not found,Not found
Bartłomiej Pawłowski,Widzew Łódź,FW-MF (AM-WM),33-028d,Poland
Beñat Etxebarria,Not found,MF (CM-DM),Not found,Spain
Bebé,Ibiza,FW-MF (AM-WM),35-152d,Cape Verde cv  Other: Portugal
Benoît Trémoulinas,Not found,"DF (FB, left)",Not found,France
Bernardo Espinosa,Marbella,DF (CB),36-153d,Not found
Beto,Not found,GK,Not found,Portugal
Bobley Anderson,Not found,MF (AM),Not found,Not found
Bojan Jokić,Not found,"DF-MF (CB-FB, left)",Not found,Slovenia
Bojan Krkić,Not found,FW-MF (AM-WM),Not found,Spain
Borja Ekiza,Not found,DF (CB),Not found,Not found
Borja Fernández,Lincoln Red Imps FC,MF,30-117d,Spain
Borja Fernández,Not found,MF (CM-DM),Not found,Spain
Borja Gómez Pérez,Not found,"DF (CB-FB, left)",Not found,Not found
Borja García,Not found,DF,Not found,Spain
Borja García,Not found,"FW-MF (AM, left)",Not found,Spain
Borja Iglesias,Celta Vigo,FW,32-328d,Spain
Borja López,AC Bellinzona,DF (CB),31-312d,Spain
Borja Oubiña,Not found,MF (DM),Not found,Spain
Borja Valero,Not found,MF (AM-CM-DM),Not found,Spain
Borja Viguera,Not found,FW,Not found,Not found
Braian Rodríguez,Not found,FW,Not found,Not found
Brandon,Not found,FW-MF,Not found,Not found
Braulio Nóbrega,Not found,FW,Not found,Spain
Brayan Angulo,Not found,"DF-MF (FB-WM, left)",Not found,Colombia
Bruno,Not found,"DF (FB, right)",Not found,Not found
Bruno Gama,Not found,FW-MF (AM-WM),Not found,Portugal
Bruno Soriano,Not found,MF (CM-DM),Not found,Spain
Bruno Zuculini,Racing Club,MF (CM-DM),32-253d,Argentina
Bryan Rabello,O'Higgins,FW-MF (AM),31-209d,Chile
César Sánchez,Not found,GK,Not found,Spain
Cala,Not found,MF,Not found,Not found
Cala,Not found,"DF (CB, left)",Not found,Spain
Cani,Not found,MF (AM-WM),Not found,Not found
Carles Gil,New England Revolution,FW-MF (AM-WM),33-019d,Spain
Carles Planas,Not found,"DF (FB, left)",Not found,Spain
Carles Puyol,Not found,DF (CB),Not found,Spain
Carlos Aranda,Not found,FW,Not found,Spain
Carlos Bacca,Junior,FW,39-094d,Colombia
Carlos Bellvís,Not found,"DF (FB, left)",Not found,Not found
Carlos Caballero,Not found,MF,Not found,Not found
Carlos Clerc,Not found,"DF-MF (FB, left)",Not found,Not found
Carlos Diogo,Not found,"DF-MF (DM-FB, right)",Not found,Uruguay
Carlos Fernández,Mirandés,FW,29-203d,Spain
Carlos García,Bruno's Magpies FC,MF,32-085d,Spain
Carlos García,Not found,DF (CB),Not found,Spain
Carlos Gurpegui,Not found,DF-MF (CB-DM),Not found,Not found
Carlos Kameni,Not found,GK,Not found,Cameroon
Carlos Marchena,Not found,DF-MF (CB-DM),Not found,Spain
Carlos Martínez,Not found,"DF (FB, right)",Not found,Not found
Carlos Martins,Not found,MF (AM),Not found,Portugal
Carlos Peña,Not found,"DF (FB, left)",Not found,Spain
Carlos Sánchez,Not found,DF-MF (CM-DM),Not found,Colombia
Carlos Selfa,Not found,MF (CM),Not found,Not found
Carlos Tomás,Not found,DF (CB),Not found,Not found
Carlos Vela,Not found,FW-MF,Not found,Mexico
Carlos Vigaray,Teruel,"DF (FB, right)",31-095d,Not found
Carmelo González,Not found,MF (AM),Not found,Spain
Casemiro,Manchester United,MF (CM-DM),33-291d,Brazil
Casto,Not found,GK,Not found,Not found
Cata Díaz,Not found,DF (CB),Not found,Argentina
Cedrick Mabwati,Not found,FW-MF (WM),Not found,Congo DR
Celso Borges,Alajuelense,FW-MF (AM-CM-DM),37-198d,Costa Rica
Cesc Fàbregas,Not found,FW-MF (AM-CM-DM),Not found,Spain
Cezary Wilk,Not found,MF (DM),Not found,Poland
Charles,Not found,FW,Not found,Not found
Charlie I'Anson,Not found,DF (CB),Not found,Not found
Charlie Took,Not found,DF (CB),Not found,Not found
Chechu,Not found,DF (CB),Not found,Not found
Chico Flores,Not found,DF (CB),Not found,Spain
Chori Domínguez,Not found,FW-MF (AM),Not found,Argentina
Chory Castro,Not found,"FW-MF (AM-WM, left)",Not found,Uruguay
Christian,Not found,"DF (CB-FB, left)",Not found,Not found
Christian Alfonso,Not found,MF (AM),Not found,Not found
Christian Bravo,Antofagasta,"FW-MF (WM, right)",32-071d,Chile
Christian Cueva,Emelec,MF (AM-WM),34-018d,Peru
Christian Lell,Not found,"DF (FB, right)",Not found,Germany
Chuli,Not found,FW-MF,Not found,Spain
Cicinho,Not found,"DF (FB, right)",Not found,Brazil
Cicinho,Not found,"DF (FB, right)",Not found,Not found
Ciprian Marica,Not found,FW,Not found,Romania
Claudio Bravo,Not found,GK,Not found,Chile
Claudio Morel Rodríguez,Not found,"DF (CB-FB, left)",Not found,Paraguay
Coke,Not found,"DF-MF (FB, right)",Not found,Spain
Corona,Not found,MF (AM-CM),Not found,Spain
Cristóbal,Not found,DF-MF (CM),Not found,Not found
Cristhian Stuani,Girona,FW-MF,39-060d,Uruguay
Cristián Zapata,Atletico Bucaramanga,DF (CB),39-072d,Colombia
Cristian Álvarez,Not found,GK,Not found,Not found
Cristian Ansaldi,Not found,"DF-MF (FB-WM, left)",Not found,Argentina
Cristian Bustos,Not found,MF (DM),Not found,Not found
Cristian Gómez,Not found,MF,Not found,Not found
Cristian Herrera,Deportivo La Coruña,FW-MF (AM),34-273d,Not found
Cristian Hidalgo,Not found,"FW-MF (AM-WM, right)",Not found,Not found
Cristian Lobato,Not found,FW-MF (WM),Not found,Not found
Cristian Portilla,Not found,MF (AM),Not found,Spain
Cristian Pulhac,Not found,"DF (FB, left)",Not found,Romania
Cristian Rodríguez,Not found,"MF (AM-WM, left)",Not found,Uruguay
Cristian Săpunaru,Not found,DF (CB-FB),Not found,Romania
Cristian Tello,Al Oruba,"FW-MF (AM-WM, left)",34-122d,Spain
Cristiano Ronaldo,Al Nasr (KSA),FW-MF (WM),40-309d,Portugal
Dídac Vilà,Not found,"DF (FB, left)",Not found,Spain
Damià Abella,Not found,"DF-MF (FB-WM, right)",Not found,Not found
Damián Suárez,Penarol,"DF-MF (FB, right)",37-228d,Uruguay
Damien Perquis,Not found,DF (CB),Not found,Poland pl  Other: France
Dani Alves,Not found,"DF-MF (CM-FB, right)",Not found,Brazil
Dani Aquino,UCAM Murcia,"FW-MF (WM, left)",35-137d,Spain
Dani Benítez,Not found,"MF (WM, left)",Not found,Not found
Dani Carvajal,Real Madrid,"DF (FB, right)",33-334d,Spain
Dani Ceballos,Real Madrid,MF (CM-WM),29-126d,Spain
Dani Estrada,Not found,"DF-MF (FB-WM, right)",Not found,Not found
Dani Güiza,Not found,FW,Not found,Spain
Dani García,Olympiacos,MF (CM-DM),35-201d,Not found
Dani Giménez,Not found,GK,Not found,Not found
Dani Hernández,Not found,GK,Not found,Venezuela
Dani Nieto,UD Poblense,"FW-MF (WM, left)",34-221d,Spain
Dani Osvaldo,Not found,FW,Not found,Italy it  Other: Argentina
Dani Romera,Not found,FW,Not found,Not found
Daniel Aranzubia,Not found,GK,Not found,Spain
Daniel Candeias,Adanaspor,"FW-MF (AM-WM, right)",37-289d,Portugal
Daniel Carriço,Not found,DF-MF (CB-DM),Not found,Portugal
Daniel Larsson,Not found,FW-MF (AM-WM),Not found,Sweden
Daniel Pacheco,Wisła Płock,FW-MF (AM-WM),34-340d,Spain
Daniel Parejo,Villarreal,MF (AM-CM-DM),36-239d,Spain
Daniel Pinillos,Not found,"DF (FB, left)",Not found,Not found
Daniel Sotres,Not found,GK,Not found,Spain
Danijel Pranjić,Not found,"DF-MF (FB-WM, left)",Not found,Croatia
Dariusz Dudka,Not found,DF-MF (DM-FB),Not found,Poland
Darwin Machís,Universidad Central de Venezuela FC,"FW-MF (AM-WM, left)",32-307d,Venezuela
David Abraham,Not found,"DF (CB, right)",Not found,Argentina
David Albelda,Not found,DF-MF (DM),Not found,Spain
David Barral,Not found,FW,Not found,Not found
David Cerrajería,Not found,"DF (FB, left & right)",Not found,Not found
David Cobeño,Not found,GK,Not found,Not found
