player_name,transfermarkt_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation
Matthew Etherington,https://www.transfermarkt.com/matthew-etherington/profil/spieler/3788,Success,3788,spieler,Matthew Etherington,14/08/1981 (44),Truro,"1,78 m",England,Midfield - Left Midfield,left,Not found,Stoke City,1/7/2014,-,Not found,4,146,27,Yes,1/7/2014,Not found,2,first scrap players transfer
Dickson Etuhu,https://www.transfermarkt.com/dickson-etuhu/profil/spieler/14011,Success,14011,spieler,Dickson Etuhu,08/06/1982 (43),Kano,"1,89 m",Nigeria  England,Midfield - Defensive Midfield,right,Not found,Rössjöholm,31/12/2017,-,Not found,6,275,46,Yes,31/12/2017,Not found,5,first scrap players transfer
Jason Euell,https://www.transfermarkt.com/jason-euell/profil/spieler/3092,Success,3092,spieler,Jason Euell,06/02/1977 (48),London,"1,80 m",Jamaica  England,Attack - Left Winger,Not found,Not found,Charlton,1/7/2012,-,Not found,0,0,0,Yes,1/7/2012,Not found,0,first scrap players transfer
Jonny Evans,https://www.transfermarkt.com/jonny-evans/profil/spieler/42412,Success,42412,spieler,Jonny Evans,03/01/1988 (37),Belfast,"1,88 m",Northern Ireland,Defender - Centre-Back,both,Not found,Man Utd,1/7/2025,-,Nike,30,953,187,Yes,1/7/2025,Not found,14,first scrap players transfer
Ian Evatt,https://www.transfermarkt.com/ian-evatt/profil/spieler/37127,Success,37127,spieler,Ian Evatt,19/11/1981 (44),Coventry,"1,91 m",England,Defender - Centre-Back,right,Not found,Chesterfield,1/7/2018,-,Not found,0,0,0,Yes,1/7/2018,Not found,0,first scrap players transfer
Patrice Evra,https://www.transfermarkt.com/patrice-evra/profil/spieler/5285,Success,5285,spieler,Patrice Evra,15/05/1981 (44),Dakar,"1,74 m",France  Senegal,Defender - Left-Back,left,Not found,West Ham,29/07/2019,-,Nike,7,111,26,Yes,29/07/2019,Not found,4,first scrap players transfer
Łukasz Fabiański,https://www.transfermarkt.com/ukasz-fabiaski/profil/spieler/29692,Success,29692,spieler,Lukasz Fabianski,18/04/1985 (40),Kostrzyn nad Odrą,"1,90 m",Poland,Goalkeeper,right,Not found,West Ham,10/9/2025,30/06/2026,adidas,16,651,129,No,Not found,22,9,first scrap players transfer
Fábio,https://www.transfermarkt.com/fbio/profil/spieler/5775,Success,5775,spieler,Fabio Cannavaro,13/09/1973 (52),Napoli,"1,76 m",Italy,Defender - Centre-Back,right,Not found,Bengal Tuskers,1/3/2012,-,Not found,1,91,8,Yes,1/3/2012,Not found,1,first scrap players transfer
Cesc Fàbregas,https://www.transfermarkt.com/cesc-fbregas/profil/spieler/8806,Success,8806,spieler,Cesc Fàbregas,04/05/1987 (38),Arenys de Mar,"1,79 m",Spain,Midfield - Central Midfield,right,Not found,Como,1/7/2023,-,Puma,28,867,179,Yes,1/7/2023,Not found,13,first scrap players transfer
Keith Fahey,https://www.transfermarkt.com/keith-fahey/profil/spieler/29878,Success,29878,spieler,Keith Fahey,15/01/1983 (42),Dublin,"1,79 m",Ireland,Midfield - Central Midfield,right,Not found,Bluebell United,1/10/2017,-,Not found,3,126,23,Yes,1/10/2017,Not found,3,first scrap players transfer
Julien Faubert,https://www.transfermarkt.com/julien-faubert/profil/spieler/18093,Success,18093,spieler,Julien Faubert,01/08/1983 (42),Le Havre,"1,80 m",Martinique  France,Defender - Right-Back,right,Not found,Fréjus-St-Raph.,22/12/2019,-,Not found,3,263,42,Yes,22/12/2019,Not found,2,first scrap players transfer
Abdoulaye Faye,https://www.transfermarkt.com/abdoulaye-faye/profil/spieler/6107,Success,6107,spieler,Abdoulaye Faye,26/02/1978 (47),Rufisque,"1,87 m",Senegal  France,Defender - Centre-Back,right,Not found,Sabah FA,1/1/2016,-,Not found,1,8,1,Yes,1/1/2016,Not found,1,first scrap players transfer
Marouane Fellaini,https://www.transfermarkt.com/marouane-fellaini/profil/spieler/39679,Success,39679,spieler,Marouane Fellaini,22/11/1987 (38),Etterbeek,"1,94 m",Belgium  Morocco,Midfield - Central Midfield,right,Not found,SD Luneng,3/2/2024,-,New Balance,17,752,109,Yes,3/2/2024,Not found,9,first scrap players transfer
Anton Ferdinand,https://www.transfermarkt.com/anton-ferdinand/profil/spieler/3698,Success,3698,spieler,Anton Ferdinand,18/02/1985 (40),London,"1,85 m",England  St. Lucia,Defender - Centre-Back,right,Not found,St. Mirren,1/7/2019,-,Not found,4,95,13,Yes,1/7/2019,Not found,4,first scrap players transfer
Rio Ferdinand,https://www.transfermarkt.com/rio-ferdinand/profil/spieler/3235,Success,3235,spieler,Rio Ferdinand,07/11/1978 (47),London,"1,89 m",England,Defender - Centre-Back,right,Not found,QPR,1/7/2015,-,Nike,11,351,81,Yes,1/7/2015,Not found,6,first scrap players transfer
Barry Ferguson,https://www.transfermarkt.com/barry-ferguson/profil/spieler/10251,Success,10251,spieler,Barry Ferguson,02/02/1978 (47),Hamilton,"1,78 m",Scotland,Midfield - Defensive Midfield,right,Not found,Clyde FC,8/4/2015,-,Not found,4,313,51,Yes,8/4/2015,Not found,3,first scrap players transfer
Shane Ferguson,https://www.transfermarkt.com/shane-ferguson/profil/spieler/62052,Success,62052,spieler,Shane Ferguson,12/07/1991 (34),Derry,"1,75 m",Northern Ireland,Midfield - Left Midfield,left,Not found,Derry City,1/1/2025,-,Not found,0,0,0,No,Not found,3,0,first scrap players transfer
Paulo Ferreira,https://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832,Success,9832,spieler,Paulo Ferreira,18/01/1979 (46),Cascais,"1,83 m",Portugal,Defender - Right-Back,right,Not found,Chelsea,1/7/2013,-,Not found,1,199,33,Yes,1/7/2013,Not found,1,first scrap players transfer
Maynor Figueroa,https://www.transfermarkt.com/maynor-figueroa/profil/spieler/62240,Success,62240,spieler,Maynor Figueroa,02/05/1983 (42),Jutiapa,"1,82 m",Honduras,Defender - Left-Back,left,Not found,Houston,1/1/2022,-,Not found,4,126,18,Yes,1/1/2022,Not found,4,first scrap players transfer
Jon Flanagan,https://www.transfermarkt.com/jon-flanagan/profil/spieler/145922,Success,145922,spieler,Jon Flanagan,01/01/1993 (32),Liverpool,"1,81 m",England  Ireland,Defender - Right-Back,right,Not found,HB Köge,1/7/2022,-,Not found,7,761,119,Yes,1/7/2022,Not found,4,first scrap players transfer
Darren Fletcher,https://www.transfermarkt.com/darren-fletcher/profil/spieler/3547,Success,3547,spieler,Darren Fletcher,01/02/1984 (41),Dalkeith,"1,84 m",Scotland,Midfield - Central Midfield,right,Not found,Stoke City,1/1/2020,-,Not found,6,603,105,Yes,1/1/2020,Not found,5,first scrap players transfer
Steven Fletcher,https://www.transfermarkt.com/steven-fletcher/profil/spieler/35099,Success,35099,spieler,Steven Fletcher,26/03/1987 (38),Shrewsbury,"1,85 m",Scotland  England,Attack - Centre-Forward,left,Not found,Wrexham,29/09/2025,-,Not found,7,274,36,Yes,29/09/2025,Not found,6,first scrap players transfer
Kevin Foley,https://www.transfermarkt.com/kevin-foley/profil/spieler/33491,Success,33491,spieler,Kevin Foley,01/11/1984 (41),Luton,"1,83 m",Ireland  England,Defender - Right-Back,right,Not found,Billericay,1/7/2018,-,Not found,2,160,30,Yes,1/7/2018,Not found,1,first scrap players transfer
Adam Forshaw,https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257,Success,121257,spieler,Adam Forshaw,08/10/1991 (34),Liverpool,"1,75 m",England,Midfield - Central Midfield,right,Not found,Blackburn,11/1/2025,30/06/2026,Not found,3,764,86,No,Not found,28,3,first scrap players transfer
Marc-Antoine Fortuné,https://www.transfermarkt.com/marc-antoine-fortun/profil/spieler/5652,Success,5652,spieler,Marc-Antoine Fortuné,02/07/1981 (44),Cayenne,N/A,French Guiana  France,Attack - Centre-Forward,N/A,Not found,UR La Louvière,1/1/2022,-,Not found,2,87,19,Yes,1/1/2022,Not found,2,first scrap players transfer
Ben Foster,https://www.transfermarkt.com/ben-foster/profil/spieler/13572,Success,13572,spieler,Ben Foster,03/04/1983 (42),Leamington Spa,"1,93 m",England,Goalkeeper,left,Not found,Wrexham,21/08/2023,-,Not found,7,801,122,Yes,21/08/2023,Not found,5,first scrap players transfer
Brad Friedel,https://www.transfermarkt.com/brad-friedel/profil/spieler/3476,Success,3476,spieler,Brad Friedel,18/05/1971 (54),"Lakewood, Ohio","1,91 m",United States  England,Goalkeeper,right,Not found,Tottenham,1/7/2015,-,Not found,0,0,0,Yes,1/7/2015,Not found,0,first scrap players transfer
Ricardo Fuller,https://www.transfermarkt.com/ricardo-fuller/profil/spieler/14014,Success,14014,spieler,Ricardo Fuller,31/10/1979 (46),Kingston,"1,91 m",Jamaica,Attack - Centre-Forward,right,Not found,Henley Town FC,1/7/2021,-,Not found,1,224,39,Yes,1/7/2021,Not found,1,first scrap players transfer
Danny Gabbidon,https://www.transfermarkt.com/danny-gabbidon/profil/spieler/12709,Success,12709,spieler,Danny Gabbidon,08/08/1979 (46),Cwmbran,"1,78 m",Wales  Jamaica,Defender - Centre-Back,right,Not found,Panteg,30/04/2017,-,Not found,3,250,46,Yes,30/04/2017,Not found,3,first scrap players transfer
William Gallas,https://www.transfermarkt.com/william-gallas/profil/spieler/3156,Success,3156,spieler,William Gallas,17/08/1977 (48),Asnières-sur-Seine,"1,82 m",France  Guadeloupe,Defender - Centre-Back,right,Not found,Perth Glory,16/10/2014,-,Not found,12,306,66,Yes,16/10/2014,Not found,6,first scrap players transfer
Morten Gamst Pedersen,https://www.transfermarkt.com/morten-gamst-pedersen/profil/spieler/22741,Success,22741,spieler,Morten Gamst Pedersen,08/09/1981 (44),Vadsø,"1,83 m",Norway,Midfield - Central Midfield,left,Not found,Ranheim,1/1/2024,-,Not found,1,29,8,Yes,1/1/2024,Not found,1,first scrap players transfer
Craig Gardner,https://www.transfermarkt.com/craig-gardner/profil/spieler/37171,Success,37171,spieler,Craig Gardner,25/11/1986 (39),Solihull,"1,76 m",England,Midfield - Central Midfield,right,Not found,Birmingham,1/7/2020,-,Not found,1,24,4,Yes,1/7/2020,Not found,1,first scrap players transfer
Ricardo Gardner,https://www.transfermarkt.com/ricardo-gardner/profil/spieler/6264,Success,6264,spieler,Ricardo Gardner,25/09/1978 (47),", Saint Andrew Parish",N/A,Jamaica,Defender - Left-Back,N/A,Not found,Bolton,1/7/2012,-,Not found,4,350,62,Yes,1/7/2012,Not found,4,first scrap players transfer
Zoltán Gera,https://www.transfermarkt.com/zoltn-gera/profil/spieler/18324,Success,18324,spieler,Zoltán Gera,22/04/1979 (46),Pécs,"1,83 m",Hungary,Midfield - Attacking Midfield,right,Not found,Ferencváros,1/7/2018,-,Mizuno,5,556,80,Yes,1/7/2018,Not found,5,first scrap players transfer
Steven Gerrard,https://www.transfermarkt.com/steven-gerrard/profil/spieler/3109,Success,3109,spieler,Steven Gerrard,30/05/1980 (45),Whiston,"1,83 m",England,Midfield - Central Midfield,right,Not found,LA Galaxy,1/1/2017,-,adidas,18,474,97,Yes,1/1/2017,Not found,9,first scrap players transfer
Kieran Gibbs,https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792,Success,44792,spieler,Kieran Gibbs,26/09/1989 (36),London,"1,81 m",England,Defender - Left-Back,left,Not found,Miami,23/02/2023,-,adidas,13,513,121,Yes,23/02/2023,Not found,9,first scrap players transfer
Darron Gibson,https://www.transfermarkt.com/darron-gibson/profil/spieler/42413,Success,42413,spieler,Darron Gibson,25/10/1987 (38),Derry,"1,83 m",Ireland  Northern Ireland,Midfield - Central Midfield,right,Not found,Wythenshawe AFC,6/2/2022,-,Not found,9,772,123,Yes,6/2/2022,Not found,7,first scrap players transfer
Ryan Giggs,https://www.transfermarkt.com/ryan-giggs/profil/spieler/3406,Success,3406,spieler,Ryan Giggs,29/11/1973 (51),Cardiff,"1,79 m",Wales,Midfield - Left Midfield,left,Not found,Man Utd,1/7/2014,-,Not found,6,151,34,Yes,1/7/2014,Not found,5,first scrap players transfer
Matt Gilks,https://www.transfermarkt.com/matt-gilks/profil/spieler/48254,Success,48254,spieler,Matt Gilks,04/06/1982 (43),Rochdale,"1,85 m",Scotland  England,Goalkeeper,right,Not found,Bolton,10/1/2022,-,Not found,3,417,61,Yes,10/1/2022,Not found,2,first scrap players transfer
Gaël Givet,https://www.transfermarkt.com/gal-givet/profil/spieler/5286,Success,5286,spieler,Gaël Givet,09/10/1981 (44),Arles,"1,81 m",France,Defender - Centre-Back,left,Not found,Tours FC,1/7/2016,-,Not found,3,67,12,Yes,1/7/2016,Not found,2,first scrap players transfer
Steve Gohouri,https://www.transfermarkt.com/steve-gohouri/profil/spieler/19857,Success,19857,spieler,Steve Gohouri,8/2/1981,Treichville,N/A,Cote d'Ivoire  France,Defender - Centre-Back,N/A,Not found,Not found,Not found,Not found,Not found,9,174,28,No,Not found,Not found,4,first scrap players transfer
Heurelho Gomes,https://www.transfermarkt.com/heurelho-gomes/profil/spieler/19059,Success,19059,spieler,Heurelho Gomes,15/02/1981 (44),João Pinheiro,"1,91 m",Brazil,Goalkeeper,right,Not found,Watford,16/10/2020,-,Not found,3,226,29,Yes,16/10/2020,Not found,3,first scrap players transfer
Jordi Gómez,https://www.transfermarkt.com/jordi-gmez/profil/spieler/39010,Success,39010,spieler,Jordi Gómez,24/05/1985 (40),Barcelona,"1,78 m",Spain,Midfield - Central Midfield,left,Not found,Omonia 29 Maiou,1/7/2023,-,Not found,3,459,29,Yes,1/7/2023,Not found,3,first scrap players transfer
Craig Gordon,https://www.transfermarkt.com/craig-gordon/profil/spieler/12589,Success,12589,spieler,Craig Gordon,31/12/1982 (42),Edinburgh,"1,93 m",Scotland,Goalkeeper,left,Not found,Heart of Midl.,1/7/2020,31/05/2026,Not found,14,1894,210,No,Not found,1,10,first scrap players transfer
Dan Gosling,https://www.transfermarkt.com/dan-gosling/profil/spieler/44983,Success,44983,spieler,Dan Gosling,01/02/1990 (35),Brixham,"1,80 m",England,Midfield - Central Midfield,right,Not found,Notts County,6/8/2025,-,Nike,10,874,123,Yes,6/8/2025,Not found,6,first scrap players transfer
Hérold Goulon,https://www.transfermarkt.com/hrold-goulon/profil/spieler/41978,Success,41978,spieler,Hérold Goulon,12/06/1988 (37),Paris,"1,95 m",France,Defender - Centre-Back,right,Not found,Without Club,1/1/2024,-,Not found,1,292,39,No,Not found,Not found,1,first scrap players transfer
Elliot Grandin,https://www.transfermarkt.com/elliot-grandin/profil/spieler/56785,Success,56785,spieler,Elliot Grandin,17/10/1987 (38),Caen,"1,80 m",France  DR Congo,Midfield - Attacking Midfield,right,Not found,ES Cannet,1/7/2023,-,Not found,0,0,0,Yes,1/7/2023,Not found,0,first scrap players transfer
Robert Green,https://www.transfermarkt.com/robert-green/profil/spieler/11680,Success,11680,spieler,Rob Green,18/01/1980 (45),Chertsey,"1,91 m",England,Goalkeeper,right,Not found,Chelsea,1/7/2019,-,New Balance,2,38,7,Yes,1/7/2019,Not found,2,first scrap players transfer
Jonathan Greening,https://www.transfermarkt.com/jonathan-greening/profil/spieler/3865,Success,3865,spieler,Jonathan Greening,02/01/1979 (46),Scarborough,"1,80 m",England,Midfield - Central Midfield,right,Not found,Tadcaster,1/5/2017,-,Not found,2,37,8,Yes,1/5/2017,Not found,1,first scrap players transfer
Vince Grella,https://www.transfermarkt.com/vince-grella/profil/spieler/6021,Success,6021,spieler,Vincenzo Grella,05/10/1979 (46),Melbourne,"1,83 m",Australia  Italy,Midfield - Central Midfield,both,Not found,Melbourne Heart,28/01/2013,-,Not found,4,336,62,Yes,28/01/2013,Not found,2,first scrap players transfer
Adlène Guedioura,https://www.transfermarkt.com/adlne-guedioura/profil/spieler/74768,Success,74768,spieler,Adlène Guédioura,12/11/1985 (40),La Roche-sur-Yon,"1,78 m",Algeria  France,Midfield - Defensive Midfield,right,Not found,CR Belouizdad,11/3/2024,-,Not found,9,634,93,Yes,11/3/2024,Not found,7,first scrap players transfer
Magaye Gueye,https://www.transfermarkt.com/magaye-gueye/profil/spieler/91956,Success,91956,spieler,Magaye Gueye,06/07/1990 (35),Nogent-sur-Marne,"1,83 m",Senegal  France,Attack - Centre-Forward,left,Not found,CS Paulesti,13/09/2025,-,Nike,1,179,38,No,Not found,Not found,1,first scrap players transfer
Danny Guthrie,https://www.transfermarkt.com/danny-guthrie/profil/spieler/16716,Success,16716,spieler,Danny Guthrie,18/04/1987 (38),Shrewsbury,"1,76 m",England,Midfield - Central Midfield,right,Not found,Fram Reykjavík,1/1/2022,-,Not found,1,26,3,Yes,1/1/2022,Not found,1,first scrap players transfer
Jonás Gutiérrez,https://www.transfermarkt.com/jons-gutirrez/profil/spieler/26443,Success,26443,spieler,Jonás Gutiérrez,05/07/1983 (42),Sáenz Peña,"1,84 m",Argentina  Italy,Midfield - Left Midfield,right,Not found,Almagro,16/11/2021,-,adidas,5,291,52,Yes,16/11/2021,Not found,4,first scrap players transfer
Eiður Guðjohnsen,https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176,Success,3176,spieler,Eidur Gudjohnsen,15/09/1978 (47),Reykjavík,N/A,Iceland,Attack - Centre-Forward,N/A,Not found,Pune City,10/9/2017,-,Not found,3,253,47,Yes,10/9/2017,Not found,3,first scrap players transfer
Asamoah Gyan,https://www.transfermarkt.com/asamoah-gyan/profil/spieler/26802,Success,26802,spieler,Asamoah Gyan,22/11/1985 (40),Accra,"1,80 m",Ghana,Attack - Centre-Forward,right,Not found,Legon Cities FC,1/7/2022,-,Not found,16,339,45,Yes,1/7/2022,Not found,5,first scrap players transfer
Ali Al-Habsi,https://www.transfermarkt.com/ali-al-habsi/profil/spieler/26633,Success,26633,spieler,Ali Al-Habsi,30/12/1981 (43),Muscat,"1,94 m",Oman,Goalkeeper,right,Not found,West Brom,21/08/2020,-,Not found,1,27,9,Yes,21/08/2020,Not found,1,first scrap players transfer
El Hadji Diouf,https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/54432,Success,54432,spieler,El Hadji Diouf,20/06/1988 (37),Dakar,"1,84 m",Senegal,Midfield - Attacking Midfield,left,Not found,Without Club,1/7/2018,-,Not found,0,0,0,No,Not found,Not found,0,first scrap players transfer
Marcus Hahnemann,https://www.transfermarkt.com/marcus-hahnemann/profil/spieler/4140,Success,4140,spieler,Marcus Hahnemann,15/06/1972 (53),"Seattle, Washington","1,87 m",United States  Germany,Goalkeeper,right,Not found,Seattle,8/12/2014,-,Not found,1,26,4,Yes,8/12/2014,Not found,1,first scrap players transfer
Greg Halford,https://www.transfermarkt.com/greg-halford/profil/spieler/42062,Success,42062,spieler,Greg Halford,08/12/1984 (40),Chelmsford,"1,93 m",England,Defender - Centre-Back,right,Not found,Blyth Spartans,1/7/2025,-,Not found,1,34,6,Yes,1/7/2025,Not found,1,first scrap players transfer
Rafik Halliche,https://www.transfermarkt.com/rafik-halliche/profil/spieler/67815,Success,67815,spieler,Rafik Halliche,02/09/1986 (39),Algier,"1,87 m",Algeria,Defender - Centre-Back,right,Not found,Moreirense,3/8/2020,-,Not found,7,378,45,Yes,3/8/2020,Not found,6,first scrap players transfer
Mark Halstead,https://www.transfermarkt.com/mark-halstead/profil/spieler/99972,Success,99972,spieler,Mark Halstead,17/09/1990 (35),Blackpool,"1,90 m",England,Goalkeeper,right,Not found,Radcliffe,11/7/2025,30/06/2026,Not found,0,0,0,No,Not found,21,0,first scrap players transfer
Adam Hammill,https://www.transfermarkt.com/adam-hammill/profil/spieler/38091,Success,38091,spieler,Adam Hammill,25/01/1988 (37),Liverpool,"1,80 m",England  Ireland,Attack - Right Winger,left,Not found,Litherland,29/01/2025,-,Not found,0,0,0,No,Not found,Not found,0,first scrap players transfer
Brede Hangeland,https://www.transfermarkt.com/brede-hangeland/profil/spieler/25553,Success,25553,spieler,Brede Hangeland,20/06/1981 (44),Houston,"1,99 m",Norway  United States,Defender - Centre-Back,right,Not found,Crystal Palace,5/8/2016,-,Not found,4,156,29,Yes,5/8/2016,Not found,3,first scrap players transfer
Grant Hanley,https://www.transfermarkt.com/grant-hanley/profil/spieler/121385,Success,121385,spieler,Grant Hanley,20/11/1991 (34),Dumfries,"1,88 m",Scotland,Defender - Centre-Back,right,Not found,Hibernian FC,5/8/2025,31/05/2027,Not found,10,574,96,No,Not found,4,4,first scrap players transfer
Marlon Harewood,https://www.transfermarkt.com/marlon-harewood/profil/spieler/10011,Success,10011,spieler,Marlon Harewood,25/08/1979 (46),London,"1,85 m",England  Barbados,Attack - Centre-Forward,right,Not found,Nuneaton,1/7/2016,-,Not found,1,38,4,Yes,1/7/2016,Not found,1,first scrap players transfer
Owen Hargreaves,https://www.transfermarkt.com/owen-hargreaves/profil/spieler/201,Success,201,spieler,Owen Hargreaves,20/01/1981 (44),"Calgary, Alberta",N/A,England  Canada,Midfield - Defensive Midfield,N/A,Not found,Man City,1/7/2012,-,Not found,6,746,168,Yes,1/7/2012,Not found,4,first scrap players transfer
Steve Harper,https://www.transfermarkt.com/steve-harper/profil/spieler/3562,Success,3562,spieler,Steve Harper,14/03/1975 (50),Easington,"1,88 m",England,Goalkeeper,right,Not found,Sunderland,1/7/2016,-,Not found,2,126,19,Yes,1/7/2016,Not found,2,first scrap players transfer
Joe Hart,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,Success,40204,spieler,Joe Hart,19/04/1987 (38),Shrewsbury,"1,96 m",England,Goalkeeper,right,Not found,Celtic,1/7/2024,-,Not found,3,27,8,Yes,1/7/2024,Not found,2,first scrap players transfer
John Heitinga,https://www.transfermarkt.com/john-heitinga/profil/spieler/4315,Success,4315,spieler,John Heitinga,15/11/1983 (42),Alphen aan den Rijn,"1,80 m",Netherlands,Defender - Centre-Back,right,Not found,Ajax,1/2/2016,-,Not found,1,22,4,Yes,1/2/2016,Not found,1,first scrap players transfer
Bjørn Helge Riise,https://www.transfermarkt.com/bjrn-helge-riise/profil/spieler/13485,Success,13485,spieler,Bjørn Helge Riise,21/06/1983 (42),Ålesund,"1,75 m",Norway,Midfield - Central Midfield,right,Not found,Stabæk II,1/4/2024,-,Not found,1,32,8,Yes,1/4/2024,Not found,1,first scrap players transfer
Jordan Henderson,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,Success,61651,spieler,Jordan Henderson,17/06/1990 (35),Sunderland,"1,82 m",England,Midfield - Defensive Midfield,right,Not found,Brentford,15/07/2025,30/06/2027,Not found,25,764,141,No,Not found,6,12,first scrap players transfer
Wayne Hennessey,https://www.transfermarkt.com/wayne-hennessey/profil/spieler/45494,Success,45494,spieler,Wayne Hennessey,24/01/1987 (38),Beaumaris,"1,98 m",Wales,Goalkeeper,right,Not found,Nott'm Forest,16/07/2025,-,Nike,9,632,108,Yes,16/07/2025,Not found,6,first scrap players transfer
Karl Henry,https://www.transfermarkt.com/karl-henry/profil/spieler/13582,Success,13582,spieler,Karl Henry,26/11/1982 (42),Wolverhampton,"1,84 m",England  Jamaica,Midfield - Defensive Midfield,right,Not found,Bradford,5/8/2019,-,Not found,1,28,4,Yes,5/8/2019,Not found,1,first scrap players transfer
Chris Herd,https://www.transfermarkt.com/chris-herd/profil/spieler/61572,Success,61572,spieler,Chris Herd,04/04/1989 (36),Melbourne,"1,88 m",Australia  Scotland,Midfield - Defensive Midfield,right,Not found,Terengganu FC,1/7/2021,-,Not found,5,294,47,Yes,1/7/2021,Not found,3,first scrap players transfer
Javier Hernández,https://www.transfermarkt.com/javier-hernndez/profil/spieler/50935,Success,50935,spieler,Chicharito,01/06/1988 (37),Guadalajara,"1,75 m",Mexico,Attack - Centre-Forward,right,Not found,Chivas,24/01/2024,-,Puma,18,676,98,No,Not found,14,9,first scrap players transfer
Emile Heskey,https://www.transfermarkt.com/emile-heskey/profil/spieler/3142,Success,3142,spieler,Emile Heskey,11/01/1978 (47),Leicester,"1,88 m",England  Antigua and Barbuda,Attack - Centre-Forward,right,Not found,Bolton,1/7/2016,-,Not found,7,118,24,Yes,1/7/2016,Not found,4,first scrap players transfer
Tony Hibbert,https://www.transfermarkt.com/tony-hibbert/profil/spieler/3614,Success,3614,spieler,Tony Hibbert,20/02/1981 (44),Liverpool,"1,73 m",England,Defender - Right-Back,right,Not found,Everton,1/7/2016,-,Umbro,6,732,122,Yes,1/7/2016,Not found,4,first scrap players transfer
Danny Higginbotham,https://www.transfermarkt.com/danny-higginbotham/profil/spieler/3686,Success,3686,spieler,Danny Higginbotham,29/12/1978 (46),Manchester,"1,85 m",Gibraltar  England,Defender - Centre-Back,left,Not found,Altrincham,8/1/2014,-,Not found,3,197,25,Yes,8/1/2014,Not found,3,first scrap players transfer
Zavon Hines,https://www.transfermarkt.com/zavon-hines/profil/spieler/67081,Success,67081,spieler,Zavon Hines,27/12/1988 (36),Kingston,"1,78 m",Jamaica  England,Attack - Right Winger,right,Not found,Bromley,4/2/2019,-,Not found,2,93,14,Yes,4/2/2019,Not found,1,first scrap players transfer
Thomas Hitzlsperger,https://www.transfermarkt.com/thomas-hitzlsperger/profil/spieler/1573,Success,1573,spieler,Thomas Hitzlsperger,05/04/1982 (43),München,"1,84 m",Germany,Midfield - Central Midfield,left,Not found,Everton,1/7/2013,-,Not found,6,423,100,Yes,1/7/2013,Not found,4,first scrap players transfer
Alexander Hleb,https://www.transfermarkt.com/alexander-hleb/profil/spieler/597,Success,597,spieler,Aleksandr Hleb,01/05/1981 (44),Minsk,N/A,Belarus,Midfield - Attacking Midfield,N/A,Not found,Isloch,13/03/2020,-,Not found,19,545,100,Yes,13/03/2020,Not found,10,first scrap players transfer
Jonathan Hogg,https://www.transfermarkt.com/jonathan-hogg/profil/spieler/61573,Success,61573,spieler,Jonathan Hogg,06/12/1988 (36),Middlesbrough,"1,76 m",England,Midfield - Defensive Midfield,right,Not found,Huddersf. U21,10/11/2025,-,Not found,9,186,22,No,Not found,Not found,4,first scrap players transfer
Junior Hoilett,https://www.transfermarkt.com/junior-hoilett/profil/spieler/58993,Success,58993,spieler,Junior Hoilett,05/06/1990 (35),"Brampton, Ontario","1,74 m",Canada  Jamaica,Attack - Left Winger,right,Not found,Hibernian FC,6/8/2024,31/05/2026,Not found,6,247,44,No,Not found,23,5,first scrap players transfer
Stuart Holden,https://www.transfermarkt.com/stuart-holden/profil/spieler/30071,Success,30071,spieler,Stuart Holden,01/08/1985 (40),Aberdeen,"1,78 m",United States  Scotland,Midfield - Central Midfield,both,Not found,Bolton,3/2/2016,-,Not found,4,704,117,Yes,3/2/2016,Not found,4,first scrap players transfer
Tim Howard,https://www.transfermarkt.com/tim-howard/profil/spieler/4267,Success,4267,spieler,Tim Howard,06/03/1979 (46),"North Brunswick, New Jersey","1,91 m",United States  Hungary,Goalkeeper,right,Not found,Memphis 901,1/12/2020,-,Not found,4,208,26,Yes,1/12/2020,Not found,4,first scrap players transfer
Tom Huddlestone,https://www.transfermarkt.com/tom-huddlestone/profil/spieler/13465,Success,13465,spieler,Tom Huddlestone,28/12/1986 (38),Nottingham,"1,88 m",England,Midfield - Defensive Midfield,right,Not found,Man Utd U21,1/7/2024,-,adidas,7,539,142,Yes,1/7/2024,Not found,5,first scrap players transfer
Aaron Hughes,https://www.transfermarkt.com/aaron-hughes/profil/spieler/3580,Success,3580,spieler,Aaron Hughes,08/11/1979 (46),Cookstown,"1,83 m",Northern Ireland,Defender - Centre-Back,right,Not found,Heart of Midl.,1/7/2019,-,Not found,7,173,31,Yes,1/7/2019,Not found,6,first scrap players transfer
Stephen Hunt,https://www.transfermarkt.com/stephen-hunt/profil/spieler/36799,Success,36799,spieler,Stephen Hunt,01/08/1981 (44),Portlaoise,"1,74 m",Ireland,Midfield - Left Midfield,left,Not found,Coventry,1/7/2016,-,Not found,2,530,53,Yes,1/7/2016,Not found,2,first scrap players transfer
