"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id","player_name.x.x","transfermarkt_url.x","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","player_url.x","status.x","player_slug","home_name","dob_age.x","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","player_name","player_url.y","status.y","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","transfermarkt_url.y","explanation"
201,"Ben Foster","eng ENG","GK","Birmingham City",27,1983,38,38,3369,37.4,0,0,0,0,0,0,3,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13572,"Ben Foster","https://www.transfermarkt.com/ben-foster/profil/spieler/13572","19/08/2006","23 years 04 months 16 days","23","Premier League","6/8/2005","22","22","Championship","22","first scrap players","Ben Foster","https://www.transfermarkt.com/ben-foster/profil/spieler/13572","Success","spieler","Ben Foster","03/04/1983 (42)","Leamington Spa","1,93 m","England","Goalkeeper","left","Not found","Wrexham","21/08/2023","-","Not found",7,801,122,"Yes","21/08/2023","Not found",5,"first scrap players transfer","Ben Foster","https://fbref.com/en/players/d0b3ceb9/Ben-Foster","Success","Not found","3-Apr-83","Not found","194","England eng","GK","Left","2004-2005","21 years","Harriers","2004","https://www.transfermarkt.com/ben-foster/profil/spieler/13572","first scrap players fbref"
202,"Brad Friedel","us USA","GK","Aston Villa",39,1971,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3476,"Brad Friedel","https://www.transfermarkt.com/brad-friedel/profil/spieler/3476","10/8/1996","25 years 02 months 23 days","25","Major League Soccer","18/11/2000","29","29","","25","first scrap players","Brad Friedel","https://www.transfermarkt.com/brad-friedel/profil/spieler/3476","Success","spieler","Brad Friedel","18/05/1971 (54)","Lakewood, Ohio","1,91 m","United States  England","Goalkeeper","right","Not found","Tottenham","1/7/2015","-","Not found",0,0,0,"Yes","1/7/2015","Not found",0,"first scrap players transfer","Brad Friedel","https://fbref.com/en/players/b8c0a975/Brad-Friedel","Success","Not found","18-May-71","Not found","188","United States","GK","Right","1996","24 years","Columbus Crew","Not found","https://www.transfermarkt.com/brad-friedel/profil/spieler/3476","first scrap players fbref"
203,"Ricardo Fuller","jm JAM","FW","Stoke City",30,1979,28,9,1096,12.2,4,1,5,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14014,"Ricardo Fuller","https://www.transfermarkt.com/ricardo-fuller/profil/spieler/14014","21/10/2001","21 years 11 months 20 days","21","","20/02/2001","21","21","","21","first scrap players","Ricardo Fuller","https://www.transfermarkt.com/ricardo-fuller/profil/spieler/14014","Success","spieler","Ricardo Fuller","31/10/1979 (46)","Kingston","1,91 m","Jamaica","Attack - Centre-Forward","right","Not found","Henley Town FC","1/7/2021","-","Not found",1,224,39,"Yes","1/7/2021","Not found",1,"first scrap players transfer","Ricardo Fuller","https://fbref.com/en/players/c764fa54/Ricardo-Fuller","Success","Not found","31-Oct-79","Not found","191","Jamaica","FW","Right","2001-2002","21 years","Hearts","2001","https://www.transfermarkt.com/ricardo-fuller/profil/spieler/14014","first scrap players fbref"
204,"Danny Gabbidon","wls WAL","DF","West Ham",30,1979,26,24,2180,24.2,0,0,0,0,0,0,3,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12709,"Danny Gabbidon","https://www.transfermarkt.com/danny-gabbidon/profil/spieler/12709","13/08/2005","26 years 05 days","26","Premier League","20/03/1999","19","19","","19","first scrap players","Danny Gabbidon","https://www.transfermarkt.com/danny-gabbidon/profil/spieler/12709","Success","spieler","Danny Gabbidon","08/08/1979 (46)","Cwmbran","1,78 m","Wales  Jamaica","Defender - Centre-Back","right","Not found","Panteg","30/04/2017","-","Not found",3,250,46,"Yes","30/04/2017","Not found",3,"first scrap players transfer","Danny Gabbidon","https://fbref.com/en/players/90148433/Danny-Gabbidon","Success","Not found","8-Aug-79","Not found","178","Wales wls","DF (CB)","Right","2002-2003","22 years","Cardiff City","2002","https://www.transfermarkt.com/danny-gabbidon/profil/spieler/12709","first scrap players fbref"
205,"William Gallas","fr FRA","DF","Tottenham",32,1977,27,26,2339,26,0,0,0,0,0,0,5,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3156,"William Gallas","https://www.transfermarkt.com/william-gallas/profil/spieler/3156","10/8/1996","18 years 11 months 24 days","18","Ligue 1","9/9/1995","18","18","Ligue 2","18","first scrap players","William Gallas","https://www.transfermarkt.com/william-gallas/profil/spieler/3156","Success","spieler","William Gallas","17/08/1977 (48)","Asnières-sur-Seine","1,82 m","France  Guadeloupe","Defender - Centre-Back","right","Not found","Perth Glory","16/10/2014","-","Not found",12,306,66,"Yes","16/10/2014","Not found",6,"first scrap players transfer","William Gallas","https://fbref.com/en/players/286fb7e0/William-Gallas","Success","Not found","17-Aug-77","Not found","181","France","DF (CB)","Not found","1996-1997","18 years","Caen","1996","https://www.transfermarkt.com/william-gallas/profil/spieler/3156","first scrap players fbref"
206,"Morten Gamst Pedersen","no NOR","FW,MF","Blackburn",28,1981,35,27,2525,28.1,4,6,10,4,0,1,1,0,0.14,0.21,0.36,0.14,0.36,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22741,"Morten Gamst Pedersen","https://www.transfermarkt.com/morten-gamst-pedersen/profil/spieler/22741","16/04/2000","18 years 07 months 08 days","18","Eliteserien","18/08/2012","30","30","Championship","18","first scrap players","Morten Gamst Pedersen","https://www.transfermarkt.com/morten-gamst-pedersen/profil/spieler/22741","Success","spieler","Morten Gamst Pedersen","08/09/1981 (44)","Vadsø","1,83 m","Norway","Midfield - Central Midfield","left","Not found","Ranheim","1/1/2024","-","Not found",1,29,8,"Yes","1/1/2024","Not found",1,"first scrap players transfer","Morten Gamst Pedersen","https://fbref.com/en/players/c75d2fba/Morten-Gamst-Pedersen","Success","Not found","8-Sep-81","Not found","180","Norway","FW-MF (AM-WM)","Left","2000","18 years","Tromsø","Not found","https://www.transfermarkt.com/morten-gamst-pedersen/profil/spieler/22741","first scrap players fbref"
207,"Craig Gardner","eng ENG","MF","Birmingham City",23,1986,29,25,2216,24.6,8,0,8,7,1,1,8,2,0.32,0,0.32,0.28,0.28,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37171,"Craig Gardner","https://www.transfermarkt.com/craig-gardner/profil/spieler/37171","26/12/2005","19 years 01 month 01 day","19","Premier League","14/01/2017","30","30","Championship","19","first scrap players","Craig Gardner","https://www.transfermarkt.com/craig-gardner/profil/spieler/37171","Success","spieler","Craig Gardner","25/11/1986 (39)","Solihull","1,76 m","England","Midfield - Central Midfield","right","Not found","Birmingham","1/7/2020","-","Not found",1,24,4,"Yes","1/7/2020","Not found",1,"first scrap players transfer","Craig Gardner","https://fbref.com/en/players/1117b9ff/Craig-Gardner","Success","Not found","25-Nov-86","Not found","178","England eng","MF (CM)","Right","2005-2006","18 years","Aston Villa","2005","https://www.transfermarkt.com/craig-gardner/profil/spieler/37171","first scrap players fbref"
208,"Ricardo Gardner","jm JAM","DF,MF","Bolton",31,1978,5,3,321,3.6,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6264,"Ricardo Gardner","https://www.transfermarkt.com/ricardo-gardner/profil/spieler/6264","18/08/2001","22 years 10 months 24 days","22","Premier League","8/9/1998","19","19","","19","first scrap players","Ricardo Gardner","https://www.transfermarkt.com/ricardo-gardner/profil/spieler/6264","Success","spieler","Ricardo Gardner","25/09/1978 (47)",", Saint Andrew Parish","N/A","Jamaica","Defender - Left-Back","N/A","Not found","Bolton","1/7/2012","-","Not found",4,350,62,"Yes","1/7/2012","Not found",4,"first scrap players transfer","Ricardo Gardner","https://fbref.com/en/players/b6a1eaa0/Ricardo-Gardner","Success","Not found","25-Sep-78","Not found","175","Jamaica","DF-MF (AM-FB-WM, left)","Left","2001-2002","22 years","Bolton","2001","https://www.transfermarkt.com/ricardo-gardner/profil/spieler/6264","first scrap players fbref"
209,"Zoltán Gera","hu HUN","MF","Fulham",31,1979,27,10,1118,12.4,1,1,2,1,0,0,2,1,0.08,0.08,0.16,0.08,0.16,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18324,"Zoltán Gera","https://www.transfermarkt.com/zoltn-gera/profil/spieler/18324","26/02/2000","20 years 10 months 04 days","20","Nemzeti Bajnokság","8/8/1999","20","20","","20","first scrap players","Zoltán Gera","https://www.transfermarkt.com/zoltn-gera/profil/spieler/18324","Success","spieler","Zoltán Gera","22/04/1979 (46)","Pécs","1,83 m","Hungary","Midfield - Attacking Midfield","right","Not found","Ferencváros","1/7/2018","-","Mizuno",5,556,80,"Yes","1/7/2018","Not found",5,"first scrap players transfer","Zoltán Gera","https://fbref.com/en/players/08bd23a0/Zoltan-Gera","Success","Not found","22-Apr-79","Not found","183","Hungary","MF (AM)","Right","2004-2005","25 years","West Brom","2004","https://www.transfermarkt.com/zoltn-gera/profil/spieler/18324","first scrap players fbref"
210,"Steven Gerrard","eng ENG","MF","Liverpool",30,1980,21,20,1870,20.8,4,5,9,2,2,3,2,0,0.19,0.24,0.43,0.1,0.34,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3109,"Steven Gerrard","https://www.transfermarkt.com/steven-gerrard/profil/spieler/3109","29/11/1998","18 years 05 months 30 days","18","Premier League","No second tier career","No second tier career","No second tier career","No second tier career","18","first scrap players","Steven Gerrard","https://www.transfermarkt.com/steven-gerrard/profil/spieler/3109","Success","spieler","Steven Gerrard","30/05/1980 (45)","Whiston","1,83 m","England","Midfield - Central Midfield","right","Not found","LA Galaxy","1/1/2017","-","adidas",18,474,97,"Yes","1/1/2017","Not found",9,"first scrap players transfer","Steven Gerrard","https://fbref.com/en/players/caeb5442/Steven-Gerrard","Success","Not found","30-May-80","Not found","183","England eng","MF","Right","1998-1999","18 years","Liverpool","1998","https://www.transfermarkt.com/steven-gerrard/profil/spieler/3109","first scrap players fbref"
211,"Kieran Gibbs","eng ENG","DF,MF","Arsenal",20,1989,7,4,348,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44792,"Kieran Gibbs","https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792","8/2/2009","19 years 04 months 13 days","19","Premier League","12/2/2008","18","18","Championship","18","first scrap players","Kieran Gibbs","https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792","Success","spieler","Kieran Gibbs","26/09/1989 (36)","London","1,81 m","England","Defender - Left-Back","left","Not found","Miami","23/02/2023","-","adidas",13,513,121,"Yes","23/02/2023","Not found",9,"first scrap players transfer","Kieran Gibbs","https://fbref.com/en/players/46ee5234/Kieran-Gibbs","Success","Not found","26-Sep-89","Not found","178","England eng","DF-MF (FB, left)","Left","2007-2008","17 years","Norwich City","2007","https://www.transfermarkt.com/kieran-gibbs/profil/spieler/44792","first scrap players fbref"
212,"Darron Gibson","ie IRL","MF","Manchester Utd",22,1987,12,6,656,7.3,0,1,1,0,0,0,3,0,0,0.14,0.14,0,0.14,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42413,"Darron Gibson","https://www.transfermarkt.com/darron-gibson/profil/spieler/42413","15/11/2008","21 years 21 days","21","Premier League","7/10/2006","18","18","Challenger Pro League","18","first scrap players","Darron Gibson","https://www.transfermarkt.com/darron-gibson/profil/spieler/42413","Success","spieler","Darron Gibson","25/10/1987 (38)","Derry","1,83 m","Ireland  Northern Ireland","Midfield - Central Midfield","right","Not found","Wythenshawe AFC","6/2/2022","-","Not found",9,772,123,"Yes","6/2/2022","Not found",7,"first scrap players transfer","Darron Gibson","https://fbref.com/en/players/f0e72e1c/Darron-Gibson","Success","Not found","25-Oct-87","Not found","183","Republic of Ireland ie  Other: Northern Ireland","MF","Right","2007-2008","19 years","Wolves","2007","https://www.transfermarkt.com/darron-gibson/profil/spieler/42413","first scrap players fbref"
213,"Ryan Giggs","wls WAL","FW,MF","Manchester Utd",36,1973,25,19,1676,18.6,2,6,8,2,0,0,5,0,0.11,0.32,0.43,0.11,0.43,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406,"Ryan Giggs","https://www.transfermarkt.com/ryan-giggs/profil/spieler/3406","2/3/1991","17 years 03 months 01 day","17","First Division (until 91/92)","No second tier career","No second tier career","No second tier career","No second tier career","17","first scrap players","Ryan Giggs","https://www.transfermarkt.com/ryan-giggs/profil/spieler/3406","Success","spieler","Ryan Giggs","29/11/1973 (51)","Cardiff","1,79 m","Wales","Midfield - Left Midfield","left","Not found","Man Utd","1/7/2014","-","Not found",6,151,34,"Yes","1/7/2014","Not found",5,"first scrap players transfer","Ryan Giggs","https://fbref.com/en/players/561de8d0/Ryan-Giggs","Success","Not found","29-Nov-73","Not found","180","Wales wls  Other: England","FW-MF (WM)","Not found","1992-1993","18 years","Manchester Utd","1992","https://www.transfermarkt.com/ryan-giggs/profil/spieler/3406","first scrap players fbref"
214,"Matt Gilks","sct SCO","GK","Blackpool",28,1982,18,18,1575,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48254,"Matt Gilks","https://www.transfermarkt.com/matt-gilks/profil/spieler/48254","14/08/2010","28 years 02 months 10 days","28","Premier League","31/01/2009","26","26","Championship","26","first scrap players","Matt Gilks","https://www.transfermarkt.com/matt-gilks/profil/spieler/48254","Success","spieler","Matt Gilks","04/06/1982 (43)","Rochdale","1,85 m","Scotland  England","Goalkeeper","right","Not found","Bolton","10/1/2022","-","Not found",3,417,61,"Yes","10/1/2022","Not found",2,"first scrap players transfer","Matt Gilks","https://fbref.com/en/players/49b8c292/Matt-Gilks","Success","Not found","4-Jun-82","Not found","185","Scotland sct  Other: England","GK","Right","2002-2003","20 years","Rochdale","2002","https://www.transfermarkt.com/matt-gilks/profil/spieler/48254","first scrap players fbref"
215,"Gaël Givet","fr FRA","DF","Blackburn",28,1981,29,29,2445,27.2,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5286,"Gaël Givet","https://www.transfermarkt.com/gal-givet/profil/spieler/5286","9/12/2000","19 years 02 months 00 days","19","Ligue 1","18/08/2012","30","30","Championship","19","first scrap players","Gaël Givet","https://www.transfermarkt.com/gal-givet/profil/spieler/5286","Success","spieler","Gaël Givet","09/10/1981 (44)","Arles","1,81 m","France","Defender - Centre-Back","left","Not found","Tours FC","1/7/2016","-","Not found",3,67,12,"Yes","1/7/2016","Not found",2,"first scrap players transfer","Gaël Givet","https://fbref.com/en/players/6d28f149/Gael-Givet","Success","Not found","9-Oct-81","Not found","181","France","DF (CB)","Not found","2000-2001","18 years","Monaco","2000","https://www.transfermarkt.com/gal-givet/profil/spieler/5286","first scrap players fbref"
216,"Steve Gohouri","ci CIV","DF","Wigan Athletic",29,1981,27,26,2362,26.2,1,1,2,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19857,"Steve Gohouri","https://www.transfermarkt.com/steve-gohouri/profil/spieler/19857","5/2/2000","18 years 11 months 28 days","18","","19/08/2001","20","20","Brack.ch Challenge League","18","first scrap players","Steve Gohouri","https://www.transfermarkt.com/steve-gohouri/profil/spieler/19857","Success","spieler","Steve Gohouri","8/2/1981","Treichville","N/A","Cote d'Ivoire  France","Defender - Centre-Back","N/A","Not found","Not found","Not found","Not found","Not found",9,174,28,"No","Not found","Not found",4,"first scrap players transfer","Steve Gohouri","https://fbref.com/en/players/0d058ab8/Steve-Gohouri","Success","Not found","8-Feb-81","Not found","189","Côte d'Ivoire","DF (CB-FB)","Not found","2005-2006","24 years","Young Boys","2005","https://www.transfermarkt.com/steve-gohouri/profil/spieler/19857","first scrap players fbref"
217,"Heurelho Gomes","br BRA","GK","Tottenham",29,1981,30,30,2700,30,0,0,0,0,0,0,4,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19059,"Heurelho Gomes","https://www.transfermarkt.com/heurelho-gomes/profil/spieler/19059","4/9/2002","21 years 06 months 20 days","21","Campeonato Brasileiro Série A","9/8/2014","33","33","Championship","21","first scrap players","Heurelho Gomes","https://www.transfermarkt.com/heurelho-gomes/profil/spieler/19059","Success","spieler","Heurelho Gomes","15/02/1981 (44)","João Pinheiro","1,91 m","Brazil","Goalkeeper","right","Not found","Watford","16/10/2020","-","Not found",3,226,29,"Yes","16/10/2020","Not found",3,"first scrap players transfer","Heurelho Gomes","https://fbref.com/en/players/d596e193/Heurelho-Gomes","Success","Not found","15-Feb-81","Not found","191","Brazil","GK","Right","2004-2005","23 years","PSV Eindhoven","2004","https://www.transfermarkt.com/heurelho-gomes/profil/spieler/19059","first scrap players fbref"
218,"Jordi Gómez","es ESP","MF","Wigan Athletic",25,1985,13,9,720,8,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39010,"Jordi Gómez","https://www.transfermarkt.com/jordi-gmez/profil/spieler/39010","23/03/2008","22 years 09 months 28 days","22","LaLiga","9/8/2008","23","23","Championship","22","first scrap players","Jordi Gómez","https://www.transfermarkt.com/jordi-gmez/profil/spieler/39010","Success","spieler","Jordi Gómez","24/05/1985 (40)","Barcelona","1,78 m","Spain","Midfield - Central Midfield","left","Not found","Omonia 29 Maiou","1/7/2023","-","Not found",3,459,29,"Yes","1/7/2023","Not found",3,"first scrap players transfer","Jordi Gómez","https://fbref.com/en/players/d92b0327/Jordi-Gomez","Success","Not found","24-May-85","Not found","178","Spain","MF (CM)","Left","2007-2008","22 years","Espanyol","2007","https://www.transfermarkt.com/jordi-gmez/profil/spieler/39010","first scrap players fbref"
219,"Craig Gordon","sct SCO","GK","Sunderland",27,1982,15,15,1350,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12589,"Craig Gordon","https://www.transfermarkt.com/craig-gordon/profil/spieler/12589","6/10/2002","19 years 09 months 05 days","19","","16/10/2020","37","37","","19","first scrap players","Craig Gordon","https://www.transfermarkt.com/craig-gordon/profil/spieler/12589","Success","spieler","Craig Gordon","31/12/1982 (42)","Edinburgh","1,93 m","Scotland","Goalkeeper","left","Not found","Heart of Midl.","1/7/2020","31/05/2026","Not found",14,1894,210,"No","Not found","1",10,"first scrap players transfer","Craig Gordon","https://fbref.com/en/players/b15780e3/Craig-Gordon","Success","Not found","December 31, 1982 (Age: 42-329d)","Edinburgh, Scotland, United Kingdom","193","Scotland sct","GK","Right","2002-2003","19 years","Hearts","2002","https://www.transfermarkt.com/craig-gordon/profil/spieler/12589","first scrap players fbref"
220,"Dan Gosling","eng ENG","DF,MF","Newcastle Utd",20,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44983,"Dan Gosling","https://www.transfermarkt.com/dan-gosling/profil/spieler/44983","26/12/2008","18 years 10 months 24 days","18","Premier League","9/12/2006","16","16","Championship","16","first scrap players","Dan Gosling","https://www.transfermarkt.com/dan-gosling/profil/spieler/44983","Success","spieler","Dan Gosling","01/02/1990 (35)","Brixham","1,80 m","England","Midfield - Central Midfield","right","Not found","Notts County","6/8/2025","-","Nike",10,874,123,"Yes","6/8/2025","Not found",6,"first scrap players transfer","Dan Gosling","https://fbref.com/en/players/7fec31a0/Dan-Gosling","Success","Not found","1-Feb-90","Not found","178","England eng","DF-MF (CM)","Right","2006-2007","16 years","Plymouth Argyle","2006","https://www.transfermarkt.com/dan-gosling/profil/spieler/44983","first scrap players fbref"
221,"Hérold Goulon","fr FRA","DF,MF","Blackburn",22,1988,4,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41978,"Hérold Goulon","https://www.transfermarkt.com/hrold-goulon/profil/spieler/41978","7/3/2009","20 years 08 months 23 days","20","Ligue 1","26/11/2011","23","23","Championship","20","first scrap players","Hérold Goulon","https://www.transfermarkt.com/hrold-goulon/profil/spieler/41978","Success","spieler","Hérold Goulon","12/06/1988 (37)","Paris","1,95 m","France","Defender - Centre-Back","right","Not found","Without Club","1/1/2024","-","Not found",1,292,39,"No","Not found","Not found",1,"first scrap players transfer","Hérold Goulon","https://fbref.com/en/players/e818c267/Herold-Goulon","Success","Not found","12-Jun-88","Not found","192","France","DF-MF (DM)","Right","2008-2009","20 years","Le Mans","2008","https://www.transfermarkt.com/hrold-goulon/profil/spieler/41978","first scrap players fbref"
222,"Elliot Grandin","fr FRA","FW,MF","Blackpool",22,1987,23,21,1499,16.7,1,3,4,1,0,0,0,0,0.06,0.18,0.24,0.06,0.24,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56785,"Elliot Grandin","https://www.transfermarkt.com/elliot-grandin/profil/spieler/56785","28/05/2005","17 years 07 months 11 days","17","Ligue 1","29/07/2005","17","17","Ligue 2","17","first scrap players","Elliot Grandin","https://www.transfermarkt.com/elliot-grandin/profil/spieler/56785","Success","spieler","Elliot Grandin","17/10/1987 (38)","Caen","1,80 m","France  DR Congo","Midfield - Attacking Midfield","right","Not found","ES Cannet","1/7/2023","-","Not found",0,0,0,"Yes","1/7/2023","Not found",0,"first scrap players transfer","Elliot Grandin","https://fbref.com/en/players/ddbf3019/Elliot-Grandin","Success","Not found","17-Oct-87","Not found","178","France","FW-MF (AM-WM)","Right","2004-2005","16 years","Caen","2004","https://www.transfermarkt.com/elliot-grandin/profil/spieler/56785","first scrap players fbref"
223,"Robert Green","eng ENG","GK","West Ham",30,1980,37,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11680,"Robert Green","https://www.transfermarkt.com/robert-green/profil/spieler/11680","14/08/2004","24 years 06 months 27 days","24","Premier League","11/4/1999","19","19","","19","first scrap players","Robert Green","https://www.transfermarkt.com/robert-green/profil/spieler/11680","Success","spieler","Rob Green","18/01/1980 (45)","Chertsey","1,91 m","England","Goalkeeper","right","Not found","Chelsea","1/7/2019","-","New Balance",2,38,7,"Yes","1/7/2019","Not found",2,"first scrap players transfer","Robert Green","https://fbref.com/en/players/a350680b/Robert-Green","Success","Not found","18-Jan-80","Not found","191","England eng","GK","Right","2001-2002","21 years","Norwich City","2001","https://www.transfermarkt.com/robert-green/profil/spieler/11680","first scrap players fbref"
224,"Jonathan Greening","eng ENG","MF","Fulham",31,1979,10,6,529,5.9,0,2,2,0,0,0,2,0,0,0.34,0.34,0,0.34,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3865,"Jonathan Greening","https://www.transfermarkt.com/jonathan-greening/profil/spieler/3865","26/12/1998","19 years 11 months 24 days","19","Premier League","5/8/2006","27","27","Championship","19","first scrap players","Jonathan Greening","https://www.transfermarkt.com/jonathan-greening/profil/spieler/3865","Success","spieler","Jonathan Greening","02/01/1979 (46)","Scarborough","1,80 m","England","Midfield - Central Midfield","right","Not found","Tadcaster","1/5/2017","-","Not found",2,37,8,"Yes","1/5/2017","Not found",1,"first scrap players transfer","Jonathan Greening","https://fbref.com/en/players/892c1d7a/Jonathan-Greening","Success","Not found","2-Jan-79","Not found","180","England eng","MF","Not found","1998-1999","19 years","Manchester Utd","1998","https://www.transfermarkt.com/jonathan-greening/profil/spieler/3865","first scrap players fbref"
225,"Vince Grella","au AUS","MF","Blackburn",30,1979,5,4,309,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6021,"Vince Grella","https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021","22/11/1998","19 years 01 month 17 days","19","Serie A","27/02/2000","20 years 04 months 22 days","20","Serie B","19","players corrected","Vince Grella","https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021","Success","spieler","Vincenzo Grella","05/10/1979 (46)","Melbourne","1,83 m","Australia  Italy","Midfield - Central Midfield","both","Not found","Melbourne Heart","28/01/2013","-","Not found",4,336,62,"Yes","28/01/2013","Not found",2,"players corrected transfer

","Vince Grella","https://fbref.com/en/players/db61f587/Vince-Grella","Success","Not found","5-Oct-79","Not found","180","Australia","MF (DM)","Not found","1998-1999","18 years","Empoli","1998","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","first scrap players fbref"
225,"Vince Grella","au AUS","MF","Blackburn",30,1979,5,4,309,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6021,"Vince Grella","https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021","22/11/1998","19 years 01 month 17 days","19","Serie A","27/02/2000","20 years 04 months 22 days","20","Serie B","19","players corrected","Vince Grella","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","Success","spieler","Vincenzo Grella","05/10/1979 (46)","Melbourne","1,83 m","Australia  Italy","Midfield - Central Midfield","both","Not found","Melbourne Heart","28/01/2013","-","Not found",4,336,62,"Yes","28/01/2013","Not found",2,"first scrap players transfer","Vince Grella","https://fbref.com/en/players/db61f587/Vince-Grella","Success","Not found","5-Oct-79","Not found","180","Australia","MF (DM)","Not found","1998-1999","18 years","Empoli","1998","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","first scrap players fbref"
