"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id","player_name.x.x","transfermarkt_url.x","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","player_url.x","status.x","player_slug","home_name","dob_age.x","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","player_name","player_url.y","status.y","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","transfermarkt_url.y","explanation"
10,"Marcos Alonso","es ESP","DF,MF","Bolton",19,1990,4,4,360,4,0,0,0,0,0,0,3,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112515,"Marcos Alonso","https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515","4/4/2010","19 years 03 months 07 days","19","LaLiga","15/09/2012","21","21","Championship","19","first scrap players","Marcos Alonso","https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515","Success","spieler","Marcos Alonso","28/12/1990 (34)","Madrid","1,88 m","Spain","Defender - Centre-Back","left","Not found","Celta de Vigo","28/08/2024","30/06/2026","Nike",12,482,87,"No","Not found","20",8,"first scrap players transfer","Marcos Alonso","https://fbref.com/en/players/06b1b4a2/Marcos-Alonso-Pena","Success","Not found","1-Oct-59","Not found","176","Spain","FW-MF (WM, right)","Not found","1988-1989","28 years","Atlético Madrid","1988","https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515","first scrap players fbref"
11,"Sammy Ameobi","eng ENG","FW,MF","Newcastle Utd",18,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92381,"Sammy Ameobi","https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381","15/05/2011","19 years 14 days","19","Premier League","2/3/2013","20","20","Championship","19","first scrap players","Sammy Ameobi","https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381","Success","spieler","Sammy Ameobi","01/05/1992 (33)","Newcastle upon Tyne","1,90 m","England  Nigeria","Attack - Left Winger","left","Not found","Middlesbrough","1/7/2022","-","Not found",2,159,24,"Yes","1/7/2022","Not found",2,"first scrap players transfer","Sammy Ameobi","https://fbref.com/en/players/acd61628/Sammy-Ameobi","Success","Not found","1-May-92","Not found","192","England eng","FW-MF (AM-WM)","Left","2010-2011","18 years","Newcastle Utd","2010","https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381","first scrap players fbref"
12,"Shola Ameobi","ng NGA","FW","Newcastle Utd",28,1981,28,21,1752,19.5,6,3,9,4,2,2,2,0,0.31,0.15,0.46,0.21,0.36,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3276,"Shola Ameobi","https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276","9/9/2000","18 years 10 months 28 days","18","Premier League","29/03/2008","26","26","Championship","18","first scrap players","Shola Ameobi","https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276","Success","spieler","Shola Ameobi","12/10/1981 (44)","Zaria","1,91 m","Nigeria  England","Attack - Centre-Forward","right","Not found","Notts County","1/7/2018","-","Not found",5,97,19,"Yes","1/7/2018","Not found",2,"first scrap players transfer","Shola Ameobi","https://fbref.com/en/players/e79a368b/Shola-Ameobi","Success","Not found","12-Oct-81","Not found","191","Nigeria ng  Other: England","FW","Both","2000-2001","18 years","Newcastle Utd","2000","https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276","first scrap players fbref"
13,"Anderson","br BRA","MF","Manchester Utd",22,1988,18,14,1182,13.1,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31645,"Anderson","https://www.transfermarkt.com/anderson/profil/spieler/31645","23/10/2004","16 years 06 months 10 days","16","Campeonato Brasileiro Série A","22/10/2018","30 years 06 months 09 days","30","1.Lig","16","players corrected","Anderson","https://www.transfermarkt.com/anderson/profil/spieler/31645","Success","spieler","Anderson","13/04/1988 (37)","Porto Alegre","1,76 m","Brazil","Midfield - Central Midfield","left","Not found","Adana Demirspor","20/09/2019","-","Not found",8,429,75,"Yes","20/09/2019","Not found",6,"players corrected transfer

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Keith Andrews","ie IRL","MF","Blackburn",29,1980,5,2,229,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8035,"Keith Andrews","https://www.transfermarkt.com/keith-andrews/profil/spieler/8035","29/11/2003","23 years 02 months 16 days","23","Premier League","18/03/2000","19","19","","19","first scrap players","Keith Andrews","https://www.transfermarkt.com/keith-andrews/profil/spieler/8035","Success","spieler","Keith Andrews","13/09/1980 (45)","Dublin","1,83 m","Ireland  England","Midfield - Central Midfield","right","Not found","Bolton","4/8/2015","-","Not found",1,14,3,"Yes","4/8/2015","Not found",1,"first scrap players transfer","Keith Andrews","https://fbref.com/en/players/5bca867f/Keith-Andrews","Success","Not found","13-Sep-80","Not found","183","Republic of Ireland","MF (DM)","Not found","2001-2002","20 years","Wolves","2001","https://www.transfermarkt.com/keith-andrews/profil/spieler/8035","first scrap players fbref"
15,"Nicolas Anelka","fr FRA","FW","Chelsea",31,1979,32,27,2356,26.2,6,4,10,6,0,0,0,0,0.23,0.15,0.38,0.23,0.38,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3226,"Nicolas Anelka","https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226","7/2/1996","16 years 10 months 24 days","16","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career","16","first scrap players","Nicolas Anelka","https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226","Success","spieler","Nicolas Anelka","14/03/1979 (46)","Versailles","1,86 m","France  Martinique","Attack - Centre-Forward","right","Not found","Mumbai City","1/1/2016","-","Not found",13,294,53,"Yes","1/1/2016","Not found",8,"first scrap players transfer","Nicolas Anelka","https://fbref.com/en/players/931ed5e9/Nicolas-Anelka","Success","Not found","14-Mar-79","Not found","186","France","FW","Right","1995-1996","16 years","Paris S-G","1995","https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226","first scrap players fbref"
16,"Marcos Angeleri","ar ARG","DF","Sunderland",27,1983,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27448,"Marcos Angeleri","https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448","15/02/2003","19 years 10 months 08 days","19","Torneo Final","No second tier career","No second tier career","No second tier career","No second tier career","19","first scrap players","Marcos Angeleri","https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448","Success","spieler","Marcos Angeleri","07/04/1983 (42)","Treinta de Agosto","1,83 m","Argentina  Italy","Defender - Right-Back","right","Not found","Argentinos Jrs.","1/7/2020","-","Nike",7,543,90,"Yes","1/7/2020","Not found",5,"first scrap players transfer","Marcos Angeleri","https://fbref.com/en/players/f1c9c320/Marcos-Angeleri","Success","Not found","7-Apr-83","Not found","182","Argentina","DF (CB-FB, right)","Right","2010-2011","27 years","Sunderland","2010","https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448","first scrap players fbref"
17,"Victor Anichebe","ng NGA","FW","Everton",22,1988,16,8,769,8.5,0,0,0,0,0,0,3,1,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39532,"Victor Anichebe","https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532","22/04/2006","17 years 11 months 30 days","17","Premier League","9/7/2017","29","29","China League One","17","first scrap players","Victor Anichebe","https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532","Success","spieler","Victor Anichebe","23/04/1988 (37)","Lagos","1,90 m","Nigeria  England","Attack - Centre-Forward","right","Not found","BJ Enterprises","1/7/2018","-","Not found",9,512,106,"Yes","1/7/2018","Not found",6,"first scrap players transfer","Victor Anichebe","https://fbref.com/en/players/4aed5c19/Victor-Anichebe","Success","Not found","23-Apr-88","Not found","185","Nigeria","FW","Right","2005-2006","17 years","Everton","2005","https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532","first scrap players fbref"
18,"Andrey Arshavin","ru RUS","FW,MF","Arsenal",29,1981,37,25,2187,24.3,6,11,17,5,1,1,1,0,0.25,0.45,0.7,0.21,0.66,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15378,"Andrey Arshavin","https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378","13/08/2000","19 years 02 months 15 days","19","Premier Liga","No second tier career","No second tier career","No second tier career","No second tier career","19","first scrap players","Andrey Arshavin","https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378","Success","spieler","Andrey Arshavin","29/05/1981 (44)","Leningrad","1,72 m","Russia","Attack - Left Winger","both","Not found","Kairat Almaty","1/1/2019","-","Not found",6,116,23,"Yes","1/1/2019","Not found",4,"first scrap players transfer","Andrey Arshavin","https://fbref.com/en/players/8fd1ea1f/Andrey-Arshavin","Success","Not found","29-May-81","Not found","172","Russia","FW-MF (AM-WM, left)","Not found","2001","19 years","Zenit","Not found","https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378","first scrap players fbref"
19,"Mikel Arteta","es ESP","MF","Everton",28,1982,29,29,2405,26.7,3,5,8,3,0,1,1,1,0.11,0.19,0.3,0.11,0.3,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7451,"Mikel Arteta","https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451","17/02/2001","18 years 10 months 22 days","18","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career","18","first scrap players","Mikel Arteta","https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451","Success","spieler","Mikel Arteta","26/03/1982 (43)","Donostia-San Sebastián","1,77 m","Spain","Midfield - Central Midfield","right","Not found","Arsenal","1/7/2016","-","Puma",14,701,168,"Yes","1/7/2016","Not found",7,"first scrap players transfer","Mikel Arteta","https://fbref.com/en/players/d934d1e6/Mikel-Arteta","Success","Not found","26-Mar-82","Not found","177","Spain","MF","Right","2000-2001","18 years","Paris S-G","2000","https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451","first scrap players fbref"
