fbref_url,transfermarkt_id,player_name,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,explanation
https://fbref.com/en/players/5e1280ff/Alejandro-Pozuelo,188853,Alejandro Pozuelo,Not found,"September 20, 1991 (Age: 34-066d)","Sevilla, Spain",170,Not found,FW-MF (AM),Both,2011-2012,19 years,Betis,2011,first scrap players fbref
https://fbref.com/en/players/5c961282/Guillermo-Varela,188862,Guillermo Varela,Not found,"March 24, 1993 (Age: 32-246d)","Montevideo, Uruguay",171,Uruguay,"DF (FB, right)",Right,2015-2016,22 years,Manchester Utd,2015,first scrap players fbref
https://fbref.com/en/players/75783f5f/Modou-Barrow,189070,Modou Barrow,Not found,"October 13, 1992 (Age: 33-043d)","Banjul, Gambia",176,Gambia,FW-MF (AM),Right,2012,19 years,Norrköping,Not found,first scrap players fbref
https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,189740,Ángelo Henríquez,Not found,"April 13, 1994 (Age: 31-226d)","Santiago, Chile",175,Chile,FW,Right,2012-2013,18 years,Wigan Athletic,2012,first scrap players fbref
https://fbref.com/en/players/fcf5211e/Mats-Moller-Daehli,190831,Mats Møller Dæhli,Not found,"March 2, 1995 (Age: 30-268d)","Oslo, Norway",172,Norway,FW-MF (AM-CM),Right,2013,17 years,Molde,Not found,first scrap players fbref
https://fbref.com/en/players/f874dd44/Hector-Bellerin,191217,Héctor Bellerín,Not found,"March 19, 1995 (Age: 30-251d)","Barcelona, Spain",177,Spain,"DF-MF (FB, right)",Right,2013-2014,18 years,Watford,2013,first scrap players fbref
https://fbref.com/en/players/44781702/Ben-Davies,192765,Ben Davies,Not found,"April 24, 1993 (Age: 32-226d)","Neath, Wales, United Kingdom",181,Wales wls,"DF-MF (CB-FB, left)",Left,2012-2013,19 years,Swansea City,2012,players corrected fbref
https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,195488,Paulo Gazzaniga,Not found,"January 2, 1992 (Age: 33-327d)","Chateaubriand, Argentina",196,Argentina,GK,Right,2011-2012,19 years,Gillingham,2011,first scrap players fbref
https://fbref.com/en/players/9f736ed2/Jordon-Ibe,195652,Jordon Ibe,Not found,8-Dec-95,Not found,176,England eng,"FW-MF (WM, right)",Right,2011-2012,15 years,Wycombe,2011,first scrap players fbref
https://fbref.com/en/players/e58a03c6/Dwight-Gayle,196522,Dwight Gayle,Not found,"October 17, 1990 (Age: 35-050d)","Walthamstow, England, United Kingdom",177,Not found,FW,Right,2012-2013,21 years,P'borough Utd,2012,players corrected fbref
