player_name,season,squad,position,age,nation,minutes,rank,player_url_fbref,current age_fbref,dob_age_fbref,place_birth_fbref,height_fbref,citizenship_fbref,position_fbref,foot_fbref,current_club_fbref,debut_season_fbref,debut_age_fbref,first_club_fbref,debut_year_fbref,player_url_tra,slug,player_id_fbref,home_name_fbref,dob_age_tra,fecha americana,YEAR_tra,place_birth_tra,height_tra,citizenship_tra,position_tra,foot_tra,current_club_tra,joined_tra,contract_expires_tra,outfitter_tra,first_tier_debut_date,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,injury_count_total_tra,days_missed_total_tra,games_missed_total_tra,injury_seasons_tra,Deceased_tra,death_date,death_age,retired_tra,retirement_date_tra,year_retirement,career_lenght,career_lenght_w_actives_and_dead,shirt_number_tra,National_team,total_seasons_national,matches_national,minutes_national,goals_national,CAREER Sum of matches_played,CAREER Sum of minutes,CAREER Sum of goals
Mikel San José,2013-2014,Athletic Club,"DF,MF",24,es ESP,1808,473,https://fbref.com/en/players/003a5c72/Mikel-San-Jose,2/5/1900,32658,NA,186cm,Spain,DF-MF (CB-DM),Right,NA,2009-2010,20,Athletic Club,2009,https://www.transfermarkt.com/mikel-san-jose/profil/spieler/52469,mikel-san-jose,52469,Mikel San José,30/05/1989,32658,1989,Pamplona,"1,87",Spain,Midfield - Defensive Midfield,right,SD Amorebieta,1/7/2022,-,New Balance,40036,20,LaLiga,20/10/2020,1/31/1900,0,20,10,257,37,6,No,NA,NA,Yes,44568,2022,13,13,NA,Yes,5,7,492,0,428,30788,36
Mikel San José,2014-2015,Athletic Club,"DF,MF",25,es ESP,2146,519,https://fbref.com/en/players/003a5c72/Mikel-San-Jose,2/5/1900,32658,NA,186cm,Spain,DF-MF (CB-DM),Right,NA,2009-2010,20,Athletic Club,2009,https://www.transfermarkt.com/mikel-san-jose/profil/spieler/52469,mikel-san-jose,52469,Mikel San José,30/05/1989,32658,1989,Pamplona,"1,87",Spain,Midfield - Defensive Midfield,right,SD Amorebieta,1/7/2022,-,New Balance,40036,20,LaLiga,20/10/2020,1/31/1900,0,20,10,257,37,6,No,NA,NA,Yes,44568,2022,13,13,NA,Yes,5,7,492,0,428,30788,36
Miku,2010-2011,Getafe,FW,24,ve VEN,2188,360,https://fbref.com/en/players/4eba9598/Miku,2/8/1900,"August 19, 1985 (Age: 40-068d)","Caracas, Venezuela",182cm,Venezuela,FW,Right,Metropolitanos FC,2006-2007,20,Ciudad Murcia,2006,https://www.transfermarkt.com/miku/profil/spieler/58001,miku,58001,Miku,19/08/1985,31278,1985,Caracas,"1,86",Venezuela  Hungary,Attack - Centre-Forward,right,Metropolitanos,10/7/2024,31/12/2025,NA,39913,24,LaLiga,16/09/2006,1/21/1900,Segunda División,21,4,164,18,4,No,NA,NA,No,NA,NA,NA,19,7,Yes,3,8,327,0,307,20750,89
Miku,2011-2012,Getafe,FW,25,ve VEN,2908,365,https://fbref.com/en/players/4eba9598/Miku,2/8/1900,"August 19, 1985 (Age: 40-068d)","Caracas, Venezuela",182cm,Venezuela,FW,Right,Metropolitanos FC,2006-2007,20,Ciudad Murcia,2006,https://www.transfermarkt.com/miku/profil/spieler/58001,miku,58001,Miku,19/08/1985,31278,1985,Caracas,"1,86",Venezuela  Hungary,Attack - Centre-Forward,right,Metropolitanos,10/7/2024,31/12/2025,NA,39913,24,LaLiga,16/09/2006,1/21/1900,Segunda División,21,4,164,18,4,No,NA,NA,No,NA,NA,NA,19,7,Yes,3,8,327,0,307,20750,89
Miku,2012-2013,Getafe,FW,26,ve VEN,158,355,https://fbref.com/en/players/4eba9598/Miku,39,"August 19, 1985 (Age: 40-068d)","Caracas, Venezuela",182cm,Venezuela,FW,Right,Metropolitanos FC,2006-2007,20,Ciudad Murcia,2006,https://www.transfermarkt.com/miku/profil/spieler/58001,miku,58001,Miku,19/08/1985,31278,1985,Caracas,"1,86",Venezuela  Hungary,Attack - Centre-Forward,right,Metropolitanos,10/7/2024,31/12/2025,NA,39913,24,LaLiga,16/09/2006,21,Segunda División,21,4,164,18,4,No,NA,NA,No,NA,NA,NA,19,7,Yes,3,8,327,0,307,20750,89
Miku,2013-2014,Getafe,FW,27,ve VEN,293,332,https://fbref.com/en/players/4eba9598/Miku,39,"August 19, 1985 (Age: 40-068d)","Caracas, Venezuela",182cm,Venezuela,FW,Right,Metropolitanos FC,2006-2007,20,Ciudad Murcia,2006,https://www.transfermarkt.com/miku/profil/spieler/58001,miku,58001,Miku,19/08/1985,31278,1985,Caracas,"1,86",Venezuela  Hungary,Attack - Centre-Forward,right,Metropolitanos,10/7/2024,31/12/2025,NA,39913,24,LaLiga,16/09/2006,21,Segunda División,21,4,164,18,4,No,NA,NA,No,NA,NA,NA,19,7,Yes,3,8,327,0,307,20750,89
Miku,2014-2015,Rayo Vallecano,FW,28,ve VEN,227,386,https://fbref.com/en/players/4eba9598/Miku,39,"August 19, 1985 (Age: 40-068d)","Caracas, Venezuela",182cm,Venezuela,FW,Right,Metropolitanos FC,2006-2007,20,Ciudad Murcia,2006,https://www.transfermarkt.com/miku/profil/spieler/58001,miku,58001,Miku,19/08/1985,31278,1985,Caracas,"1,86",Venezuela  Hungary,Attack - Centre-Forward,right,Metropolitanos,10/7/2024,31/12/2025,NA,39913,24,LaLiga,16/09/2006,21,Segunda División,21,4,164,18,4,No,NA,NA,No,NA,NA,NA,19,7,Yes,3,8,327,0,307,20750,89
Miquel Robusté,2010-2011,Levante,DF,25,es ESP,424,463,https://fbref.com/en/players/4be9a341/Miquel-Robuste,40,31187,NA,185cm,Spain,DF (CB),NA,NA,2006-2007,21,Poli Ejido,2006,https://www.transfermarkt.com/miquel-robuste/profil/spieler/51477,miquel-robuste,51477,Miquel Robusté,20/05/1985,31187,1985,Barcelona,"1,85",Spain,Defender - Centre-Back,right,Without Club,1/7/2023,-,NA,30/03/2008,22,LaLiga,27/08/2006,21,Segunda División,21,1,22,7,1,No,NA,NA,No,NA,NA,NA,19,NA,No,0,Not_national_team,Not_national_team,Not_national_team,132,10422,5
Miranda,2011-2012,Atlético Madrid,DF,26,br BRA,2296,367,https://fbref.com/en/players/314f2124/Miranda,40,30932,NA,186cm,Brazil,DF (CB),Right,NA,2005-2006,20,Sochaux,2005,https://www.transfermarkt.com/miranda/profil/spieler/33357,miranda,33357,Miranda,07/09/1984 (41),30932,1984,Paranavaí,"1,86",Brazil,Defender - Centre-Back,right,São Paulo,11/1/2023,-,adidas,23/04/2004,19,Campeonato Brasileiro Série A,No second tier career,NA,No second tier career,19,14,274,46,6,No,NA,NA,Yes,45231,2023,18,18,NA,Yes,10,44,3672,2,378,32736,15
Miranda,2012-2013,Atlético Madrid,DF,27,br BRA,3146,359,https://fbref.com/en/players/314f2124/Miranda,2/9/1900,30932,NA,186cm,Brazil,DF (CB),Right,NA,2005-2006,20,Sochaux,2005,https://www.transfermarkt.com/miranda/profil/spieler/33357,miranda,33357,Miranda,07/09/1984 (41),30932,1984,Paranavaí,"1,86",Brazil,Defender - Centre-Back,right,São Paulo,11/1/2023,-,adidas,23/04/2004,19,Campeonato Brasileiro Série A,No second tier career,NA,No second tier career,19,14,274,46,6,No,NA,NA,Yes,45231,2023,18,18,NA,Yes,10,44,3672,2,378,32736,15
Miranda,2013-2014,Atlético Madrid,DF,28,br BRA,2880,334,https://fbref.com/en/players/314f2124/Miranda,2/9/1900,30932,NA,186cm,Brazil,DF (CB),Right,NA,2005-2006,20,Sochaux,2005,https://www.transfermarkt.com/miranda/profil/spieler/33357,miranda,33357,Miranda,07/09/1984 (41),30932,1984,Paranavaí,"1,86",Brazil,Defender - Centre-Back,right,São Paulo,45231,-,adidas,23/04/2004,19,Campeonato Brasileiro Série A,No second tier career,NA,No second tier career,19,14,274,46,6,No,NA,NA,Yes,45231,2023,18,18,NA,Yes,10,44,3672,2,378,32736,15
Miranda,2014-2015,Atlético Madrid,DF,29,br BRA,2024,391,https://fbref.com/en/players/314f2124/Miranda,2/9/1900,30932,NA,186cm,Brazil,DF (CB),Right,NA,2005-2006,20,Sochaux,2005,https://www.transfermarkt.com/miranda/profil/spieler/33357,miranda,33357,Miranda,07/09/1984 (41),30932,1984,Paranavaí,"1,86",Brazil,Defender - Centre-Back,right,São Paulo,45231,-,adidas,23/04/2004,19,Campeonato Brasileiro Série A,No second tier career,NA,No second tier career,19,14,274,46,6,No,NA,NA,Yes,45231,2023,18,18,NA,Yes,10,44,3672,2,378,32736,15
Miroslav Stevanović,2012-2013,Sevilla,"FW,MF",22,ba BIH,118,517,https://fbref.com/en/players/73d430c6/Miroslav-Stevanovic,2/4/1900,"July 29, 1990 (Age: 35-089d)","Zvornik, Bosnia and Herzegovina",180cm,Bosnia and Herzegovina,"FW-MF (AM-WM, right)",Right,Servette,2010-2011,20,Vojvodina,2010,https://www.transfermarkt.com/miroslav-stevanovic/profil/spieler/75816,miroslav-stevanovic,75816,Miroslav Stevanovic,29/07/1990,33083,1990,Zvornik,"1,80",Bosnia-Herzegovina  Serbia,Midfield - Right Midfield,right,Servette FC,24/07/2017,30/06/2026,NA,27/02/2010,19,Premijer Liga,41853,1/23/1900,Segunda División,19,9,239,28,6,No,NA,NA,No,NA,NA,NA,15,9,Yes,8,25,1568,2,314,24551,61
Miroslav Stevanović,2013-2014,Elche,"FW,MF",23,ba BIH,120,500,https://fbref.com/en/players/73d430c6/Miroslav-Stevanovic,2/4/1900,"July 29, 1990 (Age: 35-089d)","Zvornik, Bosnia and Herzegovina",180cm,Bosnia and Herzegovina,"FW-MF (AM-WM, right)",Right,Servette,2010-2011,20,Vojvodina,2010,https://www.transfermarkt.com/miroslav-stevanovic/profil/spieler/75816,miroslav-stevanovic,75816,Miroslav Stevanovic,29/07/1990,33083,1990,Zvornik,"1,80",Bosnia-Herzegovina  Serbia,Midfield - Right Midfield,right,Servette FC,24/07/2017,30/06/2026,NA,27/02/2010,19,Premijer Liga,41853,1/23/1900,Segunda División,19,9,239,28,6,No,NA,NA,No,NA,NA,NA,15,9,Yes,8,25,1568,2,314,24551,61
