player_name.x,transfermarkt_id.x,transfermarkt_url,fbref_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age.1,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age.1,second_tier_debut_competition,debut_age_transfermarket,explanation.x,player_name.y,status,transfermarkt_id.y,player_slug,home_name,dob_age.x,place_birth.x,height.x,citizenship.x,position.x,foot.x,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation.y,transfermarkt_id,player_name.x.x,name_home_country,dob_age.y,place_birth.y,height.y,citizenship.y,position.y,foot.y,debut_season,debut_age,first_club,debut_year,explanation,player_name.y.y,matches_national,minutes_national,goals_national,seasons_national,total_matches_club,total_minutes_club,total_goals_club,seasons_club,clubs_club,player_name,deceased,death_date,death_age,total_matches_total,total_minutes_total,total_goals_total,position_clean,position_simple,dob,age_current,retirement_date_clean,retirement_age,career_length
Sergei Kornilenko,15881,https://www.transfermarkt.com/sergey-kornilenko/profil/spieler/15881,https://fbref.com/en/players/be1797d6/Sergei-Kornilenko,36866,16 years 11 months 29 days,16,Vysheyshaya Liga,41797,31 years 22 days,31,1.Division,16,players corrected,Sergei Kornilenko,Success,15881,spieler,Sergey Kornilenko,14/06/1983,Vitebsk,"1,86",Belarus  Russia,Attack - Centre-Forward,left,Not found,KS Samara,44203,-,Not found,2,91,9,Yes,44203,Not found,2,"players corrected transfer

",15881,Sergei Kornilenko,Not found,30481,Not found,186,Belarus,FW,Right,2003-2004,20 years,Dynamo Kyiv,2003,first scrap players fbref,Sergei Kornilenko,47,2678,10,8,285,17973,78,16,7,Sergei Kornilenko,No,Not found,NA,332,20651,88,Attack - Centre-Forward,Attack,30481,42,44378,38,22
Sotirios Kyrgiakos,9706,https://www.transfermarkt.com/sotiris-kyrgiakos/profil/spieler/9706,https://fbref.com/en/players/2bc82fdc/Sotirios-Kyrgiakos,30/09/2001,22 years 02 months 07 days,22,Stoiximan Super League,19/09/1999,20 years 01 month 27 days,20,Football League,20,players corrected,Sotirios Kyrgiakos,Success,9706,spieler,Sotiris Kyrgiakos,23/07/1979,Trikala,"1,93",Greece,Defender - Centre-Back,right,Not found,Sydney Olympic,41824,-,Not found,6,299,20,Yes,41824,Not found,3,"players corrected transfer

",9706,Sotirios Kyrgiakos,Not found,29059,Not found,193,Greece,DF (CB),Not found,2001-2002,22 years,Panathinaikos,2001,first scrap players fbref,Sotirios Kyrgiakos,33,2783,3,4,272,23012,18,12,7,Sotirios Kyrgiakos,No,Not found,NA,305,25795,21,Defender - Centre-Back,Defender,29059,46,41736,34,14
Adrián López,44966,https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966,https://fbref.com/en/players/70392341/Adrian-Lopez,30/09/2007,20 years 07 months 05 days,20,LaLiga,20/08/2017,30 years 05 months 26 days,30,1.Division,20,players corrected,Adrián López,Success,44966,spieler,Adrián López,25/02/1987,As Pontes,"1,84",Spain,Defender - Centre-Back,right,Not found,SD Compostela,43472,-,adidas,2,80,14,Yes,43472,Not found,2,"players corrected transfer

",44966,Adrián López,Not found,31833,Not found,184,Not found,DF (CB),Right,2007-2008,20 years,La Coruña,2007,players corrected fbref,NA,NA,NA,NA,NA,47,3953,1,9,5,Adrián López,No,Not found,NA,47,3953,1,Defender - Centre-Back,Defender,31833,38,43647,32,12
Andy O'Brien,3228,https://www.transfermarkt.com/andrew-obrien/profil/spieler/3228,https://fbref.com/en/players/1719f6b2/Andy-OBrien,36349,20 years 01 month 09 days,20,Premier League,16/10/1996,17 years 03 months 17 days,17,,17,players corrected,Andy O'Brien,Success,3228,spieler,Andrew O'Brien,29/06/1979,Harrogate,"1,91",Ireland  England,Defender - Centre-Back,right,Not found,Vancouver,42005,-,Not found,1,9,2,Yes,42005,Not found,1,"players corrected transfer

",869490,Andy O'Brien,Not found,29035,Not found,191,Republic of Ireland ie  Other: England,DF (CB),Right,1999-2000,20 years,Bradford City,1999,first scrap players fbref,Andy O'Brien,9,713,0,3,405,34182,10,16,6,Andy O'Brien,No,Not found,NA,414,34895,10,Defender - Centre-Back,Defender,29035,46,42005,35,18
Frédéric Piquionne,5683,https://www.transfermarkt.com/frederic-piquionne/profil/spieler/5683,https://fbref.com/en/players/62f579c5/Frederic-Piquionne,28/07/2001,22 years 07 months 20 days,22,Ligue 1,21/12/2000,22 years 13 days,22,Ligue 2,22,players corrected,Frédéric Piquionne,Success,5683,spieler,Frédéric Piquionne,28714,Nouméa,"1,88",Martinique  France,Attack - Centre-Forward,right,Not found,Mumbai City,42370,-,Not found,0,0,0,Yes,42370,Not found,0,"players corrected transfer

",5683,Frédéric Piquionne,Not found,28832,Not found,188,"France fr  Other: Martinique , New Caledonia",FW,Not found,2001-2002,22 years,Rennes,2001,first scrap players fbref,NA,NA,NA,NA,NA,402,25242,83,15,10,Frédéric Piquionne,No,Not found,NA,402,25242,83,Attack - Centre-Forward,Attack,28832,47,42370,37,15
Rafael,61892,https://www.transfermarkt.com/rafael/profil/spieler/61892,https://fbref.com/en/players/9a1f2e1c/Rafael,17/08/2008,18 years 01 month 08 days,18,Premier League,26/09/2021,31 years 02 months 17 days,31,Campeonato Brasileiro Série B,18,players corrected,Rafael,Success,61892,spieler,Rafael,33123,Petrópolis,"1,72",Brazil  Portugal,Defender - Right-Back,right,Not found,Botafogo,45658,-,Nike,26,1158,220,Yes,45658,Not found,13,"players corrected transfer

",61892,Rafael,Not found,33063,Not found,173,Brazil,"DF-MF (FB, right)",Right,2008-2009,18 years,Manchester Utd,2008,third scrap,NA,NA,NA,NA,NA,327,22627,7,17,4,Rafael,No,Not found,NA,327,22627,7,Defender - Right-Back,Defender,33063,35,45658,34,16
Abdul Razak,177321,https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,https://fbref.com/en/players/5e61927c/Abdul-Razak,40665,18 years 02 months 25 days,18,Premier League,29/10/2011,18 years 11 months 18 days,18,Championship,18,players corrected,Abdul Razak,Success,177321,spieler,Abdul Razak,33919,Bouaké,"1,79",Cote d'Ivoire,Midfield - Central Midfield,right,Not found,Without Club,45664,-,Not found,1,13,0,No,Not found,Not found,1,"players corrected transfer

",177321,Abdul Razak,Not found,33919,Not found,180,Côte d'Ivoire,MF,Not found,2010-2011,17 years,Manchester City,2010,players corrected fbref,Abdul Razak,1,89,0,2,124,7394,1,11,12,Abdul Razak,No,Not found,NA,125,7483,1,Midfield - Central Midfield,Midfield,33919,33,NA,NA,15
Jack Robinson,128909,https://www.transfermarkt.com/jack-robinson/profil/spieler/128909,https://fbref.com/en/players/7399c7a8/Jack-Robinson,40426,16 years 08 months 07 days,16,Premier League,19/02/2013,19 years 05 months 18 days,19,Championship,16,players corrected,Jack Robinson,Success,128909,spieler,Jack Robinson,33978,Warrington,"1,80",England,Defender - Centre-Back,left,Not found,Birmingham,45666,30/06/2027,Not found,5,806,136,No,Not found,6,5,"players corrected transfer

",128909,Jack Robinson,Not found,"September 1, 1993 (Age: 32-096d)","Warrington, England, United Kingdom",180,England eng,"DF (CB-FB, left)",Left,2009-2010,15 years,Liverpool,2009,players corrected fbref,NA,NA,NA,NA,NA,343,28457,11,16,8,Jack Robinson,No,Not found,NA,343,28457,11,Defender - Centre-Back,Defender,34213,32,NA,NA,16
Rodrigo,131505,https://www.transfermarkt.com/rodrigo/profil/spieler/131505,https://fbref.com/en/players/1fb1c435/Rodrigo,23/08/2014,23 years 05 months 17 days,23,LaLiga,No second tier career,No second tier career,No second tier career,No second tier career,23,players corrected,Rodrigo,Success,131505,spieler,Rodrigo,33392,Rio de Janeiro,"1,82",Spain  Brazil,Attack - Centre-Forward,left,Not found,Al-Rayyan,13/07/2023,30/06/2026,Nike,19,618,105,No,Not found,19,10,"players corrected transfer

",131505,Rodrigo,Not found,"March 6, 1991 (Age: 34-278d)","Rio de Janeiro, Brazil",180,Spain es  Other: Brazil,FW-MF,Left,2010-2011,19 years,Bolton,2010,third scrap,Rodrigo,28,1458,8,9,431,27122,122,13,4,Rodrigo,No,Not found,NA,459,28580,130,Attack - Centre-Forward,Attack,33303,34,NA,NA,11
Sandro,74590,https://www.transfermarkt.com/sandro/profil/spieler/74590,https://fbref.com/en/players/c1c2c925/Sandro,39548,19 years 06 months 19 days,19,Campeonato Brasileiro Série A,42073,26 years 06 months 18 days,26,Championship,19,players corrected,Sandro,Success,74590,spieler,Sandro,15/03/1989,Riachinho,"1,88",Brazil  Portugal,Midfield - Central Midfield,right,Not found,Harborough,45334,-,Not found,10,623,104,Yes,45334,Not found,7,"players corrected transfer

",74590,Sandro,Not found,32582,Not found,188,Brazil,MF (DM),Right,2010-2011,21 years,Tottenham,2010,third scrap,NA,NA,NA,NA,NA,219,13307,9,12,10,Sandro,No,Not found,NA,219,13307,9,Midfield - Central Midfield,Midfield,32582,36,45628,35,16
Paulo da Silva,38800,https://www.transfermarkt.com/paulo-da-silva/profil/spieler/38800,https://fbref.com/en/players/47560da8/Paulo-da-Silva,27/02/2000,20 years 26 days,20,Torneo Final,20/09/2000,20 years 07 months 19 days,20,Serie B,20,players corrected,Paulo da Silva,Success,38800,spieler,Paulo da Silva,29222,Asunción,"1,84",Paraguay,Defender - Centre-Back,right,Not found,Atlantida SC,20/10/2024,-,Not found,1,31,6,Yes,20/10/2024,Not found,1,"players corrected transfer

",38800,Paulo da Silva,Not found,29252,Not found,184,Paraguay,DF (CB),Right,2001-2002,21 years,Cosenza,2001,third scrap,Paulo da Silva,36,3153,1,6,587,50777,30,22,7,Paulo da Silva,No,Not found,NA,623,53930,31,Defender - Centre-Back,Defender,29252,45,45585,44,24
